"MR2";"MR6";"MR3";"MR1";"MR4";"MR5";"MR8";"MR7"
"#-clever";0.380847078722076;-0.169843856345734;0.111836209791349;-0.0566485108289763;0.0559456502537518;0.116100833531149;0.519224231912213;0.00553747763517645
"#-united";0.207812455207627;-0.0504032501159399;0.00211929583463558;0.0514199059823091;0.0665439969677509;0.333463695688797;0.34474011006637;-0.00300418603774988
"#-worth";0.555236847284258;0.0404983451962336;-0.110480122425108;0.430504242431736;0.167259299440054;-0.226397989518129;-0.0196270507823323;0.194924577285576
"accomplished";0.759019525554284;-0.0214369056481434;0.0286089842717112;0.184337280481994;0.0413156982341661;-0.0561820331011094;0.0695149519117028;-0.0733035701794786
"accustomed";0.0812609784040674;-0.0163188046501087;-0.135907312161787;0.411659721908035;-0.0751388475022436;-0.117988350478715;-0.0512777766155155;0.0854888772502303
"afraid";0.349435212480807;0.379688489548656;0.290386322931579;0.171580395986718;0.243776819535352;0.189693375566057;0.108863038822087;0.231561538069209
"amusing";-0.00572802233515294;0.124798216842848;0.227417138523797;0.176248969793384;0.311092821594958;0.000168918880105028;0.0137932583080869;-0.260158444254829
"beautiful";0.431650534030712;0.231883053482923;0.136161869791826;0.514652109299299;0.179947720126056;0.0256080842228447;0.17065109901767;0.125561038823297
"best";0.215775820392366;0.41554406612;0.310665525223906;0.357528526626061;0.209842032184012;0.212865819740467;0.176849352049481;0.0379542600918255
"calm";0.0832519411303563;0.264941098772891;0.485138188560135;0.00705482646564728;0.09211261709543;-0.0603219774173347;0.195246136483062;-0.0378118368017105
"capable";0.197079494563192;0.25056249868834;0.196082058704781;0.358264602380163;0.236956725552866;0.446156703142515;0.224411726191091;0.13426413428634
"careful";0.7260495712366;0.225376834872352;0.125112337958944;-0.128753203641446;0.0187589447453106;0.00384538614292513;0.341324630020033;0.0102376101554496
"cautious";0.284490301424735;0.0558646597264352;-0.0804042993137694;0.43797124166971;-0.0455458857203423;0.436678536701184;0.0918800941014533;0.518372326763332
"cheerful";0.158104460530013;0.158704121903814;0.179942165171983;0.186628054366858;-0.0443722201979104;0.500250532996269;0.226083736537102;-0.0862975496393759
"clever";-0.0207534273667784;0.442234784358395;-0.172076693900297;0.189524867864901;0.385256675041991;0.195723668118213;-0.00361337347889067;0.135754306826709
"comfortable";0.0453752309837451;0.37874638855398;0.074492130190369;0.160293085083956;0.59222953698483;0.333038684939471;0.106070650057999;-0.0464649994902606
"compassionate";-0.159508181308164;0.511766972150752;0.0824231108224691;0.0603913348606594;-0.0455571812122078;0.243790830362021;-0.000332838232459521;-0.172455757069765
"confident";0.0309773889573765;0.302910227671279;0.0669899826311442;0.166055987294145;0.0495310238580962;-0.018180707501148;0.524258454894365;0.214146740034098
"creative";0.133437188823052;-0.0317708168354081;0.0265332083988529;-0.0454468540381977;-0.0724031690631367;-0.105663941431017;0.550780012178402;-0.0368088269132231
"cruel";0.526896320441613;0.403005277192626;-0.0751182076031582;0.343335447465756;-0.0277520810962737;0.246547524418445;0.160892394231148;-0.0826052519550942
"curious";0.0702293222957757;0.0732870243432042;0.323684871331776;0.613908682070094;0.36450600405938;0.238721703273772;0.119918399207679;-0.075523447379158
"dangerous";-0.111177477333084;-0.00382001361098655;0.51994892963513;0.362164531330746;-0.13025312718441;0.190176955503276;-0.0898506902360551;-0.0404625319701868
"daring";0.254136621033018;-0.0388432842051993;0.254743155133129;-0.106874523323423;-0.158112467058832;0.118443372945501;-0.185355577807836;0.125656742432411
"delicate";0.169376335087324;0.46887116948166;0.20661246976326;0.351140375596183;0.276100884909293;0.104772623619706;0.0858841015736976;-0.199673328935687
"delicious";0.0836223025959573;0.0187571538799522;-0.0568543740772898;0.0594701999745847;0.752893000085509;-0.0399544510763862;-0.107175081847536;-0.0455666037878155
"delight";-0.04317104256879;0.156750569935343;0.341897252454541;0.578165430160494;-0.120240341794025;-0.0158681912308008;-0.0675836499302959;0.00972841956386214
"delighted";0.355171665575237;-0.0454254935448936;0.292162304888907;0.541566669832588;0.0904328434367664;0.326358539152387;0.24255070535262;0.195685694117721
"delightful";0.172700635399108;0.200606082648304;0.359127300489371;0.423001986947756;0.435052372690297;-0.0232851922547372;0.0609771866230744;0.27424562079751
"determined";0.199225508809487;0.135337954138077;0.615610849521426;0.140781100777249;0.0227462150525724;0.328072505173675;0.119449085016429;0.0506509092255249
"different";0.532275739635987;0.09878920312203;0.188623583424045;0.323723986523441;0.174504344164974;0.240937515104409;0.000296980575214996;-0.00195097984861671
