"MR1";"MR2"
"accomplished";0.323936398558161;0.594932419869512
"accustomed";0.660591667417671;0.268307459311189
"afraid";0.760638753940894;0.422912646497686
"beautiful";0.752678720951191;0.386551604495181
"best";0.68890659838778;0.30381831110091
"blessed";0.63220691885814;0.127967647594985
"calm";0.583942299064442;0.247721062408151
"capable";0.490621179277646;0.321343617913165
"careful";0.531885012500633;0.33854936215227
"cheerful";0.739780485393814;0.316596019545114
"clean";0.517381847669275;0.300136133145564
"clever";0.593657278126061;0.424133277254168
"comfortable";0.712582012449351;0.375527904867969
"cruel";0.451185405318048;0.334709122292124
"curious";0.79984066088133;0.39865477750409
"dangerous";0.597137633861838;0.398547759403485
"delicate";0.593700156990682;0.503910786955678
"delicious";0.243054801929299;0.438824616304979
"delighted";0.675120089068204;0.360973780210589
"delightful";0.484517800202792;0.521259018571997
"determined";0.525778817951156;0.152345227941673
"different";0.683322240731446;0.490593125201384
"encouraging";0.388371108534838;0.477513887640578
"expensive";0.558238708550956;0.0587602167879178
"extraordinary";0.76871025124847;0.313581997834083
"extreme";0.567464543012866;0.350546426351052
"fair";0.499206625033993;0.570144570592591
"faithful";0.62501375645672;0.420378273924568
"familiar";0.462035840836356;0.522108038586685
"famous";0.513115536451722;0.346868110269928
"fancy";0.436237550507421;0.274061400883692
"fascinating";0.162406648618217;0.454067728231209
"free";0.700175883819672;0.485961572100197
"friendly";0.452592511210724;0.465630774394459
"generous";0.328321336902819;0.595027934224947
"gentle";0.745973656271554;0.229575828726427
"genuine";0.731225673735597;0.197872039483526
"graceful";0.178985424605221;0.534500324590087
"greatest";0.734382148631153;0.379492292532199
"happier";0.758159947560976;0.334078036972047
"happy";0.607720110009562;0.513014085001649
"harmless";0.633532936574372;0.0981173816256099
"honest";0.738876379590705;0.287278797926321
"humble";0.600272100552949;0.353498726037965
"intelligent";0.155958183986629;0.528603234537793
"interesting";0.241093065662325;0.265488137082149
"legal";0.262645874921049;0.540965930724495
"loose";0.227408308750976;0.547915309137983
"married";0.410247952240221;0.524704485836897
"mighty";0.56279021932501;0.355506183233544
"moral";0.113068191459718;0.505055884928632
"mysterious";0.567527167402001;0.448844207128677
"natural";0.733373322363734;0.471346695555992
"neat";0.688109797659673;0.247124545185372
"official";0.463706571054453;0.329893385313639
"original";0.39424871170609;0.280689150517799
"peaceful";0.329575870701151;0.605355150235923
"playful";-0.157178648245585;0.673167631274028
"pleasant";0.735839962121123;0.390228339488348
"polite";0.537733260456726;0.376551410128964
"popular";0.156752032176564;0.293755181609756
"powerful";0.359245171346465;0.535623241095902
"professional";0.509844630344956;0.332416940210407
"proud";0.729674379088073;0.276943613859564
"prudent";0.422660190730323;0.28868624310138
"quiet";0.646016321748675;0.480708084662235
"reasonable";0.62068543813634;0.465370180452972
"responsible";0.4184701898829;0.724522371739406
"rich";0.648234390633147;0.386855021570071
"sacred";0.608942415324715;0.228632173978414
"safe";0.679475422385455;0.407421860183542
"selfish";0.737855569032436;0.327239656619206
"special";0.284267711309737;0.34868873040513
"stable";0.355202727730998;0.336712836840733
"strong";0.610028794491287;0.548247156931076
"superior";0.502192451375245;0.48835356260312
"surprising";0.222791471239576;0.566082405476263
"thoughtful";0.748318508976845;0.172553592194309
"unpleasant";0.100081053401623;0.383124719592354
"weak";0.725344154984243;0.436115127027947
"welcome";0.388170271025543;0.46895477601689
"worth";0.533035836465151;0.58896129323162
