"MR1";"MR3";"MR4";"MR2"
"accomplished";0.377733709756446;0.192853265178513;0.158512726205714;0.536343480061926
"accustomed";0.431184280539948;0.268935766478648;0.533161226769247;0.101653152206381
"afraid";0.51817519781986;0.512040845820783;0.397291835083952;0.270335739354607
"beautiful";0.506893358407917;0.428669139412531;0.477670042866072;0.219855382393213
"best";0.479035501763821;0.308081617366419;0.495631195483121;0.139844461312888
"blessed";0.323963944321366;0.640389281397399;0.147418212599032;0.0222100264209157
"calm";0.249842564685763;0.310038769973175;0.566021575812607;0.0836324789904227
"capable";0.447341936987579;0.367670516107685;0.0882247232060572;0.251748545199662
"careful";0.174314222050373;0.326020702013422;0.582450160460379;0.177303323854936
"cheerful";0.562497770445379;0.439490631569713;0.34106905044196;0.173442671769623
"clean";0.191214021055353;0.525966204520474;0.284695176060977;0.194401162394681
"clever";0.361670964759093;0.461130974866809;0.334702964335861;0.300095693756254
"comfortable";0.422772811203214;0.636395596588761;0.272209158525594;0.247311976401923
"cruel";0.14468385799678;0.145673571525153;0.665646524926026;0.173190371886624
"curious";0.474835855097188;0.517064747277268;0.515149618949604;0.221134884923
"dangerous";0.614734015131929;0.341672898829717;0.141563992781044;0.307384673569267
"delicate";0.571339461024109;0.253032657024019;0.333757417563807;0.378984557493578
"delicious";0.136430560187111;0.0434527328443882;0.424604693289123;0.341095097374858
"delighted";0.462208464200771;0.279760216399228;0.548358490994839;0.187906341562719
"delightful";0.434290059985347;0.180822754248618;0.387437945084317;0.399420985031403
"determined";0.143967569979262;0.593611589679899;0.234541638738278;0.0460539384000199
"different";0.515566734513246;0.323536167614286;0.493468902090237;0.329151924327401
"encouraging";0.137547439043233;0.374439166961212;0.343064061904303;0.379436145463704
"expensive";0.375960202820221;0.521271167930727;0.0409647635857584;-0.019564048022705
"extraordinary";0.343177727080211;0.545820420145794;0.562809763444761;0.129401831252126
"extreme";0.660931163721622;0.187955620133614;0.182944833363113;0.252745128887534
"fair";0.243593904563592;0.469257594241333;0.351957286797042;0.457140087723816
"faithful";0.579598996942376;0.205731626771864;0.402915927127223;0.282113492959246
"familiar";0.449713623365787;0.296168558604357;0.190025579377928;0.439646575863612
"famous";0.36603802162727;0.373832072322584;0.238385630915362;0.250029815281442
"fancy";0.00992973113252521;0.645547385569833;0.219215889627301;0.189613844476616
"fascinating";0.0657910228594954;0.129541083841983;0.268822179468485;0.388575461169572
"free";0.411139623044665;0.552085120895277;0.399182578109773;0.340067200585755
"friendly";0.526483535797343;0.113683734154665;0.258174981970969;0.372737033261957
"generous";0.377095464733979;0.0836123441098866;0.29352716019192;0.511605231371461
"gentle";0.436155364657333;0.548232775686441;0.358753926956868;0.0826767481502252
"genuine";0.767813684953073;0.240219974018873;0.250363037637472;0.0621881112809664
"graceful";0.469805523997185;-0.0194380645802299;-0.0362858328907947;0.540879843415786
"greatest";0.419920792725517;0.46907461736511;0.506136183823786;0.210750896980659
"happier";0.553334273316802;0.382173625042959;0.459705593771822;0.170088832294569
"happy";0.58059350603039;0.386206409454886;0.200772219624884;0.41090752012672
"harmless";0.565414897431704;0.0942703139436322;0.445586792536739;-0.0584723514782259
"honest";0.724944809607702;0.322655592830217;0.255349337460302;0.156613007576844
"humble";0.544797777147831;0.203027020246889;0.376738523544794;0.220991042050151
"intelligent";-0.109804314957291;0.504476839308845;0.0672701525463815;0.527590029787549
"interesting";0.132022907444597;0.202240298396317;0.177568567537138;0.206014822760514
"legal";0.158678158982532;0.286418576192485;0.198748243814093;0.477851636833617
"loose";0.179917477802645;0.12884316072994;0.283906103867888;0.474629239716419
"married";0.143040420445195;0.348232174244529;0.428288780081735;0.409168951266692
"mighty";0.476513877706378;0.104934749781142;0.507324304265032;0.204453240260166
"moral";0.132684314989062;0.0989639114121714;0.139801112314638;0.468237731312926
"mysterious";0.261023151072051;0.384527946863454;0.511735114997532;0.299229605676714
"natural";0.525313543847334;0.48447538001822;0.386405191690229;0.32308168029333
"neat";0.448682304032243;0.440935370042346;0.356471715897045;0.108970429342164
"official";0.291585645806636;0.37727023311391;0.231356189940757;0.236242765253508
"original";0.265682552796457;0.159491517631047;0.357013141081105;0.174362824466322
"peaceful";0.361231342751156;0.377928304819034;-0.0203837689932107;0.58655505700816
"playful";-0.180958097194275;0.0968161371162626;0.08252295682794;0.686489752441415
"pleasant";0.510351911983273;0.408551261281225;0.463628650138079;0.229063801587363
"polite";0.180995886550198;0.562835089640744;0.326638233058702;0.26247124188648
"popular";0.0942672252275859;0.0502553151153063;0.245305975784149;0.233925542033641
"powerful";0.432338889362862;0.139495491823894;0.193397662103599;0.46740619460114
"professional";0.211106712326034;0.303772114993846;0.510997391614866;0.187561998528654
"proud";0.606266841505241;0.373073228747479;0.324111499549027;0.138432631273988
"prudent";0.258182506990398;0.446146258979752;0.101233288078547;0.221863800186666
"quiet";0.597381554653726;0.263153007633594;0.380943724733368;0.342094940643525
"reasonable";0.295155527401759;0.324720706093464;0.649452809356044;0.284993136575132
"responsible";0.35992877119797;0.231736627521462;0.376677540634117;0.614030550702266
"rich";0.387908072823831;0.239182537049914;0.650414420374159;0.201076321550434
"sacred";0.289210242793562;0.543562510792068;0.288408532417484;0.109481563842593
"safe";0.423681410147838;0.479582145498554;0.392636393269507;0.264718897171019
"selfish";0.564012221890573;0.325142092158399;0.468872408383488;0.164138282453394
"special";-0.00151713082708734;0.239402666865912;0.423521956589965;0.248599857474961
"stable";0.118479841962505;0.54702188944456;0.0518763018082405;0.293371294818558
"strong";0.582381770656789;0.305369055697052;0.308641653537732;0.426830959906515
"superior";0.226003564147229;0.386662582909362;0.442380868374884;0.358393125396208
"surprising";0.189142746916149;0.240415948780033;0.144466405825711;0.5160747079188
"thoughtful";0.611978287599482;0.570685502957851;0.0996635985908597;0.0599295287119121
"unpleasant";0.250634142782857;-0.167838479845909;0.213785889480565;0.339190816378601
"weak";0.44664949000158;0.463256490558247;0.484143724276518;0.27078364171731
"welcome";0.298796915882893;0.00198849755184697;0.555775597300687;0.336264805278375
"worth";0.476352429541451;0.284376048193965;0.335815407312406;0.471084588587095
