"MR1";"MR3";"MR2";"MR9";"MR5";"MR6";"MR11";"MR12";"MR7";"MR4";"MR10";"MR8"
"accustomed";0.470335183683925;0.594832115206204;-0.108038596230272;0.0381110938943033;0.102951045434381;0.0314551425550973;-0.0561452229519708;0.0837949928084318;0.196119207496795;-0.014228847983578;0.026678949187185;0.167234468572634
"afraid";0.49819112492927;0.317533670349617;0.175808951233871;0.459135476472945;0.33294138671008;0.00491395597765164;0.0224421976335467;0.203503263215422;0.0528991138940674;0.330368639532559;0.178162203814276;0.0428265477009064
"appropriate";0.105650833029387;0.132302649920115;0.161437386131395;0.251411462988496;0.0903301935967287;0.357745583119579;0.0454463329406638;0.0452957363503004;0.647742420848703;0.0246346259724243;-0.0204373374553962;0.0787517256130905
"beautiful";0.687365996492228;0.24010860029708;0.263346385294034;0.192187664901496;0.185045599547328;0.183370621204877;0.198587504464371;0.183213822583202;0.186864935210287;-0.0380791209362313;0.191706363235809;0.0290424561596386
"best";0.581630717822219;0.433018350487323;0.208989027542208;0.116757739741874;0.187544067246848;0.0323471667524588;0.343326696948345;-0.149565301453261;0.144473190049688;0.0719754547194226;0.0334886513157865;0.324852138414467
"blessed";0.417005256989871;0.00955900044271712;0.0370574992822987;0.131758370347003;0.578381784653621;0.10410725707964;0.10503311522619;0.119324108228672;0.10019018514797;0.190592125409222;0.169781219135238;0.0748140054602705
"brave";0.415320698144825;0.0114914533780126;0.153285520849038;0.209497363263898;0.116176277685556;0.0560294815954809;-0.112893670162225;0.657173062897706;0.037668446612164;0.0640314653092634;0.111009624658337;0.0861338261201176
"calm";0.573520682697589;0.203399797039073;0.34310137499932;0.474329397721447;0.185305088587144;0.0529877110922584;0.0434662688125518;0.102345553871735;0.117487820692742;0.0890177201562098;0.18209548391123;0.135490261736598
"capable";0.646130770771821;0.107814930078705;-0.0250543441482224;0.261329840387862;0.00699225398719505;0.0328119474141877;0.204803288856063;0.213387370173468;-0.0447284171418183;0.200856881167036;0.0447545958476775;0.15356046946837
"careful";0.467041622853524;0.350400535260986;0.257507602873305;0.304304338973812;0.195054779670387;-0.0535976154622181;0.0482187382530577;0.262544057842616;0.136309723570313;-0.0189177011573853;0.105751526160641;0.07650747928223
"cheerful";0.716339367307687;0.250856698572732;0.207249351823155;0.361918962343152;0.160423060259095;0.0997995685550288;0.148666947330645;0.025951969787162;0.114691550514647;0.142918846639224;0.035279772532188;0.0352870693665057
"clever";0.52763546155134;0.213451355718231;0.339097243669935;0.224712608444546;0.102593766659073;0.138089761647808;0.281906739946952;0.0848023432879567;0.0590211307756922;0.00719089543666094;-0.014791212059129;0.397102045034389
"comfortable";0.357891532179979;0.579316839763359;0.243926643781873;0.163288707002522;0.126062414249662;0.188972081693452;0.200627127758415;0.1118071668883;0.177774693796599;0.133813734865771;-0.0742708033026521;0.218268815653192
"compassionate";0.405399410003602;0.0604428419976899;0.143426374760286;0.399292254763899;0.0692409953063948;0.0651927738064059;-0.0281325615743847;0.211165000383675;0.223007292841687;0.0116441693623125;0.176004649558011;0.492746450236547
"confident";0.475373654013197;-0.055094640524636;0.461507611678611;0.11381533602758;-0.0199655770228;0.303572598994065;0.0583356505977308;0.0624323104443935;0.486740301645016;0.0618391217347623;0.144906206519059;0.0382997873151242
"cruel";0.430626553423983;0.380198728948595;0.402256560927592;0.228277296484249;0.167399217165005;0.12260517939091;0.154365348467517;0.0876815550410216;0.182870442350484;0.277764775367186;-0.035435069983676;0.134467920951398
"curious";0.460158281508032;0.237942298329218;0.326147898281701;0.043099766436466;0.0620924607958567;0.116401893479364;0.156033524088935;0.0979430427775066;0.444204763945345;-0.0833095354963848;0.121862596926438;0.0119675224839145
"dangerous";0.222404039636972;0.0307224464833318;0.765954503890324;0.136190820734966;0.000855267569625287;0.0770420138130741;0.0440609909395952;0.024941061549207;0.071323050779475;0.0287081422964619;0.0425636002931657;0.137109446687688
"delicate";0.694126252608471;0.258221561170127;0.17652783890769;0.153115594640517;0.261184395551881;-0.0113425892101783;0.0565563827203831;0.0990872700663679;0.185092234302562;0.198149592345897;0.132559335075287;0.0897992766258694
"delicious";0.208027296357011;0.725536762151323;0.0277925142693788;0.255997306514933;0.10742267982818;0.225296159468144;0.198790795631474;0.130369730992542;-0.11451011674672;-0.134586657873311;0.0237633345056149;-0.132578016010515
"delighted";0.731185137335654;0.198959877132284;0.150462126670633;0.0347669836192261;0.18997673034917;0.118701628670118;0.193953713808007;0.168930710883054;0.107479097058785;0.111025055429092;0.212207938751044;0.118723346227804
"delightful";0.678890415576753;0.306492642560753;0.181659537210097;-0.0439538641169592;0.168530555899549;-0.0143421429790245;0.209264837738733;0.244263475803779;0.0448055743276631;0.161480601841363;0.0924627296331029;0.152771262682491
"different";0.664806611774789;0.190114331269441;0.377237509249493;0.19288250466276;0.0526335388646379;0.227627577531601;0.150071029162879;0.183991856461571;0.128742071477751;0.0504325067734649;0.146019397711882;0.269433894161679
"extraordinary";0.552462443366285;0.276314280615677;0.297199861696074;0.279106526012286;0.0431200358195717;0.0885368073336274;0.268742225993139;0.17702255664509;0.161671013156022;0.121617916100746;0.13534490413726;0.191241353708005
"extreme";0.154263067286789;0.674301241319476;0.260917216241281;-0.0228996982184492;-0.100230040618556;-0.200528138725022;0.0773038158086871;-0.000270776707257618;0.139508424931145;0.198365989435853;0.225213229209233;-0.0733736421686338
"fair";0.369510748092761;0.107185175430623;0.375410624340062;0.353964783556882;0.136567113387291;0.261847689695345;0.0822561162015902;0.0147956803144147;-0.0203152441309804;0.474676194429281;0.131089130196619;0.310940180740842
"faithful";0.286689229916481;0.0670553058824361;0.360965684266449;0.470573389343827;0.41743688108825;0.143106737989945;0.0262957477586772;-0.0824418083414234;0.178174278805033;0.105105035048862;0.159964707327274;0.228658815979185
"familiar";0.531864580542857;0.374239835345274;0.232154829487564;0.303194311609672;0.17780294628163;0.248430331276465;0.233830768463607;0.00221582855342997;0.208641991439461;0.251765054627182;0.0686902307956389;0.12779527634831
"famous";0.407101094097375;0.22194040116206;0.118192595395387;0.224600816100287;0.0931406990592569;0.294770530251911;0.41715686235598;0.0214980265717382;-0.0761906834918046;0.363252515366036;0.0476141100785013;0.0768820450044125
"fascinating";0.156031516200476;0.119508577065666;0.0408105775973819;0.0746088146680959;0.809090259367047;0.0538517725287126;0.178579959520352;0.166506948497894;0.0120375340391543;0.0494993504318429;-0.0523407723072802;0.0256665957729114
"free";0.550094802411391;0.414137707845438;0.0782445069998492;0.229087740568146;0.126593175065193;0.11881968928723;0.115250023261908;0.148446485000591;0.15414924304989;0.0629260290554192;-0.022877298784357;0.269199939636119
"friendly";0.726463148682126;0.265840375811664;0.278783788655088;0.021627717394211;0.121974465796531;0.167318237484457;0.0677651362637021;0.178291213093195;0.226523352314884;0.0935574152143874;0.0760426323303356;0.217870304602372
"generous";0.388951780648379;0.231673881470398;0.258276419790628;0.348983536167274;0.174155024259046;0.162798222094491;0.0354436646411044;0.396672913763065;0.00822036627008955;0.0402201883943929;0.173460600261772;0.0553309072091225
"gentle";0.70635647854706;0.168364909101308;0.336287592938921;0.217132013001406;0.194708793595982;0.209269653675386;0.090348015752459;-0.0545273664145626;0.167437822210098;0.104568894355484;0.120015459669669;0.0330517379500797
"greatest";0.365350542667886;0.463150329807586;0.176653784560638;0.115108103276833;0.13227607681483;0.209907079766289;-0.112502955643391;-0.0268454046230564;0.0919295817133082;0.402120934805745;0.0236794889936814;0.120789080370396
"happier";0.583182818233978;0.271358716419598;0.0962005903377671;0.0920555984034864;0.20549280020253;0.358100867450026;0.124125794394945;0.165033972346052;0.0541279977617974;0.177639140548184;0.165691550734622;0.238016117429745
"happy";0.311235513857085;0.125118152544511;0.511223041843328;0.360383678947229;0.117708801559055;0.24676394700986;0.275886548925782;0.0102207959990358;0.153368551879533;0.430533920090933;0.135039762781133;0.0433524661268739
"honest";0.54224659774191;0.42083598196587;0.206204690711741;0.110643115623061;0.205973076670414;0.17696693328507;0.236165305607185;0.282050523008193;0.133218769363734;0.128840122356874;-0.0459758138013298;0.0353227027381606
"humble";0.329497681005284;-0.0237307462321442;0.307253098207657;0.218183466589509;0.0853287922741838;-0.0762541029977875;-0.00275213574546995;0.173405784690668;0.200343666569964;0.0905849037969332;0.55817492221598;0.175973768894128
"individual";0.388145547935056;0.494265232452159;-0.176543708865755;0.0512011661282537;0.0290960150510722;0.142081338993535;0.0175619534303814;0.169019810607053;-0.129420777036584;0.245027664120487;0.488261745289642;0.146891256189525
"interesting";0.238644708917405;0.206395034367844;-0.11485317052475;0.0249656376872452;0.317420959119081;-0.132964810874294;0.27863370539923;0.524368375283786;0.130466783817874;-0.0286041347352354;0.0969670842946871;0.0176620519436377
"legal";0.518914101679279;0.311375045384332;-0.0661953870916981;0.190154641069726;-0.0637456444333179;-0.00888670907943136;0.0540492438966926;0.127891345308407;-0.0313224555858114;-0.00311139343016952;0.566259195502293;-0.0862739871796498
"married";0.667652280695185;0.199032938182625;0.0629565365391062;0.229854031672158;0.0863750980759823;0.0335344097699783;0.428292185900155;0.23399857993847;0.00154039164935879;0.180738244524828;0.101252631491126;0.0135501030783161
"mighty";0.180271540168071;0.263556188255397;0.332643892420203;-0.0512423740970163;0.254675386018358;0.510251941530388;-0.122144210604122;0.183456083236228;0.156844074865689;-0.0457250763720431;-0.0503908751521538;-0.0435363874027288
"modest";0.454976436737636;0.0967480028252078;0.230629073740298;0.179922272427623;0.287429336480442;0.0937067445969924;0.09958364430799;0.0467341212872814;0.340198555457198;0.340291608469817;-0.04451862945194;0.369386987990355
"mysterious";0.361263837082511;0.267050045749272;-0.033738248012279;0.084398824598722;0.265573353882405;0.195792060627114;0.213771620010284;0.252957579560517;0.24438573668506;0.193147943536854;0.164266817110109;-0.009671374051376
"natural";0.701539791030985;0.232171209861151;0.194856329751494;0.283747230010878;0.176328150726782;0.191685370814597;0.115499598195494;0.144630573526312;0.229613819710009;0.0921807585783984;0.135116669179954;0.00984021679076418
"neat";0.373118414910627;0.083451548362936;0.16503016375212;0.571131293314302;0.00942976761562749;0.0436245080579127;0.171335841704182;0.25420781334923;0.0729603469060992;0.129350134313227;0.0121354364901551;-0.0500454419650889
"original";0.584928311254189;0.250722510933907;0.104396304685697;0.347869255018364;0.124891343414962;0.12678067039985;-0.146949561793624;0.0583927590672222;-0.145807606507744;0.219354019866031;0.196984277439791;0.209111359583973
"passionate";0.19026846204631;0.0981460672058217;0.198796262424134;0.0176608859012114;0.302700968119881;0.177605095501667;0.628756090556342;-0.0349571754723116;0.1046377495994;-0.0387092282020491;0.00803307243300018;0.0230163466626422
"pleasant";0.612744561769662;0.426106290261349;0.28211489359583;0.229899745337974;0.196348065328449;0.121443553164356;0.175996335313126;0.0267736354951216;0.0733993040060145;0.0284765542831889;0.127144734382238;0.0584597710136636
"polite";0.399466582203494;0.277284611180812;0.101608895929618;0.0506666130684426;0.109962946177622;-0.0099079582471291;0.046707888019977;0.400024502795974;0.450093496456271;0.0935859367224743;0.133390463156383;0.129658224654625
"professional";0.65928031222747;0.233439245125266;-0.0439442287596972;0.231870176339863;0.00841450133184029;0.245761747233702;0.00637201515808865;0.308915746132018;0.0597667086273955;0.0253957760980071;0.258962510719064;-0.116842202860638
"proud";0.656560114770738;0.356816537172422;0.11903382583422;0.348814307322376;0.258918511748543;0.0826281085836574;0.0268437702897743;0.0621715286921523;0.172014771714909;0.241513661284897;-0.0228489761473516;0.0400112725784516
"quiet";0.630112559685604;0.249133310971939;0.259296038863253;0.0435729091547664;0.130586652842619;0.27853707533073;0.137961163051729;0.285778655658315;0.179934335105276;0.141914748904337;0.143306842780225;0.324292973786448
"reasonable";0.24778500329329;0.0777711053971717;0.214481423456738;0.289022479193044;0.186946670081039;0.613452797072641;0.112090041932204;-0.172290337022991;-0.0149722733236308;0.241634535877057;0.0747623734219381;-0.0698136737136733
"rich";0.575284433597758;0.169614593875909;0.209785240139053;0.238280275953324;0.072443055041718;0.0940618872131256;-0.0633452056537416;0.0638481908037823;0.262309186557779;0.150292475970342;-0.0624053775323166;0.0707254337966173
"sacred";0.620802283981846;-0.0681227795910967;0.199050773351196;0.364795337627912;0.147626022995822;0.129570286608482;0.0382006809030641;0.237864385770373;0.119713305943436;0.128567239137939;0.199269760320253;-0.0460606459052972
"safe";0.58308444481619;0.323415673454554;0.294066158985012;0.209060234525199;0.0627958529345934;0.162830054714964;-0.0216682353047399;0.125475166507287;0.0786660695099032;0.159501058717064;0.221224199243073;0.0918302323936404
"selfish";0.280471044534072;0.256692370392493;0.602006704378407;0.11261612788474;0.0883806742674317;-0.0421074377098157;0.187568612436739;0.0980542533535652;0.148138504470338;0.287347771229547;-0.110240887121125;-0.266148470751567
"special";0.0537176708778473;-0.000560335153843425;-0.0194018860137628;0.0911586963003316;-0.0443294839442198;0.646187801818921;0.101168993058609;0.0178290147649959;0.160099604433028;0.0348196808963557;-0.00230058590548007;0.0893829883792009
"stable";0.518225436114138;0.457814801395664;0.0468445263380084;0.138850911225172;0.118170164587285;0.0740743259778537;0.312205531134979;0.0443682632962948;0.172708166484902;0.0597124923651629;0.301693967260264;0.245996969178892
"strong";0.678182765336391;0.326368165241783;0.266905781896495;0.251218124237898;0.147454617660842;0.156046590007248;0.122609884374772;0.0907889188122588;0.0307157732852124;-0.0428916033962905;0.219986157139271;-0.00274763215615177
"superior";0.390862428859805;0.0583740764480386;0.212783686676504;0.172529548329776;0.230257880385069;0.111661653752615;0.092894983150666;0.166095196485813;0.0368267715572373;0.54255676338746;0.410825521525804;-0.0909813394931383
"thoughtful";0.619062027580677;0.155182134273675;0.334419142907602;0.243069434030296;0.144341185562039;0.229539937631412;0.0426665970580982;-0.0613833805191018;0.147804095767622;0.132161871870541;0.346135684037557;0.172839779939347
"top";0.690008417136334;0.038567988765074;0.115472011678107;0.208352023080934;0.187016732457082;-0.0409628057148774;0.26739323799132;0.216102066671618;0.0522009999456716;0.249267241559027;0.0122682760140873;-0.135891188072882
"uncertain";0.185926148636243;0.158430203896123;0.0848311996455712;0.7036970492486;0.0519044539813987;0.244285388737565;0.110490579932863;0.0415801243694194;0.160201542540655;0.0673108122963013;0.130805168934653;0.132472153399461
"weak";0.39187870634616;0.273699434757343;0.373269797017742;0.19319002048691;0.0299064587216464;0.137718248647427;0.056162068451661;0.136473778851677;0.200298940494265;0.128452252192119;0.151397581994892;0.244087283151098
"welcome";0.547324310151525;0.155877519303716;0.021085947079233;0.275463892520815;0.0402300840722084;-0.0180982434972898;0.533740365534148;0.149468330675457;0.00218427585122381;0.165312149685144;0.0290194291902101;0.0147561537414435
"wise";0.661162859877511;0.0745193924003348;0.392773515771269;0.0849909632447542;0.0675230455334652;0.0818436829090777;0.138634953717062;0.0250508898100175;0.0496398529219044;0.123319659565307;0.292331378093776;0.104253003164177
"worth";0.68409580141861;0.308869740300268;0.253485510924175;-0.0275153119723394;0.125928922310317;0.0417968175123216;0.124039412505911;0.184750482254716;0.217138639257081;0.0760216730838764;0.166924070633615;0.0764548396048751
