"MR8";"MR7";"MR4";"MR3";"MR1";"MR5";"MR6";"MR2"
"accustomed";0.281213170612902;0.200664109586834;0.0590240997083802;0.671114081585209;0.0627685094719167;0.23273120544119;0.0731758013962556;-0.126290932205109
"afraid";0.182368658309344;0.434827785386577;0.605492671043973;0.349346974236476;0.16589269568495;0.357609944933354;0.0112623619476905;0.16345686836864
"appropriate";0.380978684610342;-0.0448698018763706;0.221162829474473;0.12335365080168;-0.0412352243967319;0.210389019529581;0.502623289148032;0.123520195322176
"beautiful";0.499225898178608;0.463995697718402;0.209602073159191;0.292767654406163;0.325815373585042;0.247937481843215;0.221993880008873;0.146612564789794
"best";0.460154261269063;0.0679091692326771;0.309536106714693;0.524923468785459;0.515616089350782;0.116860573246766;0.0313194489533705;-0.0108700081590706
"blessed";0.206105289071979;0.242213841996041;0.361392540518095;0.0519837040803731;0.300783088955034;0.441960286522622;0.0966067041825433;-0.0616534742138124
"brave";0.321658403323165;0.506687954550894;0.198030683628244;0.0405622575258029;-0.0777848597643278;0.422392523456116;0.0434622898324254;0.0560392959097989
"calm";0.425217075398842;0.407609970556735;0.542872148065935;0.251168963857437;0.163294523956281;0.186663615636113;0.082357724282011;0.170075792817664
"capable";0.246161949852394;0.471528388197136;0.286543721925259;0.204996197296807;0.375538025980534;0.188048813554498;-0.0289629180765698;-0.0828739321435323
"careful";0.361897143550263;0.338377162588773;0.287204092022383;0.371111952998584;0.077161732655435;0.336427255357107;0.0112712985599555;0.200828816048748
"cheerful";0.373192287977618;0.402312890693996;0.418387119658295;0.321042503361362;0.372443442944488;0.186252543484252;0.119546947318384;0.140407758676675
"clever";0.505333879072292;0.146444966521508;0.363695242426509;0.285923782059982;0.381727804619486;0.144579896095987;0.11301280759862;0.0189273424975906
"comfortable";0.324477852875752;0.045013248880023;0.286187769835609;0.606990375072121;0.254319220281054;0.21893668976167;0.222271807570534;0.144696955541108
"compassionate";0.502816061408278;0.266832145543431;0.459055968804733;0.148475172212264;-0.0193649876194577;0.210049860425161;0.0764039568981844;-0.179487602539818
"confident";0.691739939852557;0.230974362486157;0.219889034912051;-0.0193426868515509;0.126832233020137;0.0174915151367765;0.37825631347295;0.24554504446895
