"MR1";"MR4";"MR2";"MR3";"MR5";"MR6";"MR7";"MR8";"MR10";"MR9";"MR11"
"accomplished";0.172193090783764;0.114853939107293;0.0701679657537662;0.15697326157412;0.694414764317577;0.225651090949137;0.137786504609076;0.149262177606916;0.0605076043021977;-0.0356345408353198;0.00624336879079186
"afraid";0.405179758401352;0.46397483322745;0.281558995834959;0.340171533257756;0.311720143693726;-0.079438627969202;0.221994222630038;0.246135713625904;0.300618414676976;-0.0177140699576952;0.0731872399153421
"amusing";0.479859614752513;0.13941842431897;0.587232041979723;0.059463553781308;0.0391798454346082;0.139221162745812;-0.00515733292420448;0.274429895520526;-0.0351682593803236;-0.120085938846295;-0.150644444574731
"beautiful";0.619057610447308;0.284844238547144;0.369833428316948;0.243134024830223;0.208496890130119;0.251200257372536;0.263780221641672;0.139406381931753;0.0920196970637812;-0.106123486717141;0.0261544105507406
"best";0.45884344397985;0.374183283165306;0.364627097856349;0.247119687790584;0.24188201653319;0.0327328288573437;0.126035907620511;0.307315074637909;0.178933698948661;0.419321357934702;-0.0279578844293841
"capable";0.281863258483967;0.250872335579836;0.390323689151798;0.292141316719511;0.293052483255109;0.0184366403291546;0.192228223088629;0.00592986481094235;0.135318006672377;0.107587336922218;0.436096002702489
"careful";0.133731822727503;0.0936015802989569;0.751730023003398;0.159230748922272;0.0562541636755228;0.178648614815244;0.102828804228344;0.0874189398663762;0.0960651654114639;0.0670662596746969;0.10704980305503
"cheerful";0.433833204581142;0.399623542121372;0.352747987208788;0.306680722231611;0.27565014358272;0.187473375949667;0.181636410278671;0.191640558531447;0.142965054248336;0.0411334869793042;-0.0170742928270826
"clever";0.383384592116988;0.345120427395652;0.48372735178306;0.176012205932348;0.20338524506054;0.255345605239749;0.344023653027108;0.192730997384108;-0.043111018915352;0.111520023270688;0.2074758031821
"comfortable";0.305514287433455;0.414217958798982;0.458547027825219;0.480168746155825;0.262261940561877;0.198799807410738;0.114306040301718;0.0747311454001869;0.175170462972039;-0.12695061979366;-0.0706507537503043
"dangerous";0.176985435517971;0.286549160530026;0.396657108477204;0.231128442550909;0.55965461892941;0.0375575461603178;0.139258435494283;0.277183547031474;0.00931725970516405;0.00783502863583176;-0.00556284425411166
"delicate";0.494059052200736;0.119169500735694;0.670205420388773;0.187158465605057;0.174288728188555;0.0759774730210968;0.142314948170528;-0.0386364919187801;0.150541445830766;0.0491123518214458;0.0557464413371406
"delighted";0.495520424913428;0.508834102400516;0.203705819072262;0.328799303319046;0.171136467016161;0.0496191906497823;0.211910986966162;0.227209419871117;0.0854128205616955;0.260281031258053;0.167958409847994
"delightful";0.572269072823511;0.425015278496138;0.282656979128844;0.327613392456794;0.151474993636877;0.159329830806787;0.114968095930486;0.276459123309863;0.0885030850022749;0.121449977725418;0.197009137297861
"determined";0.45115098719378;0.434114933507712;0.159379817004836;0.172222417488059;0.243532417072253;0.339598788401164;0.256188485297308;0.108049207991315;0.286984694508681;0.00957344013186857;-0.00639365769892121
"different";0.570371691827351;0.449402961684828;0.239723958500645;0.211389732812317;0.18667176980048;0.311231191002047;0.1226840251226;0.111825661513898;0.162805699219918;0.0559504008172311;0.101433311532507
