"MR1";"MR2";"MR3"
"accustomed";0.557310975933723;0.00711149200929493;0.0307798327787508
"afraid";0.574592863111719;0.413890481438178;0.433133463394158
"beautiful";0.631289883210898;0.22851528034748;0.419094000978309
"best";0.501509503027441;0.00262438675368455;0.488020548555379
"capable";0.0770077650260127;0.734890983949859;0.179899769583741
"careful";-0.0772013496377515;0.341879174262052;0.558418498998719
"cheerful";0.128429513621213;0.383471901926116;0.589676120733447
"clean";0.0781057586350031;0.446548808916943;0.438220713763151
"comfortable";0.346493297912178;0.389827394029028;0.270952504082472
"compassionate";0.311473732765471;0.531436465189907;0.112452701971786
"conventional";0.0328194102140272;0.142957021333447;0.329572392483252
"cruel";0.257838156399969;0.0634265244459329;0.232896429484353
"curious";0.339662558878003;0.434318026716582;0.416287579084051
"dangerous";0.25905664112166;0.193197330884298;0.354059311137624
"delighted";0.575552348893093;0.369283654710895;0.310018847356474
"delightful";0.0422957304607803;0.595255496811479;0.0612205662315557
"determined";0.143604302510143;0.685788247808266;0.140050642518589
"different";0.564754305813155;0.344748144871587;0.255498231873427
"direct";0.660977998302416;0.140656011050661;-0.146321227026899
"expensive";0.296344126235794;0.471249888350883;0.363544022835549
"extraordinary";0.358291099250404;0.156129911273355;0.480979927585428
"extreme";0.185750562105826;0.447996290883732;0.235059539112473
"fair";0.558284302243383;-0.0779376955967671;0.278995483673344
"faithful";0.465404059130723;0.444121473283434;0.278996621332355
"familiar";0.271224792895975;0.197229213467392;0.381942695964111
"famous";0.532728302780602;-0.181219155231922;0.109557126129735
"free";0.440457457116078;0.277483038046145;0.346381011423963
"friendly";0.610916402468471;0.32370169491015;0.0549040910207685
"generous";-0.0750450937020062;0.477503811392161;0.0487592569837202
"gentle";0.146215763228839;0.22249354975132;0.461531482369255
"genuine";0.48090377737968;-0.297254648396016;0.0670963584647072
"greatest";0.559509996616451;0.205785017572678;0.351779461401947
"greedy";0.365938894109157;-0.264859864724327;0.0753500038950917
"happier";0.557624704123338;0.368971434127068;-0.0763576236691739
"happy";0.622233329517384;0.447676580705502;0.158225238586721
"honest";0.605210083720458;0.3109893680231;0.227619858354886
"humble";0.644838350117455;0.450566889278635;0.110323184988097
"interesting";0.050095497546502;0.121246079482095;0.468487895492015
"legal";0.0928686730112466;0.438964980716226;0.341249511815831
"liberal";0.141923411196342;0.518706834965943;0.132890424782174
"loose";0.223794436515455;0.0841288832883484;0.391727434028493
"married";0.288806479078385;0.40328034496932;0.258357967389401
"modest";-0.0526695195474899;0.228538297981844;0.2527980357349
"mysterious";0.524810396828304;0.0541101952274722;0.450987925139344
"natural";0.639022876617615;0.178365980409027;0.471678455517063
"neat";0.176164347981067;0.534973517456319;0.160029572932595
"official";0.245312690364745;0.152390107455327;0.354193641589501
"playful";-0.0444994240522738;0.00860246739951554;0.414646635965519
"pleasant";0.551907439676544;0.461192841745342;0.458746882413928
"polite";0.343535809946237;0.291736280225922;0.305486105262612
"powerful";0.137637450961156;0.0435189599576856;0.669862104767111
"proud";0.722069678608169;0.041170465985145;0.221186760912171
"qualified";-0.0376404945472126;0.169548319042274;0.694798346319002
"quiet";0.640293612775413;0.383363358358954;0.352281687103826
"reasonable";0.0655094511231447;-0.0701153158162519;0.25630716091781
"responsible";-0.286019190453427;0.253507689557047;0.286141043143508
"rich";0.315197988471076;0.185704735819778;0.605083055848601
"sacred";0.635981706585032;0.0633710458510534;-0.109556037170893
"safe";0.662316701698824;0.370681232347573;0.276513502739385
"smart";0.465790395306781;0.552533427527197;-0.037573667489739
"special";0.278365593401386;0.558436242198025;0.241423051925874
"strong";0.604021167506397;0.337154080341212;0.436884522812494
"superior";0.64444793084294;0.27339399634211;-0.0931842762704746
"surprising";0.385177715040438;0.263701344920511;0.485678072446571
"sympathetic";0.153841986693222;0.41105461154824;0.441103336738664
"thoughtful";0.333873255218125;0.404366531055855;0.278848075874481
"top";-0.15187013853979;0.61977048444408;0.18735357752051
"weak";0.468934305782279;0.294073291931115;0.460772680110113
"welcome";0.192682062605852;0.410729778472307;0.207404923957442
"social";0.223535878611866;0.0353097724833379;0.226837666521586
"uncertain";0.14371238606003;0.683407475843218;0.0176496646752029
"worth";0.604379814275507;0.140703340728108;0.272054418101557
