"MR1";"MR2"
"#-wise";0.0354160404293963;0.36909102951203
"accustomed";-0.130925031216652;0.699244326727712
"afraid";0.685213303830922;0.0173862137817998
"appropriate";-0.13243189601218;0.685737802810085
"beautiful";0.270283050209639;0.426508192390221
"best";0.470605575506311;0.459523290451308
"blessed";0.525019516365346;0.313029756060492
"bored";0.342649591685236;-0.139011208762643
"brave";0.48213696184575;0.121932491299769
"calm";0.299824016487751;0.519344043631033
"capable";0.193096196970539;0.307144901797343
"careful";0.214938456986796;0.528885165998518
"cautious";0.358863889710041;-0.0196291139045473
"cheerful";0.290001841051742;0.570730744114446
"clean";0.231000915879332;0.285063317866688
"comfortable";0.557357343735723;0.229281926905272
"compassionate";-0.151560015708967;0.636793900235778
"competent";0.110428100016374;0.360680234923335
"conventional";0.317433519044953;-0.00750242319852872
"cruel";0.187628197197691;0.383642535013261
"curious";0.388126277589611;0.577082222891704
"dangerous";0.185579900822278;0.498166152514024
"delicate";0.00652936365308384;0.725847689874984
"delighted";0.428622840166657;0.442531948406335
"determined";0.0135589938331129;0.0688315563859005
"different";0.699901311923024;0.189566363793729
"direct";0.468215028727033;0.0105717575943637
"expensive";0.288313456751956;0.0132792439574691
"extraordinary";0.448599315186993;0.259951692120158
"extreme";0.351648911101346;0.136130041621014
"fair";0.444271060506146;-0.0578157110267325
"faithful";0.60560970801883;0.248314616224755
"familiar";0.337862188791008;0.422166902127219
"famous";0.234912621612518;0.0227121605313657
"free";0.492363011315707;0.38116239025961
"friendly";0.133627450855526;0.364097999175714
"gentle";0.604601926668257;0.252721236414571
"genuine";0.384895485960668;0.131505398858224
"graceful";0.241278962034884;0.34738503197018
"greatest";0.656012851275187;0.240305327111256
"greedy";0.156398922639829;0.0192881780192136
"happier";0.519038440465113;0.0787448222794807
"happy";0.315845558430437;0.536713760578884
"holy";-0.0736025801077318;0.649453085928857
"honest";0.386273624146572;0.459741312899927
"humble";0.638212206839388;0.29434560794013
"independent";0.0100028901935415;0.592226611382703
"intellectual";-0.159730444660781;0.71225653539715
"intelligent";0.277987301325224;0.167105237518555
"interesting";0.420215362868186;0.244836147118424
"loose";0.265349962451156;0.47052637086153
"married";0.340686449660191;0.165868689802187
"mature";0.509576747318485;0.305154111739718
"mighty";0.223597014232695;0.0166645079097089
"minded";0.410679190026455;0.466785611514228
"modest";0.627483105927012;0.0329734723264808
"moral";0.556563509575463;0.25095392211966
"mysterious";0.421909455153974;0.117710803552754
"natural";0.489816582839022;0.33680340564559
"neat";0.331074948425718;0.0916030252692446
"official";0.344294757080685;-0.182201038034133
"original";-0.0210113760485943;0.12931013022474
"pleasant";0.638219662647784;0.270370924167193
"polite";-0.178112554032221;0.657606506242244
"popular";0.0507460523702219;0.61468174833811
"powerful";0.184074225932405;0.134554423183755
"proud";0.581984311057819;0.307334219782888
"prudent";0.359148227934695;-0.080278785180683
"qualified";0.658471314600273;-0.0717663180299294
"quiet";0.555744142961036;0.385972698271549
"reasonable";0.086410257319382;0.126449591668774
"respected";0.491583708280441;0.0343240768971013
"rich";0.484657532998116;0.310316354280394
"sacred";0.283740569997561;0.286236247856602
"safe";0.331431723374236;0.339690793506698
"scared";0.417187988104293;0.00880445895599132
"selfish";0.350593397947342;0.539345574874717
"social";0.0786008687935833;0.248226244087306
"special";0.316733421315019;0.197283192282335
"strong";0.596656380753138;0.382883467200807
"superior";0.46219887023993;0.021145172354038
"surprising";0.307232083645552;0.219364106507385
"thoughtful";0.371412751995774;0.318703864381422
"trustworthy";0.344294757080685;-0.182201038034133
"uncertain";0.510629238298237;0.259372842528764
"united";0.318863572993397;0.134811672959784
"weak";0.571867686007869;0.208114042932031
"worth";0.430170963025803;0.0594682758945762
"sincere";-0.334922159901953;0.733840927715071
"welcome";-0.0754687270947362;0.397686438671385
"tidy";0.377626639729749;-0.104284496462485
"stable";0.250638391517605;0.196878584063964
"wealthy";0.344294757080685;-0.182201038034133
