"accomplished" "accustomed" "afraid" "appropriate" "beautiful" "best" "calm" "capable" "careful" "charitable" "cheerful" "clean" "clever" "comfortable" "cruel" "curious" "dangerous" "delicate" "delicious" "delighted" "determined" "different" "direct" "effective" "encouraged" "exciting" "expensive" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "free" "friendly" "funny" "generous" "gentle" "genuine" "greatest" "happier" "happy" "honest" "humble" "independent" "interesting" "legal" "liberal" "married" "mighty" "minded" "modest" "moral" "mysterious" "natural" "neat" "official" "original" "peaceful" "playful" "pleasant" "polite" "powerful" "productive" "professional" "proud" "prudent" "qualified" "quiet" "reasonable" "rich" "richest" "safe" "selfish" "smart" "special" "standing" "strong" "superior" "thoughtful" "threatening" "top" "united" "weak" "wealthy" "universal" "unpleasant" "wise" "worth" "sacred" "unprecedented"
"accomplished" 0 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
"accustomed" 0 0 1 1 3 1 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 2 0 1 0 1 0 1 0 0 2 0 1 1 1 1 1 0 0 0 0 0 0 0
"afraid" 1 1 0 1 5 6 6 1 2 0 3 2 4 1 2 4 0 2 0 0 1 2 1 1 0 0 1 1 0 0 0 2 0 1 2 1 0 1 3 0 0 0 3 3 0 0 1 0 1 1 1 0 1 1 2 3 1 0 0 1 0 1 2 1 0 1 1 1 0 3 0 1 0 0 0 0 2 0 8 2 0 2 3 1 3 0 1 1 1 1 0 0
"appropriate" 1 1 1 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 1 1 0 0 1 1 0 0 0 0 1 0 0
"beautiful" 1 3 5 0 0 4 3 0 0 0 4 1 4 3 0 2 0 4 2 1 2 1 0 2 1 0 0 2 0 1 1 1 0 2 1 0 1 2 6 0 1 1 9 1 1 0 1 0 0 0 1 1 0 0 1 0 3 0 2 3 0 4 0 1 1 1 3 0 0 4 0 4 1 1 1 2 1 0 8 0 1 1 1 0 3 0 1 0 0 0 0 0
"best" 1 1 6 2 4 0 2 3 4 1 4 0 3 1 0 4 1 2 0 1 0 3 1 1 0 1 1 3 2 2 3 1 1 1 7 2 0 2 5 1 4 0 6 5 1 1 1 0 2 0 1 1 0 2 2 2 0 3 1 1 1 5 1 1 1 4 3 2 1 4 1 2 2 4 2 4 1 1 10 1 1 1 3 1 2 0 0 1 3 4 1 1
"calm" 0 1 6 0 3 2 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 3 0 0 0 4 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 1 0 0 0 0 1 0 0 3 0 0 1 0 0 0 1 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0
"capable" 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0
"careful" 0 0 2 0 0 4 0 0 0 1 1 0 3 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 3 0 0 0 2 0 1 0 2 2 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 1 0 0 1 1 0 1
"charitable" 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1
"cheerful" 1 0 3 0 4 4 2 0 1 1 0 2 1 2 1 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 2 1 0 0 7 3 0 0 0 0 0 1 1 1 0 1 1 0 0 1 0 1 0 2 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 4 1 0 1 1 0 1 0 0 0 0 0 0 0
"clean" 0 0 2 0 1 0 0 0 0 0 2 0 1 2 0 1 0 2 1 1 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 4 0 0 0 3 0 1 0 1 0 0 1 0 0 0 0 1 1 3 0 0 1 0 2 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 2 0 0 0 0 0 2 0 0 0 0 1 0 0
