"MR1";"MR3";"MR2";"MR4";"MR12";"MR7";"MR6";"MR8";"MR9";"MR10";"MR5";"MR11"
"accustomed";0.181956647509114;0.327297878145874;0.515649198789471;0.0523795672316997;0.173606796249239;0.0576259588903436;0.10028261925254;-0.11859436409661;0.0252855674018632;0.149536614777967;-0.190632131231007;0.271924447719597
"afraid";0.530936745246862;0.205696473395657;0.301359181510212;0.158442491217721;0.2172418347811;0.251733851961585;0.20387603301677;0.288811209005012;-0.0256273387862032;0.0887674381038268;0.10689585746737;0.0624549871511625
"appropriate";0.258113248887719;0.0806968835450164;0.0845835236004605;0.606224568902706;0.167080049984685;0.147225640828075;0.266686770576002;0.030370738567851;0.17861421940303;0.139978104391478;-0.0209584958112057;0.000314158440027189
"beautiful";0.642059694378692;0.202329148455975;0.263897135672369;0.204040730527529;0.26286493435766;0.110750528527665;0.13737306089987;0.265768672467691;-0.0100981150083319;0.177360931766733;0.148027536266342;0.0785271324592
"best";0.346192823408931;0.500362410394823;0.197750160507189;0.0177615456675588;0.20647012561446;-0.030192089519606;0.148781334378421;0.234495909793931;0.136459654368447;0.495429564426095;0.265490804542848;0.0945232982182212
"brave";0.456952942410839;0.0343678126776115;-0.0198732169132548;-0.0138915971960118;-0.0113667299816083;-0.00142801350505569;0.0751914398587524;0.0225791875707338;-0.0572373674394747;0.259429114823869;-0.208102511407434;0.143544130138297
"calm";0.189059904886138;0.428419274466834;0.25084929938563;0.233542532027028;-0.0587148064777511;0.198368471521757;-0.3495606834827;0.198877569263557;0.0251632132778459;-0.0156890741060167;-0.186036403905845;0.226723580740984
"capable";0.475234289544334;0.0997286337592841;0.238251465951347;0.171865816380447;0.189242012936172;0.501748518549431;0.193253529072613;-0.0698853998785647;0.152391385202143;0.00486845680104354;-0.060229876443657;0.0194355029403675
"careful";0.314043803570235;0.49645172546103;0.0152197320366512;0.188538914834417;0.0323174779847411;0.00643213266351792;0.0543804644784459;0.524988895418526;0.123011719130339;-0.0716194785682666;-0.0303741101901759;0.106787938598814
"cheerful";0.533158579827612;0.085428195693797;0.42391406158697;0.126972072619485;0.185949274720813;0.0479625202927696;0.0698126561876477;0.0524936217600319;0.21944968780346;0.139461865324721;0.150675942996236;-0.180777512752017
"clean";0.483021054261383;0.311705702578136;0.041685822377935;0.158941648541544;0.217331002109819;0.120189178784146;0.209979931101811;0.300820606137199;0.0225803346395857;0.0137819184863633;0.0306518954198296;-0.0030230129829591
"clever";0.0477699525182564;0.0444992315674946;0.229511376646308;0.0311139838526723;0.247096127702156;0.374339508832642;0.124309611357518;-0.000748652699579424;-0.0697774851228409;-0.0211688257034141;-0.0990488524116724;-0.159348632693369
"comfortable";0.430896728013188;0.385357789804296;0.331613055013139;0.248005246000931;0.144464566717591;0.212220217081592;0.229525936080188;0.115080867500787;0.0052556425997969;0.0849340819675487;0.181756227987677;-0.0149144647214242
"confident";0.162497823472599;0.0331364000829584;0.14104182034235;0.279782791386941;0.193452792225671;0.117843903300858;0.236599347837599;0.379839118534536;-0.0164399011390593;0.0772261337747493;-0.361650242187007;0.148229184285977
"conventional";0.127963799248447;0.242142348523668;-0.0117697128951972;0.689856905959509;0.0670491174911934;-0.0376008353352432;-0.0702781754296053;-0.203964574884524;0.157682486451105;-0.123175630682627;0.109822804821358;-0.128544030781674
"cruel";0.478660710389946;0.502521848116938;0.106523154500481;0.165806162860592;0.193748650924189;0.0744715443715398;0.12781434655468;0.254730338766137;0.224204756879122;0.0591798103487043;0.0207759767631221;-0.280952448847796
"curious";0.582926791305826;0.371662122895274;-0.00889637401175399;0.166990569268604;0.00552633412140199;0.0986013207133415;-0.0403971237968859;0.281227423084748;-0.0870899020001299;-0.0659209623873338;0.324444250517231;-0.00883614551791088
"dangerous";0.292608248989302;0.179093833982237;0.346891443785567;0.108236081878564;0.357965660776072;0.0719723390619328;0.243086136798332;-0.000134122171310726;-0.0425557810646957;0.141499630532449;-0.309741441966631;-0.0128127731969177
"delicate";0.371754411160927;0.161430224458976;0.480913266961696;0.0586847470692948;0.0844191157521969;0.28704555574988;0.263881313107398;0.164905535546808;0.183000779797543;-0.00930584637064165;0.0857741304537438;0.0661366092705769
"delicious";0.560791486443185;-0.108254218688465;0.28388478451534;0.277834348887255;0.100733684120981;0.123011301145857;0.222845679481369;0.0576546758386996;-0.0291466996239041;0.275835099441961;-0.0668267116133487;-0.0639611824842887
"delighted";0.163944496962344;0.176713707671467;0.619383221490651;0.0782787221348119;0.0452679100653547;0.169395165833154;0.0404780126700848;-0.203156355027559;0.111684080872992;0.0861169190824267;-0.101922477493993;-0.192857160609918
"delightful";0.38913987917741;0.212202262488363;0.512959287538548;0.138055351661538;-0.130814169592191;-0.0588970892152462;0.282886684599737;0.0160586231413517;0.287091012005305;0.142939607712679;-0.0104626147687315;0.0372237243001949
"determined";0.235056835644184;0.574288175775726;0.151695952122533;0.187860207654573;-0.0844504176585829;0.0267721986781471;-0.0228794460422183;0.0459607875260706;0.00323613348871335;0.0214425279179384;0.0383284787861158;0.329666991119857
"different";0.670569760898593;0.37886810281581;0.0838737904178508;0.167606496549054;0.234902113310205;0.127643533835366;0.00602040990939956;0.0839230085183848;0.00412771444283107;0.0397439774286185;0.127772879540088;-0.0844029599812324
"direct";0.173010982146362;0.0322273464091844;0.106592542034536;-0.0308844170540278;0.066051896078023;0.305928791614018;0.0197158874345102;0.2986426673765;0.0255587909516182;0.121877873525292;0.0600585786039039;0.106227046839229
"entertaining";0.135274363734367;0.587582035284489;-0.0535458289098294;0.044035563510756;0.043699588407878;-0.00844025760091343;-0.00013166176510055;0.0420937522919006;-0.123635626955349;0.00674372719790792;0.0900800736352583;-0.148765120695204
"extraordinary";0.467804300592573;0.248387098031406;0.202686520464195;0.172284871595937;0.0819275478747631;0.184307672204788;0.351885304609559;0.196511432970674;0.149572838932912;-0.0502037559955603;-0.187717926646604;0.052120455643889
"extreme";0.103499562848843;-0.124715756848985;0.147228565667623;0.0785464469281527;-0.0369816306379905;0.0126972440957479;0.0866563298464921;0.0258517034295035;0.504606028624878;0.0429294121866986;0.0734187422922811;0.00903788319077855
"fair";0.417948711023541;0.174811380124631;0.176321999194151;0.168735590200622;0.398101586803137;0.15621273717414;0.139975198745046;0.287508380746975;0.388110194257786;0.0285900323585508;0.204224551077806;0.0737901759522977
"faithful";0.317969622042108;0.286516420688867;0.110028636079011;0.480841737864059;0.410443308437001;0.0621149780096441;-0.158463319451655;0.0846818118517221;-0.0384155359191341;0.0881491273426752;0.0871707672469175;-0.119450974164586
"familiar";0.281104318540911;0.433247341470809;0.210609237497847;0.0508479892596693;0.252228515967275;0.256680644206792;0.308548236308158;-0.0367341758934798;-0.0928683665414392;0.0235722461751227;-0.106872426079402;0.200169124240249
"fancy";0.106654798013946;0.217845354098798;-0.0369887700440327;0.0771747656242748;0.0584235833872229;0.0259769356877857;0.0878384627476328;0.0235462652599682;0.142694899118646;0.0760197799598803;0.526500921791702;-0.00511872058077592
"fascinating";0.261078541129087;-0.0759472365425031;0.370930599011072;0.0191010161571584;0.29903403049349;0.130182216944813;0.16313298571221;0.0346416036918955;0.127640441434725;-0.249721184954283;0.0358281973215597;-0.0371054303395701
"free";0.437496051783555;0.379762572133342;0.139496450043314;0.297731383563456;0.105067290595202;0.12425129481043;0.366574581597047;0.0442744863710098;0.302899255231419;0.0342730350152813;-0.0655243979645864;-0.00589233753636823
"friendly";0.198933366075545;0.451318349244397;0.214487106156326;0.165936255487596;0.197436651939377;0.150185482268206;0.0473384905215928;0.168031022149526;0.191628255364423;0.0354550793594246;-0.0551187672288393;0.0359404991039347
"generous";0.559620377651028;0.310917678047462;0.122406270457836;-0.0402903133211459;0.148072997406724;0.23346960830777;0.301303223032075;0.220525938493341;0.0909984964056809;-0.0686758886716035;0.245804740777699;-0.0639547014325724
