"MR1";"MR2";"MR5";"MR4";"MR11";"MR3";"MR8";"MR7";"MR6";"MR10";"MR9"
"accustomed";-0.188386635496464;0.0909829451393943;0.810176585431695;0.0706809957110878;-0.0366229745511413;-0.0913689102256745;-0.0668678073645233;-0.0397062508832896;-0.00190904745220751;-0.0712228433002979;-0.00771495895192519
"afraid";0.0126694279039475;0.4419787942189;0.0782597336236878;0.588688793465588;0.120517609326361;0.047079043412598;0.0172744469270841;-0.084180250316249;0.0880612792482038;-0.0554999703241635;0.0367029048591944
"best";0.151010143605202;0.225040202783782;0.0400744579697366;-0.115053437087548;0.0662971384768994;0.0769138314027937;-0.0423015881286959;0.952754602744835;0.0185809026848132;0.0405292433956876;-0.0125661230045393
"capable";0.00894417216076554;-0.0114237171685494;-0.119744090026703;0.149227072798136;0.37811960010647;0.64464593149653;-0.173967202101688;0.0940338869930654;-0.0506684033082839;-0.0689515725194749;-0.321605645608251
"curious";-0.119573705897762;0.872864186799121;0.00695692692936218;0.0151260950500531;0.0835030965493037;0.102557407520575;0.101100580851877;-0.125869891542237;-0.024981485022781;0.0999751172359691;-0.0430350468107883
"delicate";-0.14947426489067;0.0508557364074529;-0.0989543555765559;-0.0978675072186553;0.114295954028367;0.756603268234791;-0.0108232162705363;0.00671694730657538;-0.0981092489685998;0.0293876880884517;0.0621521097506451
"delighted";0.804283195708598;-0.123124364685642;-0.0334683040187793;0.117265333969134;0.0267897252343426;-0.0481011972769716;-0.0977321329658929;0.0790445280733191;-0.00182653502172603;0.0175052417906075;0.135200382925847
"determined";0.842482530313777;-0.124040736903918;-0.0631979590164409;0.0694818646500606;0.183954552908197;-0.0872782668014331;-0.0899586418790539;0.015810343607485;-0.0315491756937464;-0.190434726396563;0.0681245545369838
"direct";-0.127654231970405;0.696376629195148;0.0862411809143397;0.0840863080729977;0.162889089903367;0.180113714638912;-0.198121511577976;0.111455512837259;0.14563581606242;0.103246009502583;0.167661310555066
"familiar";0.0451415866143536;0.0158219271618248;-0.142583878793437;0.170041231704489;0.0872677885277045;-0.153802517690589;0.758740648648386;0.0327585072881039;0.0382738975886726;-0.10464643004482;0.0986781184976518
"famous";0.657612651979594;-0.108308807277069;-0.0215428815800956;0.337862404252627;0.0885936784732472;-0.14507348716277;0.0461374812600208;0.0256165560136432;-0.0693328786353915;0.00851269214656218;-0.0124761846251679
"free";0.745830201217597;0.136209618424579;-0.0325921949215776;0.0563924986005087;-0.0260534817843559;-0.0706886433093307;0.448866819896122;0.048209517808084;-0.234192691896357;0.190789779596279;-0.347738860414178
"friendly";0.204058051975758;0.0324057923344314;-0.0896381092829065;0.0216245041601531;0.786802513295884;0.182544315625958;0.0868458845126919;0.0378350658899441;0.0116757572580965;-0.0472266369412911;0.00474481061656337
"gentle";0.199247503202339;0.0798159803590914;0.367894746031825;0.53929875275718;-0.100285059983135;-0.170709171719671;0.0269036613668961;0.0636318917939551;-0.0512215420906649;0.116986616628076;0.0036030576738129
"greatest";0.731411041383087;-0.104712962140788;-0.195676744424039;0.0772846308124691;0.0904960851567803;-0.0389564352652289;-0.0755185192698786;-0.0346912561676308;-0.112838831083609;-0.0493906071640452;-0.179420890984182
"holy";-0.0227510540989108;0.128073962763921;-0.0622838810619756;0.183145862489223;0.0304329477007939;-0.273610144462929;0.0322285498413839;0.0192909403169016;0.922370077032037;-0.118011561184826;0.0265516769596656
"honest";0.0507418221186999;0.460975194779704;0.186694551694944;0.0059282654013096;0.017061728339946;0.0733977507614594;-0.0904982663125678;-0.0551692376968995;-0.0928855665467906;0.600737435128678;0.0544495443786783
"passionate";-0.120495908636089;0.731241694085977;0.0351388856559209;0.0490989676233849;-0.161721052174241;-0.190432716384544;0.15995765064216;0.178717444081501;0.0160443787474623;-0.01191623228083;-0.13894920911236
"pleasant";0.738449655384447;-0.200231334843604;-0.0298541547169759;-0.00269380943615167;0.27599494097853;-0.128622773241511;0.158220991099053;0.180049417680616;0.0901823801682941;0.00602112661299167;0.113746444545234
"quiet";0.161836681477087;0.0217025357401431;0.0116086217080472;0.859720750347925;-0.0121541316165296;-0.0521401873116192;0.142158498735703;-0.0845970371039542;0.131225500609772;-0.0436536489094307;0.0174550704556646
"reasonable";0.592789287269341;-0.0759989655520895;-0.010721290777426;0.505324780466306;0.200169416876683;-0.0933925209338898;0.0699929248885903;-0.0548212769324298;0.200143823902233;0.0735932152050094;-0.213534387187135
"rich";0.562532543279028;0.105130064006959;0.144397343848705;0.00880797185994322;0.397011898651547;0.0483141377673966;-0.0506369593293328;-0.254705788187664;0.177960415691384;-0.646397523096105;0.0727818755896001
"sacred";-0.188386635496465;0.0909829451393927;0.810176585431706;0.0706809957110869;-0.0366229745511395;-0.0913689102256733;-0.0668678073645205;-0.0397062508832913;-0.00190904745220718;-0.0712228433003015;-0.007714958951927
"sincere";0.204058051975755;0.0324057923344296;-0.0896381092829062;0.0216245041601524;0.786802513295904;0.182544315625952;0.0868458845126908;0.0378350658899462;0.0116757572580935;-0.047226636941287;0.00474481061656588
"strong";0.132924362743605;0.0530627337477181;0.782889408252227;0.0204490981057453;-0.131227639483414;-0.0744815172998145;-0.0770139397928054;0.141209627509501;-0.0431456590926418;0.265390621256579;0.0150064443837642
"wise";0.710926404773091;-0.130972719928447;-0.0705991789517686;0.0532740751523845;0.0202064696526279;0.0465940376126613;0.324412311838323;-0.0203645708493729;0.0590450512746837;0.0526113981050975;0.594794002573097
"worth";-0.189789154076055;0.710609993665163;0.116288311478189;0.075077793978968;0.00390172335763216;0.00914637316511334;0.0372922506109039;0.142335136801581;0.0270429062304555;-0.00772087058250377;-0.0235264374133864
"modest";0.0852681208833958;0.254057521901992;-0.11603775062659;-0.0280429864770118;0.415626519169608;0.171768924019042;0.544540275758043;-0.272317354670889;0.0320464696526998;0.145848276106011;-0.0539414849400738
"special";-0.149474264890674;0.0508557364074556;-0.0989543555765616;-0.0978675072186581;0.114295954028388;0.756603268234735;-0.0108232162705479;0.00671694730657427;-0.0981092489686094;0.0293876880884566;0.0621521097506404
"welcome";0.723137353937519;-0.0839860924546301;0.0401528286970702;-0.448450185678014;-0.0141608711562802;-0.0266041169705593;0.196017475710591;-0.00674750072050549;0.29992144168951;0.0234308354622417;0.0924652371146521
