"MR1";"MR2";"MR3"
"accustomed";-0.201828743357577;0.265161272739397;-0.468307038233441
"afraid";0.152135059999566;0.615451492343861;-0.0679707537801939
"best";0.0874771618090879;0.177335158367561;0.0521300112524945
"capable";0.0235847955620785;0.136915956109211;0.581211346519836
"curious";-0.148883206325654;0.785794510917997;0.146349104136476
"delicate";-0.225427954431558;0.0848672247570614;0.598917738933384
"delighted";0.767101973096164;-0.141387924413543;-0.0663519586720721
"determined";0.844814184868057;-0.164257154241459;0.0357528930427769
"direct";-0.151656784468357;0.692807740298765;0.128388152776752
"familiar";0.25711527906303;0.0898790490574839;0.0275287857075621
"famous";0.735868150062046;-0.0184702519083311;-0.13298588882978
"free";0.677202535005483;0.108395404024032;-0.0228994132931707
"friendly";0.37934873636234;0.185622552823949;0.550376203543428
"gentle";0.277040710688003;0.311481199200358;-0.485500983709248
"greatest";0.693926526800062;-0.163914061780976;0.0942576897024377
"holy";0.123183424426561;0.160177476665614;-0.176147538407897
"honest";-0.052149986397877;0.450048337551692;-0.0563997781409087
"passionate";-0.138436577132064;0.603998980283357;-0.182233938761936
"pleasant";0.816698706919663;-0.159287226947074;0.0464579271609964
"quiet";0.360190405502068;0.279850514341499;-0.216928316821063
"reasonable";0.730239443363792;0.134921105906917;-0.094650880220215
"rich";0.57687523031736;0.0776507588658335;0.154634912519794
"sacred";-0.201828743357577;0.265161272739397;-0.468307038233441
"sincere";0.37934873636234;0.185622552823949;0.550376203543428
"strong";0.0260370533576866;0.20715012018355;-0.500262598161214
"wise";0.710028272417502;-0.130164682918195;0.0381216859582377
"worth";-0.200231589021073;0.698912025397875;-0.0375595149969687
"modest";0.220638142167993;0.317278346509892;0.398588443367323
"special";-0.225427954431557;0.0848672247570612;0.598917738933383
"welcome";0.578038744638084;-0.218950901618274;0.0230959567683402
