"MR1";"MR9";"MR3";"MR5";"MR8";"MR7";"MR4";"MR6";"MR2";"MR10"
"accustomed";0.651054308547882;0.100576455102159;0.273570809814443;-0.0259538995845297;0.190373929990678;0.0772832279861303;0.0952688442735229;-0.145433962184866;0.263316548941823;0.202554722402773
"afraid";0.806408874363285;0.187645003552777;0.103824113057049;0.1400096901014;0.171385699425466;0.128422391846861;-0.00253500490472547;0.198454298621761;-0.0557922190923243;0.0676063535013958
"beautiful";0.53800589683363;0.320418726950115;0.135874502114393;0.374341727144464;0.209474633825949;0.232754140201492;0.126814592126424;-0.021282591880412;-0.0823276859044005;0.170221529835496
"best";0.249745938740811;0.147630227818349;0.353732172220327;0.0658594580586161;0.308069281785426;0.447755067146187;0.269935624351779;-0.00202709045536657;0.0250970124796864;0.0556211260707694
"brave";0.120119814405486;0.368952450330751;0.154315616132029;0.0734126297835721;0.639110273521275;0.407907589813082;-0.00790965952701712;0.0956270067907903;0.0367038705167087;0.0505079404532991
"calm";0.288195499439799;0.175073439887062;0.786577619742216;0.110568200653727;0.145218408230071;0.0935547774304119;0.0736766255192573;0.0511811758153106;0.142939971295074;0.141732601940116
"capable";0.421844435941684;0.41558382673861;0.375231149929433;-0.0222077204758984;0.210012601456831;0.14850858906339;0.142404960068145;-0.00797110178734819;0.26441558166931;0.0044226606816727
"cheerful";0.266190979808718;0.0763982582316836;0.567508506986077;-0.105963984524887;0.00676160444649184;-0.00998532052477911;0.414829872876925;-0.0416306210380554;0.0767010742215417;-0.0900514148692362
"compassionate";0.386383917070563;0.338631493901157;0.121726002821217;0.38295090105203;0.164576322637826;-0.0574024902342184;0.178162396040235;0.206459968118972;-0.133333043446578;-0.0905173218848734
"cruel";0.187533621313324;0.461492451142498;0.209299295058348;0.201661503495731;0.229536754210627;-0.173341974358284;0.245060375161722;0.0105298687267389;-0.0346785340514221;0.511503686165653
"curious";0.74602734932495;0.100933166148638;0.246997277280146;0.0461208925360293;0.155103938829547;0.261175804557368;-0.0307651160470843;0.129463971638827;-0.0756722945435702;-0.144111183549615
"dangerous";0.14912376455142;0.292477965044054;0.425812218525449;0.592036009980918;0.107839593301856;0.215686712111064;0.172567318934067;-0.216425680221572;0.0335312174929365;0.0774717245962136
