"MR1";"MR8";"MR9";"MR2";"MR6";"MR10";"MR4";"MR7";"MR5";"MR3"
"accustomed";0.15383213975569;0.299502556863906;-0.0391741548839982;0.673134426879475;0.331825615036003;0.126768828920925;0.0865619536180113;0.00956511764132472;-0.102896442395623;0.0464941769177461
"afraid";0.434777293002285;0.378087816221807;0.159876259944275;0.34062689818854;-0.0305663004800714;0.164937738579123;0.19164016258374;0.334898143132697;-0.0009351415447747;0.0505510313936566
"beautiful";0.406869703693781;0.0205796867028173;-0.0524710034106629;0.475137419838771;0.283711600369491;0.0684352553301594;-0.203710538473951;0.0643534243505555;0.190566781591778;-0.0198824588594506
"best";0.226723662075752;0.165132914510093;-0.00730794608570903;0.214247794682405;0.305442718742927;0.262955698862362;0.261260730216673;0.54020655227467;-0.268399647297975;0.120155636815066
"capable";0.295360459625326;0.136483830330852;0.627050779289401;0.181928959769214;0.0420851545569973;-0.0263506219396062;-0.0931619396234956;0.225654709674802;0.072333324819235;0.246767383697105
"cheerful";0.22526896009538;0.761627688819144;0.181900377767876;0.254175722488392;0.116165170393684;-0.0719250474224898;-0.0986945433280094;0.261740523782751;0.0916313930688565;-0.185978568220003
"comfortable";-0.127266923066468;0.102435012858078;0.166885439695657;0.122787721431368;0.0663654607903368;0.127843536041281;0.00758650178940587;0.0361644781893855;0.095928732079801;0.779224855449384
"cruel";0.352489977927201;0.448423882105957;0.147496865760247;0.0273903831352211;0.0886394500859547;0.0888431979311863;0.0101421791515311;0.329958830148454;0.232875746848431;-0.0457953398516099
"dangerous";0.110599518814991;-0.0212951969142333;0.0309351516650772;0.416516086798683;0.214385142322138;-0.182836625233288;0.130496431173736;0.559685317724705;0.216505020551484;-0.112984147784474
"delicate";0.506640664982265;0.179598637574204;0.211093000641721;-0.00699078262513444;0.14624970221407;0.0301363803180778;0.197357764786872;0.415726951709887;-0.033908304668211;-0.112532593694853
"delighted";0.184512287545159;0.193911547636253;0.196283243301052;0.231892551795406;0.655736393283946;0.276106733687599;0.00861264677781991;0.128606748331632;0.154298197714035;0.100098489858564
"delightful";0.280486703776824;0.465445181341165;0.168307759976625;0.362008632152247;0.32375551610848;0.106656147181137;-0.308099902268851;0.154160952946009;0.139605109175163;-0.381809190149131
"determined";0.309139307428916;0.00684000752539914;0.522656753911243;-0.0831736661519784;0.415238090611356;0.0860288296185138;0.143392144237552;0.0748906358347271;0.12567243255452;0.229371121291781
"different";0.228537895922679;0.480971416814438;0.603614933660337;0.198943688484777;0.00189066432868944;0.187165836518706;0.26689641382889;-0.125919637609538;-0.0346366660849162;0.0455354138089231
"extraordinary";0.105537275442283;0.118917947722574;0.0745881613366275;0.228571510209635;0.770479267115605;0.0646999133228478;-0.0162210059802555;0.0921072382834705;0.0457128236338189;-0.0510830371635151
"extreme";0.220255978387936;0.549383687383628;0.320263683786406;-0.293618704836955;0.00120342423064724;0.244029808178131;0.145994703719481;0.186631053493884;0.130364527447128;0.0971348892948347
"fair";0.245464668677558;0.338166115933968;0.256428495233861;0.292228497292589;-0.135806495216089;0.0361835033170508;0.0229241393163922;-0.0806008506303246;0.520927219723698;0.274899439988566
"familiar";-0.011851828600712;-0.0715756128853662;-0.125968505437698;-0.154720964796166;0.0269118355338873;-0.0341940557125468;0.684255475162886;0.176110735923434;0.0683443028349484;0.120411287309073
"free";0.518364886554163;0.273215802516977;0.108192690789366;0.311421203475247;0.294186261371654;0.18190415976588;0.0222609199689152;0.221036259470806;0.184182383093599;0.0913376289823104
"generous";0.4434743925498;0.426544789214532;0.355151223162015;0.191045687520425;0.156847687898691;-0.103064002916073;-0.0202725165146611;0.104517132198481;0.241395934831457;0.0657306832544325
