"MR1";"MR5";"MR2";"MR4";"MR3"
"accustomed";0.194421721048525;0.0962204263533994;0.711207804776201;-0.0158839365873893;0.185363847784606
"afraid";0.552662649789329;0.252677207202366;0.382147856487916;0.223023294098257;0.00147258549752755
"beautiful";0.246833699721603;0.0239734232718866;0.656208578614782;-0.172693302751737;-0.0905916162638153
"best";0.0746976633408591;0.279176025527685;0.499086318516768;0.558717128768064;-0.0223320169159762
"capable";0.325990558287633;0.449790463676662;0.186359731025654;-0.0276104682606073;0.0478160854021203
"cheerful";0.465775572154467;0.457671814082007;0.340515710989059;-0.121385439930803;-0.0698414037759408
"comfortable";0.00147960435224414;0.175145153130346;0.0992951684295871;0.105044341275754;0.6220801864123
"cruel";0.478545043597838;0.386139124168173;0.21382880892575;0.103937872502462;-0.0818396831998629
"dangerous";0.19156556619423;-0.0435295958610425;0.502943050425466;0.225561971145356;-0.175987360495099
"delicate";0.391166153799252;0.349312678301729;0.225498162900587;0.357148873613809;-0.361884459521599
"delighted";0.0795873274390978;0.491369095081393;0.592925418953542;0.125443500571881;0.13324676435228
"delightful";0.302014001731687;0.433929472916167;0.558773359898566;-0.292435452791828;-0.221049974370179
"determined";0.20114730976851;0.507852639607986;0.154101803810534;0.187897287711048;0.0433831091311622
"different";0.517979999249954;0.52734817662044;0.0670703736709685;0.00646436074939684;0.208323619137381
"extraordinary";-0.0831763535178319;0.361335361831652;0.606970040729831;0.0653685141594738;-0.0396042682229262
"extreme";0.42952814765437;0.614265506760737;-0.164979108015597;0.215286307281888;0.121101611150322
"fair";0.648811560703674;0.126154184599044;0.140213930522783;-0.188789054567519;0.374213542563347
"familiar";0.148011752243157;-0.177858597399494;-0.13260150696557;0.645826703473406;0.0834996555241945
"free";0.460484735918935;0.318997878255385;0.561477463265723;0.106963693920832;-0.0148621409908489
"generous";0.555049332300799;0.429490153663617;0.279412827123937;-0.10938028853022;-0.0315734635757853
"gentle";0.519410312497116;0.395474802799824;0.226098494802341;0.104633893544893;-0.388464873470423
"greatest";0.581960384139793;0.214967664960642;0.469683911457482;0.124769921167643;0.0699125313101177
"happy";0.35159505682307;0.746175458119642;0.0228033613939865;-0.211891844140182;-0.0827852392229126
"humble";0.692913686211583;0.217906365204802;0.327379697844128;0.00186458463900567;-0.193365866963014
"improper";0.237964834885568;0.774640100814322;0.220702466081256;-0.0366919547728345;-0.0467946245026491
"interesting";0.707370091659472;0.245541885516672;0.244496882013583;0.0973644968499058;0.0625771281472819
"modest";0.213374971066943;-0.00298780579219166;0.620961589674941;-0.119734521912808;0.217624006609995
"natural";0.590762614352979;0.302166092456815;0.153802351041944;0.104219736125125;-0.156070629483242
"polite";0.179910556472327;0.155634192947461;0.363016049980844;0.191866741075139;0.274354403943333
"productive";0.110875653728267;0.456827164195078;0.240249177449089;0.0944536534484905;0.246026879062274
"proud";0.375765843713583;0.441828852558088;-0.0214128145545317;0.503555281163794;0.19928597363219
"quiet";0.282791876379738;0.425905248107712;0.446475000640718;0.0238043555130249;0.269620995461424
"safe";0.753617013836279;0.45281869172682;0.0510855505818066;0.0837500229149804;0.0676931900795793
"smart";0.697684178132498;0.0814829505538265;-0.00993661559706579;0.26641847393731;0.0445086289989846
"strong";0.415873190353977;0.606753549002312;0.222245920654722;0.053697161523263;0.261632759878714
"superior";0.452543003528585;0.471769570346451;0.252234542982678;0.0248060367429641;0.411386150924462
"unpleasant";0.42868763910829;0.26517105026525;0.393975738179481;-0.0674170498264758;-0.386067475714809
"weak";0.5803465051339;0.490366189683191;0.307737757439449;0.105830217005241;0.0515251300506283
"welcome";0.548917248201192;0.239239859906309;0.255688818612816;0.325229608477697;-0.0170388094548405
"worth";0.390339776446223;0.143190674431727;0.228764927285984;0.124605608111424;0.118983664825688
