"MR1";"MR2";"MR3";"MR4";"MR6";"MR7";"MR9";"MR5";"MR8";"MR10";"MR11"
"afraid";0.432095725259637;0.172348013130819;0.354901797747673;0.105244099439842;0.290459483964209;0.461616917359843;0.018946058007529;0.171528402579666;0.106902950255979;0.252530470520411;0.099221478156965
"beautiful";0.585078149289879;0.0654324290811402;0.123586612990211;0.509346966075469;0.16239157519432;-0.0191528321185748;0.305979831905383;0.166182117591019;0.151941497466885;0.182704980181655;0.0650616203662624
"best";0.261519405500285;-0.240095551108602;0.380317078333789;0.0235514286803308;-0.0685760409363512;0.140125147659948;0.479802363270214;0.372757829675036;-0.0630758891110679;-0.00542567898935738;0.0652264904708018
"capable";0.071581903547867;0.657748995270004;0.214789926986292;0.187748519428853;0.17993770854937;0.282002437049622;0.0515974173172698;0.017140089652479;-0.130245626642596;-0.062961589184995;0.172914830222596
"careful";-0.0739498050670681;0.182940470622057;0.267187707127299;0.6486131597556;0.128907571597506;0.0240247585824222;0.139231970754108;0.126068451787414;-0.36267848802263;0.0944018610071432;0.128282610718436
"cheerful";0.00856486071592117;0.110113928795516;0.406984012722413;0.332652370633265;0.389355040475217;0.0688029831966667;0.279853492807144;0.0182549249915182;-0.032097362146278;0.100268753344555;0.108407476277444
"clean";0.0984160537651224;0.182650429344027;0.261680175125478;0.518027787187935;0.246573515455874;0.0861591458848125;0.0199558578482171;-0.147923429732568;-0.0982467792397168;-0.0479352314358219;0.180394773588081
"comfortable";0.203401988325895;0.202966362592442;0.106875381981365;0.152982784539865;0.721022792175804;0.216971862566251;-0.0129014560404067;-0.0000166791413983472;0.0309323325567861;-0.0943794632751393;0.0127357264858366
"curious";0.264729200964033;0.348138495827944;0.284577672301408;-0.0566693616400745;0.373441611925838;0.0709996325069698;0.193632018153693;0.128945974963071;0.143900434200951;0.370280519714351;0.0914505331294358
"delighted";0.355735806663015;0.195853444391296;0.158397991701382;0.278341570847767;0.177055264956863;0.509818741078975;0.248547822062083;0.188873264059814;0.111805940733755;0.0221390038678026;0.0913294893810168
"determined";0.170459379088446;0.600389475422315;-0.0468787766436575;0.1357927203271;0.174662513845367;-0.0299086347946638;-0.119992379016374;-0.0432574246314095;-0.0227933437638445;0.234334739752751;0.148123471429466
"different";0.387927925736788;0.203449102201258;0.129179767903896;-0.0958494885564996;0.202704276388373;0.227582008911321;0.20154482490198;0.220399538217708;0.21179465251163;0.240922178937521;0.196384831962144
"expensive";0.148228814236861;0.381332418076693;0.0296828380758189;0.261434379861053;0.244293577715304;0.277869078767092;0.105381882272463;0.138359518401297;0.249346335065633;-0.0250536867010701;0.354435472138272
"extraordinary";0.0884807196026189;0.0504383074305219;0.101535916395302;0.244156413665738;0.0759660643076724;0.0678165347668932;0.717791376617681;0.0414177137889519;0.145189278421952;0.0918803669559362;0.105550503007194
"extreme";-0.0415605707618696;0.211814084128003;-0.141756206337339;0.126708558286636;0.415569979742861;0.481681924497684;-0.0371105236517307;0.208566329305067;0.050767536437556;-0.00572669441837674;0.19561292014903
"fair";0.198615970254075;-0.122261759374483;0.130194347955886;0.0219767501791672;0.010229294266383;0.11006670134545;0.187950451284575;0.205092574993957;0.912300864934619;0.0361604641196726;-0.0556686812956231
"faithful";0.474529822041914;0.267129063700359;0.267010049335484;0.235835582956692;0.0847648767651046;0.135138723028827;-0.157916520229648;0.0679084077122661;0.20605623026654;0.368082208512874;0.0161887131522398
"familiar";0.166962524470915;0.0584516604049372;0.0665821973873356;0.578186231450187;0.0383183113285259;0.177033454354954;0.122230661887952;0.0523429276732539;0.197566245746889;0.0399382239536011;-0.00613304253208133
