"accustomed" "afraid" "appropriate" "beautiful" "best" "blessed" "capable" "careful" "cheerful" "clean" "comfortable" "compassionate" "cruel" "curious" "dangerous" "delicate" "delighted" "determined" "different" "extraordinary" "extreme" "fair" "faithful" "familiar" "free" "friendly" "gentle" "graceful" "greatest" "happier" "happy" "holy" "honest" "humble" "independent" "intellectual" "interesting" "loose" "married" "mighty" "modest" "moral" "mysterious" "natural" "pleasant" "polite" "popular" "proud" "prudent" "qualified" "quiet" "reasonable" "respected" "rich" "sacred" "safe" "social" "special" "strong" "superior" "surprising" "thoughtful" "uncertain" "united" "weak" "worth"
"accustomed" 0 0 1 0 3 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 1 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0
"afraid" 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 4 1 1 1 1 0 1 0 1 0 2 1 3 0 0 1 0 0 1 0 1 0 2 1 1 1 3 0 0 1 0 2 3 0 1 1 1 0 0 0 3 0 1 1 0 0 1 2
"appropriate" 1 0 0 1 4 0 1 0 1 0 1 1 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 1 0 0 1 1 0 0 2 1 1 0 0 1 0 1 0 0 0 1 2 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0
"beautiful" 0 1 1 0 3 0 0 1 1 0 0 0 2 2 2 1 0 1 2 0 0 0 0 1 0 0 0 2 0 0 1 0 1 1 1 0 1 0 0 0 0 0 0 1 1 0 0 3 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0
"best" 3 0 4 3 0 1 1 1 2 0 1 1 1 3 3 3 1 0 3 1 0 1 2 1 4 0 2 3 2 0 5 2 3 2 2 2 2 2 0 0 0 4 0 3 3 2 2 3 0 0 7 0 0 3 1 3 1 1 6 0 1 1 2 1 0 1
"blessed" 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"capable" 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1
"careful" 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
"cheerful" 1 0 1 1 2 1 0 1 0 1 1 3 1 3 0 1 1 0 1 1 1 0 0 2 0 1 1 1 2 0 5 1 1 1 1 1 0 1 0 0 1 0 0 4 1 1 1 1 1 0 4 0 0 0 0 2 0 0 1 0 0 1 1 0 1 0
"clean" 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 2 1 0 1 0 1 1 2 0 1 0 0 1 0 1 0 1 1 2 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1
"comfortable" 0 2 1 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 1 1 0 1 1 0 0 0 0 0 1 0 2 1 1 0 0 0 1 1
"compassionate" 1 0 1 0 1 0 0 0 3 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0
"cruel" 0 0 0 2 1 0 0 0 1 0 0 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"curious" 0 0 1 2 3 1 0 0 3 1 1 1 1 0 2 1 1 0 1 0 0 1 0 2 2 2 1 2 1 0 2 0 1 1 1 0 1 1 0 0 1 1 0 2 0 0 0 2 0 0 2 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0
"dangerous" 0 0 1 2 3 0 0 0 0 0 0 0 1 2 0 1 0 0 1 0 0 0 0 1 1 0 0 2 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"delicate" 1 0 1 1 3 0 0 1 1 0 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 2 1 1 0 1 1 0 0 0 0 0 0 0 0 2 1 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
"delighted" 0 0 0 0 1 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"determined" 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"different" 0 4 0 2 3 1 0 0 1 0 2 0 0 1 1 0 1 1 0 0 2 3 1 1 2 0 2 2 1 0 2 0 1 2 1 0 1 1 0 0 2 2 2 2 2 1 1 3 1 1 5 0 2 2 0 2 0 0 3 1 1 1 1 1 3 2
