"MR1";"MR4";"MR7";"MR2";"MR3";"MR6";"MR8";"MR5";"MR9";"MR10"
"accustomed";0.0211036130066597;0.462272846309326;0.716923269596785;0.114475208370349;0.0500992968282752;0.00830609425801067;-0.0099148416537878;-0.143747514483944;-0.000241345938743301;0.0760126149581904
"afraid";0.690331908675788;0.143078792594564;-0.0832328873873104;-0.0571105230574929;0.0335882378784091;0.230970739222096;0.236584194646601;-0.0772421587269697;0.0182488208378613;0.188825029743146
"aggressive";0.00850691647355325;-0.114303215681334;0.499343684746302;0.0184875146933153;-0.0937622164384223;0.0909908018101394;-0.017491168058214;0.141416677122927;-0.0197080883776482;-0.00719575449383381
"appropriate";-0.12999552329184;-0.104962766425058;0.0162904474092604;0.340039093178769;0.412727172109868;0.216531731494706;-0.09931539630466;-0.0940260052880796;0.212882080181067;-0.263956176864939
"beautiful";0.53374105283802;0.0710943610265006;0.0348596353682336;0.0730188502598925;-0.00831134962383267;-0.0978318319717957;0.371728678802386;-0.0166546106112014;0.124078302030192;0.0514073261017666
"best";0.34673370696095;0.187072791471483;-0.0158037200647054;0.160134962541719;-0.166674972749354;0.133531731481686;-0.0400110594097927;0.00969690616184744;0.279967768347062;0.0163963113616672
"brave";-0.13478382622967;-0.141243256715964;0.254471962288855;0.191288041820619;-0.090488080260471;0.151012442172599;-0.1484502266026;0.106416877718813;0.0126731440708155;0.0612111060598234
"cheerful";0.720155644038863;-0.0635528318410104;0.18679206646634;0.0748324462607021;0.0308452980399235;-0.0132691509245894;0.0913852573607745;0.0594650057403109;-0.0701749274629902;0.0919496418842438
"clean";0.170378722969109;-0.120469313278903;0.1171973403377;0.42051364869228;0.481071404986169;-0.00256511397849935;-0.11804710332624;0.0208364047513257;-0.128940322574227;-0.109415793776532
"confident";-0.0508790220265555;0.101517615001139;0.0342697786705722;0.140258310038835;0.0990468703677262;0.070608611320982;0.0627035420414894;0.675625229411329;-0.000102054070369425;0.0894127370095702
"conventional";-0.0908606614613985;-0.116718792598273;0.144367681033527;0.79768619380254;0.0610736717770314;-0.0163425214850511;-0.0582712780850652;-0.015012034947493;-0.091716191455876;-0.0933845451374071
"cruel";0.197386278465103;-0.00476528511280159;0.137597035541196;-0.0409852089990773;-0.0533423180417714;0.210128501868608;0.56244287953052;0.0193766028871068;0.0700248028256717;0.220962647117798
"curious";0.250350136613463;0.351885409743718;0.34852667683329;0.0829703742714347;0.0264287292430707;-0.0571309596933653;0.293006866535193;0.400471608806991;0.0413270187388698;0.0605190117833546
"dangerous";0.661601310868142;0.0902567051259846;-0.0224479114394462;-0.119810566575301;0.0732856773250038;0.155688714965803;0.310385044101544;0.0129948856250575;0.034928833700814;0.0100214074317814
"delicate";0.265128303585264;0.404068176620236;-0.0504115117550764;0.0229930447508725;0.216643996059057;0.193554198414629;0.0966100790044328;0.151873306972399;0.185211663787738;0.188298440027166
"delicious";0.0268608143359098;-0.00299833652956059;-0.0454965169131086;0.101141418818831;-0.0485290974101082;0.550562411341225;0.0165686792128092;0.0705796482403992;0.070976258817989;0.0588399466726667
"different";-0.0123692339539403;0.0122609518871776;0.109881263462322;-0.0147230343547443;-0.278848851921418;0.22665745931925;0.297966569280256;0.317011147776605;0.0179953594735392;-0.0736179952098638
"extraordinary";0.104262163503212;0.511989287766876;-0.196195218011279;0.0180006143103969;-0.00644605444400318;-0.116653099272672;0.312983066081455;0.134021993954822;0.231006485489804;-0.0623996875055154
"extreme";0.259896354061796;0.631937839052611;0.29156147727702;-0.0279020541688948;0.0932418047694748;0.15427876697194;0.337106214944456;-0.021202038005559;0.0256430272968097;0.0569772897274543
"fair";0.436903765431381;-0.0561248135425783;0.105126407055026;0.403888878304854;0.0314919836931574;-0.0871186029767078;0.167921875698203;0.137590775530878;-0.0860069324886086;0.0536527356057607
"faithful";0.117653374286214;-0.0361651610223179;-0.139432327307623;0.0752090096864555;0.73735932647758;0.127412730651643;-0.102341427598056;0.0302423352750886;0.146961326278374;0.114361669044535
"familiar";0.539009980871596;-0.134246857695836;0.227389672394928;0.016870095823678;0.0697544874771744;0.278155842937758;0.0281393142084646;-0.0685528636600097;0.0837468166372459;-0.0286863657634381
"free";0.0841616031382001;-0.0737772452005205;0.171083456029184;0.182940225370621;0.186196230436211;-0.161923374887343;0.201181912342349;0.103189915382175;0.156433967568103;0.122559443453032
"friendly";0.263894506047661;0.0764222135142371;0.101948198419179;0.248291992289858;0.088439065887214;-0.0608341403422902;0.292460684679269;-0.207591763875324;0.126086218393571;0.535528561334926
"generous";0.497296246683588;0.46502964957119;0.365436084766151;0.0326004370993359;-0.162792479760022;-0.116185733104061;0.179684450184339;-0.0621514757128026;0.195778384483321;-0.0257275985544708
"gentle";0.462277782829111;0.184949089895701;0.618427271204395;0.12944654118675;-0.116252407961665;-0.145615547031678;0.0152697970095902;-0.0219656163323535;0.0960667399148899;0.0418220340261432
"genuine";0.012214011640723;-0.0497318182518517;0.00923708346622778;0.615835914599994;0.305852824674722;0.00237597274710324;-0.0333340396703026;0.0244676907634763;0.0937936800490061;0.210510941241384
"graceful";-0.154071389317106;0.0737861361220938;0.12241587442289;0.0512946538132214;0.617685077059839;0.0286478289588206;-0.0932329659165197;-0.158867872626505;0.385246213167534;0.00864913364419896
"happy";0.113887641845814;0.316859104507374;0.53381861878925;0.313875035888195;-0.0514915569878252;-0.0880527851401534;-0.00457924822458378;-0.0335648460103322;0.131677324588414;0.0228814779894172
"honest";0.123696456156357;0.0475079823617876;-0.134124017192411;-0.0889588854524092;0.0716088721582402;0.722588514147954;0.131650269615887;-0.104621304919832;0.00283333894085438;-0.124923050887014
"humble";0.124270538523075;0.0441265568956121;0.0458053503808865;0.85285375633734;0.112259238743614;0.0504129926867231;-0.0508570642634584;0.153104847578188;-0.0273342396771868;-0.00591556217638749
"liberal";0.0579659542602308;0.67930394519922;0.124400304289439;-0.0249100571873909;0.0460675717910501;0.381942286868759;0.0402018433073141;0.00772007409062171;-0.00577915405406108;0.0742363922928212
"loose";0.159371467753409;0.237459279378163;-0.197350714163049;-0.085306646853698;0.121178340968963;0.60188679676378;0.212843765735764;0.00107505629870693;-0.0013048227362811;-0.0577719655638303
"mighty";0.288580890437674;0.0986893327429747;-0.234172473714236;0.0485758725039623;-0.058899122022498;0.200621542776438;0.567303295361056;-0.00827225257603499;-0.127042725864239;0.109762559774253
"modest";0.00799575638809407;0.140134247320541;0.49517953867757;0.613631073389574;0.0980283536569131;0.0975449129812339;-0.0247345770779255;0.210037773061722;-0.0928546590848041;-0.0218216859160026
"moral";0.000212871414486614;0.524985272380801;0.316722879084799;-0.0868788372012269;-0.10883310635366;0.14410584272216;0.207899617845859;0.134266786765574;0.02621407042903;-0.0853317682946783
"mysterious";0.315079857790331;0.132773206176405;0.107280979877823;0.31793841986244;0.0947043560732188;0.0766611563465141;-0.00525335118838369;-0.0304009661264986;0.0821152563424135;0.025110147289365
"natural";0.0794237495526081;0.25832694688813;0.575073226526622;0.242873916260364;-0.0124031063446571;-0.115302387772444;0.0584230349684445;0.117550704054389;-0.0432805976458076;-0.136954955862398
"neat";-0.0779967642645562;0.0895482424323917;-0.143991232505561;0.107195720701675;0.70025004656315;0.0186011141866295;0.0673032795201982;0.0509621604678821;0.052403457327008;0.107626254980736
"official";0.123632547445689;0.00051432528835201;0.717206629330939;-0.0704474054136322;-0.0756132234455101;0.0335766539903108;0.0150509152540862;0.113349440113911;0.0212228751052189;-0.0875993156663254
"original";-0.0304364256418068;0.261861867493963;0.0595221083524856;0.00286367075899611;0.172763384275401;0.0440763974459763;0.130952793419804;0.00935210090007827;0.356997670802745;-0.215458926828676
"passionate";0.622263005056797;0.155086940399184;-0.0284491200939061;-0.0712738049419835;-0.164343475869009;-0.0230049019953958;0.142256013645886;-0.000598988333656703;0.03797787472887;0.0936089540676354
"peaceful";0.258995976674799;-0.0164653377260738;0.0561128023903134;-0.0419609202877281;0.149257166470607;0.0456749886443714;0.123173707001319;-0.114057434935212;0.661366195244968;0.0212871920298052
"pleasant";0.397275314402372;0.130797816368496;0.174470916657352;0.046418735849217;0.149711497025892;-0.0167301837912124;0.0967455735910404;0.519786710642681;-0.081734458587119;0.0297134892914188
"polite";0.0597328696695567;0.474088159596513;0.160302961428301;0.103187847628941;0.0199365882955462;0.399939634484099;-0.0612514886703226;0.0120218581264766;0.288976034396496;-0.0391313465395884
"popular";-0.160955574055201;0.0678634875504993;0.0643519905886632;0.305671972384483;-0.0865973425281341;0.216129961943841;0.0480010788212585;0.661388665339796;0.141999444949486;0.14959870335523
"powerful";0.755417078930363;0.0536131031783658;0.14498009579964;0.0736378403012787;-0.10878195043529;-0.0786544680513607;-0.0329043733680765;0.251947853801725;-0.0181216519618712;0.00497024553401905
"proud";0.125077021434716;0.150663644016066;0.536328610787017;0.325485758412755;-0.00760687654544021;-0.130106703432566;-0.0182652164842818;0.0490450176598144;-0.0692988483248371;0.0986381050177992
