"MR4";"MR2";"MR1";"MR3";"MR5"
"afraid";0.647939234410763;0.0596861718554115;0.217154373899088;0.124530930828746;-0.0568875745034734
"best";0.250449036525155;0.110059384737473;0.681233845210619;0.354941088844398;-0.326726880195181
"capable";0.344360015089322;0.579524455992929;0.0941360914208353;0.451349641643785;-0.0130975894159925
"careful";0.485665426799704;-0.0743381034306671;0.5849540737186;-0.113853884114401;0.165230081217307
"cheerful";0.456557243500689;0.25576827573678;0.427436506631379;0.424216882464211;0.131943825452914
"clever";0.56203668006781;0.374171869492551;-0.100024604338895;-0.142115678033207;0.0831294695937951
"comfortable";0.701072158076238;0.186905987116266;0.310023698203201;0.160368776243524;-0.0211434957361171
"dangerous";0.315380333853734;0.591458444734861;0.15818116531847;0.307535361851147;-0.0375719588088097
"delighted";0.59819737174544;0.350615030939612;0.404920968038518;0.320983763220807;0.138311030651409
"determined";0.415626484698478;0.445107444478464;0.504783005843416;0.393053826588638;-0.0147376913616437
"different";0.470762094121789;0.368600126078242;0.136956706880013;0.196915030776943;0.175025322324654
"extraordinary";0.526550994276753;0.113762896749965;0.389670615827774;0.417188912160757;0.122709130525745
"fair";0.353560977649484;0.474848094462849;0.499579530556184;0.0352753276513799;0.284994122025514
"free";0.589216015392073;0.131502428061357;0.418503209378065;0.0821646914305837;-0.0341830096519554
"friendly";0.635711239163434;-0.0611686568273411;0.183688574839348;0.379843854610419;-0.187797949591117
"gentle";0.19702359403635;0.412048376619402;0.341204342859394;0.372451095797281;-0.0459076008537745
"greatest";0.63510501427864;-0.163823492544832;0.140493304688281;0.150032670055657;0.0311515463335635
"happier";0.00330989993487061;0.372316887794374;0.27431922690756;0.569247951761017;0.149000432366295
"happy";0.24170521919109;0.156087542857464;0.0750257074470204;0.216568057058468;0.676466942912028
"improper";-0.101604998604096;0.875129442756351;0.1470119224998;-0.0999168128502236;0.126528172335864
"interesting";0.488992624347319;0.369194505355921;0.394379028511788;0.277634336025177;0.273646834043573
"married";0.322626661177835;0.211299718073907;0.187357626967795;0.606724067905259;0.0522072804021817
"natural";0.177515476397637;0.375652042326868;0.374288521429728;0.454414440355724;-0.159385630428082
"pleasant";0.694938430015269;0.261771908083786;0.33968777224113;0.303372063452573;-0.0699377981005124
"pleasing";0.247719093518073;0.528264987473676;0.250814432729592;0.164613532895947;0.245195312081666
"powerful";0.137142927919241;0.770248064787408;0.134629978125338;0.176728564985166;0.056751562236376
"prudent";-0.0715442040919565;0.62752456468487;-0.254828084104752;0.33817134740824;0.0195888244975396
"quiet";0.289845726589783;0.53599129120119;0.400886576054101;0.116179759503567;0.1456682644312
"reasonable";0.659935782910741;0.00362129014603243;0.251368084847194;0.0853569613782613;0.11244149133845
"rich";0.0636481991565822;0.116829369563859;-0.0113704342555488;0.718492175579232;0.0880083075261284
"safe";0.646520352028781;0.0743238581319251;0.153478111048622;-0.01288195711921;0.291869153042834
"selfish";0.0245479463674374;0.525124356518111;-0.00175817912912377;0.439022092079602;-0.467523357332068
"sincere";0.810962142142261;0.0258601151960879;-0.0223262451729155;0.0379118059813725;0.188132588980042
"strong";0.507067670777836;0.394129806092892;0.287328733665672;0.237315556448878;0.00311098227788737
"superior";0.466778098778187;0.226591889807874;0.636672313348129;0.105718150199092;0.137339285147814
"uncertain";-0.12638768715526;0.763570936773385;0.122025271937447;0.164543458863143;-0.0841627319417338
"worth";0.313979294190681;0.277993055127828;0.575104557242985;0.420474542742795;0.270679413498231
