"MR1";"MR2";"MR3";"MR7";"MR6";"MR5";"MR9";"MR11";"MR8";"MR10";"MR4";"MR12"
"accustomed";0.344744781082552;0.193671378678824;0.245627794430461;0.203227404042627;0.00763373297515697;0.0713206470554974;0.203493505494306;0.223508829572869;0.244391208216502;0.191455755299296;0.021924982119492;0.0519714660056133
"afraid";0.358438296304165;0.421829140520907;0.442081934379078;0.203944217920761;0.173433895326179;0.253765844221242;0.153066418917523;0.0610667389523259;0.121484611119521;-0.112694595676517;0.0775553516355375;-0.170229520902915
"beautiful";0.552163814431778;0.277889655507099;0.309301629018028;0.156270743814606;0.195463698260874;0.134878686230522;0.0942091365716575;0.11681151378568;0.192977404929707;0.155270117719482;0.174487293226568;0.0000111620500205956
"best";0.503096308336959;0.45560018689762;0.313033257261993;0.00507603912920606;0.376184819232642;0.167278610367588;0.0376269406066959;0.0998368210453485;0.137792212200243;0.180060635992745;-0.195219405208301;-0.0411395652799947
"calm";0.718991477922743;0.162382987836406;0.406611796783602;0.084115055099822;0.0940190109160678;0.0302384004963568;0.0890172331268966;0.26699637636901;-0.020605371285917;0.0312493144226851;0.00986444754529424;-0.0253326182028249
"careful";0.602200318129638;0.289826731601203;0.239931980541425;0.230725763657867;-0.038232654895395;0.11416552437955;0.218689908233954;0.305552679902299;0.0093503571146198;0.0135233061698557;0.0257196186782667;0.275565745028865
"cautious";0.220440293286252;0.371354106718735;0.247474117120232;0.209285383651793;-0.102963593988765;0.0803377443036925;0.11059435222107;0.109227046540992;0.485581361723917;0.211422659172967;0.192060592996809;-0.10555875882162
"cheerful";0.552504592577033;0.373659670646496;0.160777793939585;0.321944860106816;0.245459777242839;0.128631822950087;0.0683774514828624;-0.0241631622752049;0.0747763622428704;0.180430620251721;0.22296490659112;-0.104827635528778
"clean";0.108870554620174;0.224796627692292;0.328732369939256;0.105706769958087;0.0437505153653207;0.0672887256131934;0.641019566269903;0.0655416533364031;0.0867191299481429;-0.0475264827720114;0.126478803695232;0.0294188434826301
"comfortable";0.338585770291071;0.342960938576836;0.255434563375174;0.192722660973485;0.136152747830549;0.164001199483969;0.25638908266459;0.368569257720986;-0.0201301313685992;0.367122937520544;0.11426368531912;-0.100733572142307
"cruel";0.248430840634791;0.0700103536822724;0.760166745089969;-0.0519307742444258;0.0607383259857273;-0.0104087483961862;0.115279355207106;0.0175709791822666;0.180548533985695;0.143598489324524;0.103076099490761;-0.0464784819864618
"curious";0.368576830393552;0.054562318159184;0.283368432583579;0.0984508939172072;-0.112713471781243;0.243677350039882;0.387715194977106;0.0154924878098693;0.198591134681641;0.0580151244227679;-0.0721676441245668;0.0414383510363371
"delicate";0.573993350617674;0.0158643369914788;0.0455600336231739;0.171804655958403;-0.206331510742928;0.2518983012557;0.124168969062492;0.0174674071766382;0.00651018551466237;0.114534152753765;-0.0242761637433216;0.278618760271788
"delicious";0.394002332413337;0.217514655350251;0.185387891709488;0.246772944421726;0.498503116920112;-0.0812762516121603;0.176185434461458;-0.0298916875801711;0.293337592987041;0.232841794930245;-0.0230293465246042;0.125420235261314
"delighted";0.175406585237943;0.171567527042665;0.128301956680728;0.230905056398266;0.807200813092014;0.0680894183166149;0.0216486570782408;0.129192383901988;0.0209526665649878;0.0377860606365517;0.106897653665704;0.0567339477004664
"delightful";0.0569464355699842;0.083142919450891;0.0138784641514547;0.690990694295981;0.236930310773688;-0.0553358721304015;0.307497853389222;0.208331660816449;0.176648610525443;0.143829644764949;-0.0521565457314241;0.0347234409100209
"different";0.49823028827885;0.305584150640108;0.278578652193262;0.279674105102952;0.203629213219905;0.197286054072958;0.14647450872033;0.150446206651205;-0.0213946010811421;0.230485610588728;0.263653898583215;-0.0325002458269319
"extraordinary";0.191233496635146;0.452057428283451;0.128250818100057;0.285155935281364;0.169349877988395;0.150904558534543;0.171648388307524;0.143731174874138;0.0720594839689825;0.446182771599244;0.0181596685594394;0.0810146690073686
"extreme";0.480183913144953;0.265632193545055;0.0178216679256812;0.369628302100473;0.254714538798854;0.368013879504661;0.0252265012227879;0.258654062215067;0.114293958021879;0.0499970136162515;0.0451915855255151;-0.0577148842343412
"fair";0.467934315031265;0.379701067383904;0.227452256355304;0.180274720625442;0.102136500170664;0.324652357813895;0.126904152193464;0.181690183323857;0.244340514977769;0.105658955194131;-0.093106642444102;-0.0829144016797418
"faithful";0.469687386305283;0.172229779652667;0.395050563982362;0.240209437800584;0.254099432314314;0.120468098057443;0.169973738141602;0.0863520179464516;-0.0310341336101978;0.326416324358346;0.218525218551722;-0.0407667485920743
"familiar";0.622414977841019;0.231878989950439;0.108012626211269;0.108717723562525;0.276682850350291;0.235459270887351;0.0729324393826743;0.077220606401681;0.22239122877015;0.319079029619837;-0.0479184638484174;0.00398461793256096
"free";0.468249898568671;0.187650294521884;0.184462453391854;0.274997679865788;0.222853404844796;0.0877021903049013;0.0515126240365977;0.460832202018456;0.174400695490556;0.280423744908188;0.119348786775866;-0.0724808070233605
"friendly";0.293989257950565;0.562273107246587;0.12303472636598;0.297207799770783;0.0508247977671184;0.214798209088256;0.00906798635082629;0.271217682570759;0.0642712740102991;0.223517431724405;-0.23799274608338;-0.0757622326489632
"funny";0.0611645903507981;-0.017828085587417;0.101148556652251;-0.109056619848855;0.070526370779737;0.750385659726692;0.0614963615910958;0.0131237820583765;-0.0203377838193069;-0.0138119570993278;0.0990479057875273;0.0122197659740817
"gentle";0.477132495934298;0.359595156951858;0.196652870642586;0.206898734891328;0.219005749733785;0.0933662394436128;0.372803337117866;0.111479824360191;0.240306116672833;0.14388049845818;0.15494314769237;0.202087113872916
"graceful";0.136839208453329;0.588176334041933;0.0845399630927178;0.272332834338982;-0.154366375338899;0.144823830131324;0.119055735837063;0.311526160667062;0.21589369828982;0.154686515218412;0.177513961503173;-0.0287190161284231
"greatest";0.258889328992969;0.084688650191938;0.268958747663749;0.299841469277529;0.136255637492438;0.140581474346964;0.457463097501482;0.204535301691018;0.0116392994286169;0.0925796336906836;0.0986793157913802;-0.0519363097131544
"happier";0.678575593072733;0.0831390973214388;0.00248604223623771;-0.0637972113512692;0.0477394195751211;0.18682336020694;0.382678275722053;0.164193534797888;0.232668123182259;0.0097736148279229;-0.0134159415168549;0.0977826460711886
"happy";0.48578749364419;0.183644405190795;0.522943207815965;0.26618004590371;0.139326475689576;0.061950620050554;-0.098453082677695;0.453124067077296;-0.0175572046993592;-0.0982783973205142;-0.0280293056273575;0.147537541866926
"honest";0.339728529481759;0.407476909323137;0.219348983866102;0.0539355542269595;0.0523554092168277;0.136660389605799;0.351387096409409;0.490589666412393;0.0620067719990943;0.0906210527843287;0.230972402222996;0.0123354835155264
"humble";0.539156437417842;0.289717519435141;0.377323588964504;-0.0545916145214016;0.209559901169601;0.17737229276592;0.111709352059076;0.225512803968654;0.0293910038703621;0.0406550939520944;0.254012528791602;0.0978573252008683
"legal";0.302344858886125;0.190230074540508;0.315275661733336;-0.0208700898319998;0.152610091120269;0.237618938844675;0.173119697477414;0.374601991449451;0.425354603026138;-0.0105691999499081;-0.15038474158969;0.0672998923794065
"loose";0.183527318522484;0.284859422924947;0.346856080276481;0.118102488881541;-0.150665588930098;0.0419727580956383;0.205452252512676;0.000567897366165775;-0.0879353046978339;-0.187790878514218;0.340868464289044;0.0230138324561668
"mighty";0.438351641012153;0.0603232916471201;0.2141915788915;0.183825815955684;0.248657215831574;-0.0459059111841638;0.21514227154998;0.0603151629279659;-0.0596852942931872;0.187375499563868;-0.0495283749591704;0.159176684452996
"modest";0.358482264219617;0.241748894414949;0.308762969635379;0.0267229160901519;0.0384742631173222;-0.00619278895022925;-0.0756624640545439;0.0976791110001155;0.106790095747234;0.463546967055095;0.0186940914808833;0.180545440009315
"moral";0.529851834140117;0.293428450277061;0.0137849396820886;0.0354665703601339;0.364546203932356;0.275450934795517;0.135191157850153;0.306747803290227;0.137924547136127;0.189668778893114;0.0202087397138985;-0.139008942391873
"mysterious";0.235672761621877;0.315919014434914;0.0989379985632634;0.0880756417718843;0.129873846996689;0.39559790820169;0.190676577050063;0.34958524989497;0.274568610072171;0.0872665232361742;0.129675994750807;0.261891336911107
"natural";0.262953284238724;0.455766847724993;0.334895208043364;0.22144510726484;0.0861525887034315;0.224597046081995;0.150106819206989;0.371974094092354;0.215105993023361;0.13104619868879;0.126217061522088;0.0465368156077562
"original";0.467164295091389;0.344509739731302;0.277418066661372;0.327442323736135;0.0536406898364931;0.230785538623361;0.24440246327255;0.157364011024027;0.219418571903804;0.189420310377412;0.096629350510911;0.117185039544218
"peaceful";0.698589738525683;0.00967856866141173;0.247035443947791;-0.00108996546486667;0.165391322852251;0.00811618584712937;0.00938574210857241;0.0508625366615777;-0.0237063520666534;0.0988383742771594;0.202584876720615;0.0740927340650625
"pleasant";0.424888078731546;0.399416794008928;0.217279964047614;0.108769250995694;0.294110156044508;0.219033927431887;-0.0161479355179512;0.107995141914456;0.169462636657851;0.202228929558999;0.131238250933927;0.511965732267244
"polite";-0.0395714548468147;0.591441078529697;-0.0644588740398726;0.369131510762976;0.117538654031859;0.00842839750067394;-0.180057192277446;0.100897205929178;0.113405661072948;-0.0666262107299404;-0.0237665700325806;-0.0916131937964779
"popular";0.0565155830534869;0.407987331184187;0.0493513323962739;0.271816088452281;0.194746464142167;0.506737988593643;0.0579716725416106;0.211229420867477;0.0244341955332657;-0.163726888906656;0.185684228874158;-0.0308044288994423
"powerful";0.140645565024597;0.363044211112498;-0.0592894112763221;0.66145989476144;-0.0113242789958662;0.118129634994516;0.0178486508688295;-0.0482929935701023;0.109366197774679;0.0435442323718426;0.126784316480246;0.036734234024185
"professional";0.0670132337459777;0.140069684840016;0.233579405541261;0.188586629850417;-0.171047043651945;0.490872118340722;0.1756092087569;0.0429964657028418;0.148551217115578;0.155214168605481;-0.138481017415647;0.0418544397594234
"proud";0.031230074539469;0.167896009113271;0.148032338838254;0.0976830320079144;0.0852711464076326;0.0676549091266579;0.045215862222967;0.0138192758174398;0.857427659984585;0.0139682464409104;0.0654103174180855;0.0386389916239219
"prudent";0.104466074703916;-0.0429418666638463;0.631674968837778;0.082452898788202;0.0771593798589361;0.31842947667816;0.0868335941318913;0.0427573482675891;0.165075142373483;0.0178856936260064;-0.0594936481475933;0.150437617056762
