"MR1";"MR2";"MR4";"MR5";"MR3"
"afraid";0.832615876950404;0.0371807318680209;0.144804838773716;0.311662125244156;-0.150447247371557
"beautiful";0.49775732602978;0.195118463546405;0.375634427923284;0.32526417930102;-0.0478349299947514
"best";0.132597745018406;0.111579830432989;0.51628886346587;0.380653597017574;0.170204697935642
"compassionate";0.536400973290423;0.428351115006507;-0.0789141547225728;0.167328614779036;0.0885405863874727
"cruel";0.0736775749641867;0.228223206929642;-0.0183481518410635;0.61404027518032;0.113580552365892
"curious";0.7539543512813;-0.006882919279041;0.315713868737497;0.310800522325025;-0.15194173659252
"dangerous";0.196634812276611;0.469163127351258;0.581780948413804;0.282463942207881;0.175779043283521
"delicate";0.221332184611232;0.0714187999392785;0.898247026942401;-0.16520582971628;-0.0394389907370567
"different";0.153066526846171;0.153479525472854;0.191737762100834;0.704369713296204;-0.153435691967698
"extraordinary";0.48075360144886;0.554527799609552;0.199001831651411;-0.0836213183134911;0.154604928884084
"fair";0.580054144597646;0.00275232255880089;0.328835062942612;0.000329708360058314;0.265061220315599
"free";0.47708701731223;0.445548898184825;0.342648019492341;0.159228081033431;-0.0316213175627706
"gentle";0.456467155720753;0.433259845422752;0.0221661538988332;0.329572279373601;0.0790908702659479
"greatest";0.352803218342585;0.52741943691447;0.352713160401255;0.0631651789882304;-0.474591174199686
"happy";0.304820871438325;0.236837456023891;0.0822719255841184;0.664091898868812;0.041161762503837
"honest";0.243743326507216;-0.0780586262494879;0.616247514485393;0.361396553593587;0.0976877667077644
"loose";0.646050243070741;0.522275921347087;-0.0548824566859223;0.278638485410956;0.146481791341906
"natural";0.687250769120779;0.147188324332251;0.295271897358813;0.108320096901025;-0.215172616026446
"pleasant";0.649557798058615;-0.0425510180249767;0.186065543763906;0.252846854763374;0.260679917879085
"polite";0.0463940578488783;0.636285183088527;0.0586995707560544;0.204427186204052;-0.0914806928729598
"popular";0.560557399105584;-0.0456010664831294;0.202343896089483;-0.0848198318128816;0.118634763541357
"quiet";0.640442834799405;0.418857855010148;0.0843999950216227;0.137337354740179;-0.160383413705709
"rich";0.0689529289688811;0.500185160513618;0.361911617053064;0.527797559018035;-0.108755251142417
"sacred";-0.0903954040952613;0.630643078963761;0.0512981056831902;0.242638581095949;0.0707889527948819
"safe";0.613733431539658;0.115720668766543;0.0714362359688654;0.0596788667972585;0.100077238854098
"strong";0.144111769884194;0.082482986566864;0.134674688600887;0.0391462776006486;0.988250038714088
"weak";0.410724681425527;0.218652687450653;0.400712097816978;0.0562070889911675;-0.139747472135138
"worth";0.424953248312263;0.275172944238665;0.385619883970161;0.174715750211953;-0.0329488141226797
