"MR1";"MR3";"MR2";"MR4";"MR7";"MR5";"MR6";"MR8"
"accustomed";0.323377839534932;0.528629226342071;0.110594666562145;0.206129971555413;0.450545488371438;0.207516708735607;0.157710801194915;0.00379309246031906
"afraid";0.50100395196395;0.148184024238391;0.254460702743557;0.519646503747536;0.235437416136767;0.256823030249243;0.233845302375867;0.0765126836874691
"beautiful";0.32382290878939;0.484809469818528;0.162730353053428;0.306191620166084;0.278467162230297;0.234284250786678;0.226588339441863;0.265585591699093
"best";0.41730894500508;0.101982444234815;0.28432451883682;0.354673308733038;0.127138635473936;0.325754882863319;0.0391254111992373;0.60773262878362
"calm";0.684953416472538;0.165670174763292;0.150824179632975;0.207017893581311;0.172573805072038;0.0485078520894779;0.140049670576249;0.0799868483259261
"cheerful";0.484193175591034;0.34528322677415;-0.128509647796566;0.204368137664995;0.303210759577745;0.0979839800427576;0.178522046316865;0.400450651125378
"clean";0.343356927380382;0.685813139324306;0.12240212035641;0.088013419626016;0.383646751206852;0.121394346779407;0.160466767312006;0.0257575176573783
"comfortable";0.168331702484014;0.0849948242033634;0.861557352306952;-0.0358026779482445;0.0189251346741979;0.0227392066940106;0.0806353219109397;-0.00829921340740398
"cruel";0.368186542020838;0.445693057190273;-0.0800742475465436;0.499475819579986;0.135279312879314;0.309690981394286;0.243082878493858;0.147125900764565
"curious";0.489386480045924;0.10821925066492;0.415136135182279;0.199724372740365;0.285986781521279;0.265411715971235;0.137488117501986;0.298784224733923
"delicate";0.722034336872852;-0.0276863084681232;0.142654107940628;0.232969678922875;0.0729336135587092;0.293255112626828;0.233025654660239;0.147628762498076
"delighted";0.299468762501295;0.354598528272444;0.581718623455893;0.116228567336372;0.267214766942522;-0.11298103816863;0.0279239963551371;0.15251694355704
"different";0.249202156547256;0.243741398707564;0.249449539576628;0.621903681223315;0.364604117134591;0.292732255564903;0.159472745965074;0.200217973998473
"extraordinary";0.423868415117429;0.454090597022217;0.372989924786815;0.206865455197314;0.141436703575812;0.0827423241164031;0.262171126122094;0.122414027129802
"fair";0.204734242585888;0.0678930206786032;0.273848980770646;0.157857376051364;0.715199767511236;0.209728685141982;0.159296906343969;0.150611264257201
"faithful";0.519267381914899;0.380795267626471;0.320693779704266;0.320775596009851;0.130560795169333;-0.0358203937972505;0.0624363883169108;0.0347501109160731
"familiar";0.234834009989713;0.708218168755348;0.111446259022904;0.34789201257516;0.158283390306847;0.166188984677879;-0.0112822566421762;0.107306713187587
"free";0.563113358799462;0.45844512563223;0.144649077720967;0.10704296630956;0.161582122144605;0.241647718709232;0.226930576386066;0.257423945921578
"friendly";0.154129191194937;0.398087752899298;0.398691978143022;0.161730798197927;0.407971594790286;0.129920027367076;0.0582376750671211;0.284445401593361
"generous";0.276118196386801;0.602452899339893;0.327269479105454;0.251275897012065;0.12828527478715;0.0130551305647603;0.150894881972745;-0.0214864233976547
"gentle";0.642540022841159;0.21767351560023;0.169610819043909;0.376314412830123;0.0528386442184205;0.152933812169679;0.213738790773901;0.433420094223437
"graceful";0.790192055909232;0.0784923326617427;0.110495226935214;0.399378606858775;0.206767656236448;0.15583791023971;0.14673722020125;-0.0540020251660685
"greatest";0.408271620221011;0.559492088138;0.267123264765069;-0.0294411499450825;-0.0513113769261638;0.286160032310291;-0.250413653965088;0.152934846488481
"happy";0.586612045314398;0.385695763459413;0.0224164086187189;0.0508601742164348;0.154612323464017;0.614661734594785;-0.0130606931536402;-0.00187358955786616
"honest";0.500312730719519;0.264888511106648;0.256743574325728;0.139482181654485;0.30077508402825;0.0476323123483986;0.150722868208147;0.466545342463561
"humble";0.372610463494047;0.329011874237088;0.121626321840773;0.375095388855886;0.264918235546146;0.373393769614639;0.159683757583498;0.25435663738992
"loose";0.0906576735726001;0.166446360140565;0.615016935177612;0.0961892818705301;0.0841535006482463;0.524150890802475;0.00375414349409467;0.0716405123390916
"married";0.387053445553011;0.195727116361838;0.305326538715813;0.140931518281449;0.352335347889766;0.2033504030608;0.51706946361385;0.373526336969234
"mighty";0.333269574087566;0.107911565013755;0.041780074462797;0.347717389731684;0.223911186109337;0.491736632855725;0.247773730325807;0.218608983188968
"modest";0.469829985651062;0.0923069083606047;0.168667570919736;0.242186157372945;0.227186396149106;0.495477558435522;0.0815393192652872;0.247260084863699
"moral";0.0182890565448433;0.661231469921248;0.185487228408949;0.00723197743691716;-0.0561173777389262;0.10823435871111;0.200724853635504;0.1333360965854
"mysterious";0.172874694679938;0.0623156796591994;-0.0303985749959158;0.337424328067713;0.200605848677674;0.256440099909714;0.53076258373522;-0.00639006240567005
"natural";0.590216690469552;0.389259713412075;0.167150411469346;0.0654966329294302;0.48197211091537;0.0180648473124545;0.22746631033057;0.107413469437224
"original";0.0411017991013422;0.40903874193233;-0.00766775181618034;-0.0607347724267434;0.151825890211837;0.298731464841354;0.0260370335812557;0.397344012818618
"pleasant";0.465341324036719;0.119248733566267;0.309420680261731;0.492629974462077;0.240526416775506;0.0233690372046637;0.163855910958584;0.394854516664772
"powerful";0.0613814771317745;0.385436209518478;0.0840214663092499;0.136695852942091;0.120529758796871;0.531233400671551;0.232080472240792;0.133795048296761
"proud";0.813684843463908;0.251222488992845;0.185120732507167;-0.117204294021046;0.10312013156717;0.111531047630436;0.094960925983507;0.17860092035582
"quiet";0.345133871528144;0.225143172449656;0.193111354800284;0.350257036057571;0.532113936591661;0.154075073984868;0.15480696915973;0.330327023809574
"rich";0.44456318809593;0.279300298864679;0.0876877443077789;0.450830192313248;0.426854942827336;0.184476613931179;0.279772953196266;0.0773209857893779
"sacred";0.440102275295295;0.22531700282188;0.0962882394140464;0.437905070109663;-0.012266701721128;0.00866862061114917;0.4154762372117;0.121545253210897
