"MR1";"MR2";"MR3";"MR4";"MR6";"MR5";"MR9";"MR8";"MR7";"MR10";"MR11"
"accustomed";-0.0534516203976979;0.786086121690256;-0.0284980078083458;0.0202169633844017;0.0938346474602845;0.246218885251385;0.175457732260608;0.252245374662314;-0.0877139781862306;0.121713016510297;-0.0334068726563537
"afraid";0.399997600333084;-0.223815744053555;0.488783958231955;-0.15605029698397;0.318611425763632;0.12298120957863;0.0268247798428983;0.0801930117233434;-0.114136751205441;0.218932706461669;0.00339012729019302
"appropriate";-0.0960123981834935;0.692780097623231;-0.065518637352649;0.328626188730343;0.0207901499067601;0.0795293668257008;-0.0304229802967122;0.0952708501514922;-0.150045589866242;-0.196814577132923;0.0881654866306344
"beautiful";0.185036814846006;0.108721009256629;-0.00160297763525591;0.748234596251163;0.137989290377045;0.11078411330788;0.0863600332219508;0.0742973234101782;-0.029399963831359;-0.00147459400415711;-0.0813493380682585
"best";0.345677060913367;0.0390604077317169;-0.0471212567547806;0.0921421387178222;0.368849319365609;-0.0727423044913513;0.0425755557871323;0.0122456263607312;0.173888254059076;0.566508796085454;-0.223077952386944
"cheerful";0.225091297539268;0.160130506745146;-0.0395377390671072;0.0331833828229182;0.60933579426884;0.025432350875674;0.0797368561474917;0.222259415306762;0.280168933959816;0.00654421445151937;0.00756999966606588
"clean";0.178176763259053;-0.00412697582877442;0.0673680535395776;-0.0482448447034194;0.167482675805565;0.176469870434565;-0.0305404561030746;-0.0420774170755941;0.792636310679962;0.0705357483068541;-0.0895142316195875
"comfortable";0.20680734005442;0.0560870054639228;0.521363869133042;-0.0250949823049585;0.233808340630436;0.374113324259932;0.293498223429728;0.0322941715837944;-0.135137173059146;0.191541681980298;-0.160984649286701
"compassionate";-0.0354433521137574;0.562207022879343;-0.142876317166586;-0.0186462650050023;0.32095080066733;0.000160109135317081;0.251158855222047;-0.0280236139734353;0.207439830887559;-0.0667824510063206;-0.435577918238542
"curious";0.284467808368408;0.215866403926952;-0.0866411998339597;0.465712458065483;0.192442479237506;0.176663824651374;0.194863483653726;0.25487981269825;0.208553635769863;0.172267434217505;-0.0403058054980547
"dangerous";0.224201903100697;0.2663299276892;-0.121119034511686;0.724986485719506;-0.0116981614943465;-0.0773267321481742;-0.0136849758990098;0.0329071520172912;-0.0773564408880995;-0.0196140941448423;0.0266856297732286
"delicate";0.15523827757384;0.499627781396357;-0.158820507679428;0.234385806006498;0.382088810441648;0.135999908821401;-0.0921413526300032;0.136533314489877;-0.0269211495829449;-0.21376575207376;-0.0601764346811206
"different";0.622843264672676;-0.165249624672324;0.236510551744755;0.104077910176377;-0.0467962674543248;-0.0459579783953753;0.120201847401753;0.531677277776706;0.0137536401931128;-0.0591122182923076;0.041978074624038
"extraordinary";0.234512943192453;-0.0873984511035972;0.0326623330059788;0.111457619986779;0.111184314091813;0.069732338860751;0.23278898447791;0.450977186498479;0.0369209710223335;0.0568273787686013;-0.0448090841672669
"fair";0.0600176251466564;-0.0705722697015603;0.503988172024858;0.162243545511033;-0.186941639499877;0.158728466706273;-0.0279985753452056;-0.210429140894006;-0.284330804881369;0.35018991731088;0.0361247374792245
"faithful";0.675247410560268;0.0349917626002695;0.0999713420099083;0.157980536582398;-0.0713466448232599;0.311275552029587;0.133171059639534;0.193466126895025;-0.0193613557140833;0.183901946835981;0.0715146553859573
"familiar";0.128621081559571;0.0192061370125677;0.0373723301706397;0.326655423476187;0.631992451320157;-0.0272100952210572;0.162309337398493;-0.10874555505767;0.0242147968942633;0.00902139660417069;-0.0982997544723288
"free";0.515338966321757;0.0344227381154171;-0.0136153781853506;0.349896416313976;-0.091173366069736;0.27391401807963;0.0653551439855376;0.11097557438839;0.220942334548799;0.0604289759197344;0.170096262323577
"gentle";0.701389951072596;-0.0842805610368075;0.0100101040524172;0.160814344082681;0.037310739756006;0.0448748708410901;0.263654122477297;-0.133909930127496;0.104259236053595;0.114512214270818;0.0641602211459717
"graceful";0.0416005378180449;0.135076028100735;0.0973335008429244;0.774701815625256;0.0576446377054019;0.160739262733786;-0.0197482506273923;-0.071883053230389;-0.00103949023511699;-0.0308527359548756;0.107631773610647
"greatest";0.569709071019611;-0.0597777391792982;0.196772081467748;0.0181288746186719;0.226645207633207;0.0864124229634148;0.502758705677009;0.209669939159781;0.100134147581911;0.0193448190307738;0.0475716667123981
"happy";0.243742270805268;0.352709827950043;0.0295712148319982;0.077607614104661;0.0614009413103904;0.161775383331825;0.753623403868674;0.0933464153578295;-0.0581796967413597;-0.0311973372290955;0.024101573110209
"holy";0.218322971085165;0.65061174914477;-0.175826341427209;-0.0292236746220194;-0.136789144993539;0.0633185082902658;-0.0225650649868278;-0.0266629735845308;0.316477789290621;0.138948183968808;-0.0224245755874285
"honest";0.705113324126148;0.176967910610292;-0.115809903632567;0.0566860397698219;0.103482925852566;-0.051572563264692;0.056402330008946;-0.0348772783038977;0.209801234765988;0.0801155274737041;0.0438877712988045
"humble";0.594381523469146;-0.114684514975356;0.0612234697212108;0.428677317666298;0.0954974055921215;0.22673639730267;-0.107715973139221;-0.0421200278199799;0.133659748688495;0.0351592051891806;-0.050501062515673
"independent";-0.0739320855778371;0.530727084509041;0.120112407762813;0.212445564069485;-0.0844450382377512;-0.18214539903329;-0.120944548679346;-0.113505099005424;0.131048864692445;-0.0105854486965044;0.0108871118527761
"interesting";0.513864019745236;0.23636933102563;0.106633085714647;0.29799535786443;0.0602582871028212;-0.0542347434175383;-0.183815410538294;0.240369397662277;-0.0914508591106419;0.149444855428628;-0.0746263154114205
"loose";0.267876217493476;0.366618950571314;0.155671002510905;0.165326156168923;0.436313137384288;0.327864613996708;-0.0107220731828421;0.0483135979282345;0.0837450015059746;0.0607587757888892;-0.045168431453986
"modest";0.260836106780339;-0.166367563932444;0.614317604361771;-0.149035925455516;0.0907033229154244;0.0888628708087748;0.295298051376578;0.045820860590232;0.0554456187910748;0.085408667645179;-0.101382114673812
"moral";0.553025109725445;0.204909913580156;0.334873693164247;0.0526777555746988;-0.129974478310123;0.0463182877132763;-0.00790292162595515;0.324731165735447;-0.136378702214669;0.0612603830918486;0.0627798877451582
"mysterious";0.398838728562947;-0.10459087182501;0.379728282692266;0.0490411522757006;-0.00982913720392645;-0.301024381940739;0.0312532036863103;-0.31672610840156;0.0999735760959858;0.0269625883281198;0.0461805215908464
"natural";0.507187385824795;-0.0192991493779876;0.0686026007825211;0.227983589132515;0.151281259329462;0.0830773553509474;0.17871563805568;0.0841184082207627;0.082309079691389;0.0214402846045788;-0.358880990440923
"pleasant";0.575897198261829;0.0343400213953087;0.229880141227344;0.0530267014336059;0.13868824693812;0.203562086930712;0.355117949140252;0.212946661550736;-0.107040675380765;0.191723039140236;-0.0489024819650836
"polite";-0.0306734141086101;0.771502967464665;-0.0604102253093123;0.135267656702123;0.105564705900587;0.0925180320415564;0.037511384102353;-0.266347666573991;-0.034504402408149;0.0404611736226905;0.0471633248819461
"popular";0.0867854091685238;0.724180088220267;0.158277170530708;0.0165568119234186;0.137565671263973;-0.0828530883288782;0.179331377783486;0.0713707302675835;-0.0601376608405258;0.189533743054245;0.0150297601596957
"proud";0.61550205249239;-0.085263575502118;0.0741340991465309;0.396438840732591;0.279637921982171;0.0952225166377531;-0.061658365334887;-0.0180928168503873;0.0789733152201698;0.00271524836368779;0.0753382211409352
"quiet";0.285639869138431;0.0212026465190565;0.166363864740374;0.1876860828088;0.0386059102534912;0.848676670364834;0.136394382424213;0.0650550506042131;0.128659584310092;0.0367688882773327;-0.0373034716567559
"respected";0.145295785017116;-0.143496270922246;0.712265527360955;0.167470461580788;-0.0416623111787281;-0.207623742306924;-0.0847272352381524;-0.0559356242349442;0.108573380502156;0.072798573846223;-0.00958492335958398
"rich";0.345391623775071;0.071781396109889;0.0778010750048635;0.426902355546829;0.0423023498243497;0.23906422258179;0.165014506345222;-0.00623325215334207;-0.12533090749452;0.100223101145692;0.502689576165782
