"MR1";"MR2"
"accustomed";-0.0057561919990073;0.719850704290394
"afraid";0.652780816500414;-0.244153376574239
"appropriate";-0.158822250280736;0.708365001199168
"beautiful";0.323934531010076;0.452871125525045
"best";0.388923808508114;0.204017774498482
"cheerful";0.31322352268352;0.349699368830618
"clean";0.270155453515684;0.0938484802501947
"comfortable";0.575262135724396;0.0508459683509921
"compassionate";-0.0740615826110048;0.569653831259683
"curious";0.418320980226713;0.537216644782945
"dangerous";0.173131044868161;0.518801841281814
"delicate";0.0695325558487416;0.665739188961728
"different";0.679861469240091;-0.0590227244643141
"extraordinary";0.384254068321091;0.0805246036464799
"fair";0.300586132167825;-0.163446600312136
"faithful";0.713292519015434;0.186976499824316
"familiar";0.285483975348893;0.28446090547952
"free";0.537553643280303;0.269007324432715
"gentle";0.638245414441565;0.0927920764244809
"graceful";0.22082540535338;0.405630517764766
"greatest";0.729288692695793;0.0876708181920246
"happy";0.355788225387568;0.413140274054236
"holy";0.00686812286864486;0.565963370633227
"honest";0.487534385427752;0.29007359307271
"humble";0.610392632704755;0.173874293583339
"independent";-0.130078071637559;0.408881260946144
"interesting";0.453676889915002;0.329505788331886
"loose";0.41568787553748;0.509420999847515
"modest";0.590243814658069;-0.264925990054609
"moral";0.570110830656908;0.138434569003782
"mysterious";0.384773658276947;-0.189111954026272
"natural";0.544576649382143;0.185169005633922
"pleasant";0.73720671993664;0.143896635467659
"polite";-0.131133007474168;0.70321672954876
"popular";0.109888349718149;0.574977180363605
"proud";0.633824449303871;0.20159228518824
"quiet";0.551969146660676;0.239998921855202
"respected";0.410250225200323;-0.258782157153943
"rich";0.461350340026252;0.274558241322877
"safe";0.324278978734492;0.364573777383456
"social";0.0779719668068211;0.18549764208336
"strong";0.616745168070357;0.225466533974399
"surprising";0.197707398704251;-0.0395641213214816
"thoughtful";0.372252185036176;0.0506364721318686
"uncertain";0.510236876389493;0.0986894776532288
"united";0.330729759709911;0.167038794754726
"weak";0.592003095697535;-0.0216311154628245
"worth";0.30150436307422;-0.234560517420408
