"MR1";"MR2";"MR6";"MR7";"MR4";"MR3";"MR9";"MR5";"MR8"
"afraid";0.372511461419702;0.239665175933093;0.2870118507373;0.683240713841407;0.222629026865061;0.277533955790103;0.205553091226818;0.118787652044535;0.107983403321197
"beautiful";0.143961432836408;0.0887738302446476;0.185462027906858;0.0918016753378059;0.111488123370926;0.169284138671469;0.0974769555940089;0.91074505656526;0.0362580983737293
"best";0.171164168502836;0.947715904891281;0.05740613209611;0.140317458063357;0.148059017659796;0.0397213911958831;0.16175166123501;0.0673814153240945;0.0116635105300549
"capable";0.642522238398538;0.122399654858452;0.169459274181136;0.212760952751715;0.295645365771888;0.4232748139498;0.177554439465669;0.0627110778811736;0.0821996589282322
"cheerful";0.135834035699744;0.196502589586859;0.109907145578216;0.172421736975136;0.761130067685733;0.17944475444197;0.102017027504305;0.227539518793076;0.00359519789359255
"clever";0.354182636623219;0.28802578486468;0.25122877777413;0.190801217069908;0.340809475376089;0.205859491595471;0.431656826301645;0.132847494327447;0.4053364544879
"comfortable";0.445379828167926;0.258469072086456;0.391001626000646;0.344133254687341;0.231055707144369;0.183066920708802;0.11579005993418;0.145516097170445;0.440553277317885
"delighted";0.0737241609264945;0.231758899215249;0.102838132665524;0.294993592351487;0.529637742959619;0.187490127978445;0.291197488417159;-0.0646960674805833;0.305790138759761
"delightful";0.677766604133157;0.381486165691985;0.0527995974571436;0.0937630109229908;0.272480148257435;0.361377006617282;0.115977991478744;0.0673388451188603;0.0817738357771104
"determined";0.457637159674955;0.425691835483005;0.22082063319014;0.139870034652805;0.331080114415787;0.307808756230031;0.20156663951018;0.142106930012589;0.189129470731942
"different";0.588104106650308;0.262089770160265;0.497930494480019;0.187339891956558;0.396444420561954;0.00971477738686545;0.194215137758905;0.00945165792325066;0.0212725106910911
"fair";0.134944193820967;0.10868031410503;0.92803440457351;0.129267835375987;0.0302300607072754;0.191293386442948;0.115030610257998;0.141436265779878;0.125862918051755
"friendly";0.33236944238927;0.251889622055883;0.134015529595394;0.377570967264558;0.299704713340316;0.672636451316812;0.00426082362328934;0.0728470339316193;0.133679827879908
"gentle";0.344284001762526;0.260380037488138;0.246952370849474;0.365864841058967;0.0845616263168803;0.375171540270843;0.61103824634148;0.0808672202217808;-0.0498569566255129
"greatest";0.277104481722398;0.411362089661573;0.285566466551854;0.491936104202649;0.166996222357652;0.256734689987621;0.136896830490126;0.141173167257028;0.242116014288992
"happier";0.347411107356267;0.397462797373656;0.220736612125156;0.227362189009468;0.248687686420261;0.1482807248108;0.342980330033218;-0.0421240380910952;0.201057567592224
"happy";0.08689639069266;-0.0182384992314843;0.165221981712995;0.031783800976674;0.0742193843354584;0.822760755570981;0.221689988883605;0.163532505465905;0.0442432946950353
"interesting";0.46245325457223;0.0225220047295688;0.483441426538689;0.247008482959517;0.450908385610179;0.102267905290344;0.276568238916646;0.0508618037438329;0.0867696863297594
"modest";0.418569282774909;0.476172723762438;0.156097997678205;0.34922746948627;0.162472697168442;0.063379705221005;0.243699923894962;0.0906368451189885;0.193579285071011
"natural";0.489965273236341;0.471908906581943;0.286410350761436;0.207726562190976;0.167219688158206;0.0682783322614056;0.388359835041102;0.26063168536746;0.0619695234800823
"pleasant";0.413265366160009;0.350928286306613;0.183984752120794;0.597530191228621;0.308460246727796;0.0579444192260343;0.229045282404472;0.025957674566526;0.117445139488763
"quiet";0.422153967135193;0.358510217129228;0.399538979254467;0.192562941500865;0.203459435476544;0.257951062314168;0.371945387118176;0.213360888552017;0.257120421293953
"reasonable";0.835634672020752;0.27063966555537;0.138538582369126;0.2512279921998;-0.205207550003058;0.103609981882442;0.24170065368606;0.120113144566025;0.120860714003793
"safe";0.544445331540019;0.0352472037078464;0.337135249546694;0.482632186698548;0.207719474240178;0.0500321117640567;0.0549209162037676;0.183051419093632;-0.0780885565692502
"strong";0.43776416941763;0.193544269996029;0.546037119788918;0.305219550397702;0.24980963239266;0.400904355811179;0.0614531753696288;0.171997513566982;-0.208830069137815
"unpleasant";0.0017668361107252;0.294214540343703;-0.143665112715982;0.409289904225008;0.292202555275133;0.269289522884848;0.356577998851978;0.367537224577693;-0.0000531001360838461
"welcome";0.472015936895007;-0.0661288425839273;0.359675244528957;0.389748702585918;0.282548967709188;0.0859780765601167;0.205793779939824;0.288275179842818;0.197656522496199
"worth";0.323745873383486;0.337886381204896;0.155795743234088;0.0930902238564261;0.301838766556776;0.229456569000127;0.663670267766226;0.213891195486362;0.134825374163496
