"MR1";"MR2";"MR3"
"accustomed";0.420265495210048;0.543548669858944;0.378899338967083
"afraid";0.531010094747523;0.321328125157268;0.540008742540215
"beautiful";0.43447895362067;0.322333525529877;0.50513385108247
"best";0.553618622212578;-0.22809223497853;0.676647729491794
"careful";0.165035499160062;0.216828354167861;0.659169122844299
"cheerful";0.715064157960953;0.334418146352856;0.315223781708954
"comfortable";0.422161513058202;0.160593406791075;0.616225619552033
"cruel";0.449644316835794;0.40901780569654;0.441677654387405
"delicate";0.635848625176441;0.380086650493728;0.295963825080372
"delighted";0.454629015472733;0.276118433367623;0.406673126868883
"delightful";0.329267113985618;0.294531732291143;0.580855844736364
"different";0.475233221318586;0.414379622932154;0.487019963347358
"extraordinary";0.40632667849552;0.641697361837623;0.32295052622851
"extreme";0.0631446024622852;0.764691996290653;0.234044882944525
"fair";0.401545186486176;0.530278088861281;0.44397897729228
"faithful";0.705593696161283;0.295761832407004;0.30563316538262
"free";0.504426302037099;0.486199391151273;0.482724775312712
"gentle";0.572825376495988;0.416227485148075;0.370676641478487
"graceful";0.387267965480356;0.332405659564157;0.221126280600304
"greatest";0.301909948293046;0.219530670375531;0.664296750956579
"happy";0.224591294684106;0.590289183626827;0.256546159621258
"honest";0.541651350445278;0.525430108305024;0.385288424772402
"humble";0.536604855080093;0.541301554221487;0.282760391330138
"interesting";0.0689540566926569;0.221222077754056;0.656514290724769
"married";0.456838036173865;0.608163442977888;0.437334172950627
"moral";0.220695309335141;0.746081203265996;0.0981195119410847
"mysterious";0.65785072511074;0.286839747071756;0.394771895830144
"natural";0.580399041728438;0.552378479748509;0.360726641683652
"original";0.41841014074486;0.444442828944426;0.481016342608794
"pleasant";0.725364184732847;0.0987366578039572;0.425583002868052
"proud";0.265252475011728;0.3514916918424;0.68884896330122
"quiet";0.328556284001654;0.546702888841826;0.495193921594702
"rich";0.531666673965158;0.360919022008272;0.221399446284517
"strong";0.655227956834786;0.505858733872068;0.0197339772000955
"weak";0.520012740988888;0.391272174650537;0.463137493300171
"worth";0.394663292557663;0.609245648245555;0.124433600881874
