"MR5";"MR1";"MR4";"MR2";"MR3"
"accustomed";0.452751802560764;0.544787597185157;0.339670754060076;0.073053384858415;0.142339911405769
"afraid";0.631896476425834;0.404250886683203;0.0866988645260453;0.18022105495791;0.452579536739315
"beautiful";0.364587483863169;0.376543522073002;0.289648479226641;0.313422975373616;0.307023152782497
"best";0.153000336438517;0.315230483586221;-0.0418987725183812;0.814492381515847;0.348739727707587
"careful";0.103353165901786;0.589331650473215;0.101849471833953;0.194119468988442;0.337388186260684
"cheerful";0.544068667866632;0.406523165184911;0.294270160892022;0.42754535364832;0.0281930579366654
"comfortable";0.137418104365129;0.647005653894436;0.152939612888461;0.48165778130053;0.157613901789347
"cruel";0.505210017776823;0.577548546992945;0.132819383737493;0.0709736405430073;0.217980738547095
"delicate";0.588510284022932;0.343838168134696;0.277544255942277;0.289303803051253;0.110141633980185
"delighted";0.471634078292485;0.268857528305349;0.180617899288583;0.219792331373828;0.33145366737193
"delightful";0.368178627166535;0.472262656891526;0.11675099322314;0.134815193263767;0.430828721489716
"different";0.353695023303548;0.550175428399981;0.339958053064622;0.297056007610772;0.17039845610482
"extraordinary";0.422528956499103;0.585711720176607;0.450900855371378;0.0512497546975297;0.036213523559974
"extreme";0.197913487348365;0.228417953715811;0.758219317783616;-0.13277330314052;0.241212370484426
"fair";0.354494364727297;0.516246801154181;0.43504918177817;0.187586226649171;0.188068274682154
"faithful";0.602639550931875;0.36189970670475;0.198688173234451;0.349262649659208;0.105655397332524
"free";0.42403590164698;0.673154564376894;0.310040443401596;0.216727587200846;0.121166474721283
"gentle";0.44733247161765;0.311565393592682;0.451093445701667;0.387859460922261;0.17511241862481
"graceful";0.248212608036692;-0.00499758332981943;0.572681059790303;0.418418839010964;0.143747132430652
"greatest";0.390451600971503;0.474031694494904;-0.0125973142086533;0.120743237060448;0.555767399451205
"happy";0.208077439610145;0.223802354789563;0.666779668022236;0.11616977481707;0.160549742762165
"honest";0.596436396307057;0.447497875903466;0.333344695699471;0.143058145792528;0.215455356514349
"humble";0.35154159740909;0.424764291071724;0.606805349458283;0.3707922737775;-0.0552469763543936
"interesting";0.0333906737462128;0.103113472128188;0.347409048938118;0.206047918771169;0.871849808712588
"married";0.564321190261546;0.534874400805152;0.360337158689741;0.0408802560214644;0.257638059598383
"moral";0.479480177808142;0.356837613248007;0.462332209854326;-0.272790508942003;0.0554736261288756
"mysterious";0.642023791879709;0.229326978387838;0.215309513736739;0.35330527977293;0.314564838230358
"natural";0.574225711233363;0.535205234026825;0.362950923013403;0.17620549592044;0.100513316523747
"original";0.280029411907643;0.59272490724006;0.381191556501924;0.277124456585558;0.124209378525798
"pleasant";0.571857357178548;0.288626133358212;0.0727804534113818;0.513910576102589;0.218580899802066
"proud";0.217446535072969;0.522411691139965;0.291398984310425;0.255714484627171;0.418628804612597
"quiet";0.345821222729721;0.443598934778979;0.463635761057342;0.157638484279708;0.304335810946765
"rich";0.431409039785557;0.328925371555041;0.317157352445018;0.281180527626622;-0.000264506834549246
"strong";0.787118629382871;0.0543888952763589;0.383841461612892;0.123965359334331;0.0545002791394011
"weak";0.442949361895298;0.428294481900609;0.324642864409704;0.299086572686077;0.249619387261263
"worth";0.573354394532522;0.244082709197859;0.411486544849501;-0.0632218277678246;0.101193622592843
