"MR1";"MR2";"MR3"
"afraid";0.507828882050917;0.263790777666183;0.295538157634211
"beautiful";0.116627035159592;0.550800752652259;0.256865375604583
"best";0.380125535329725;0.379534573965752;0.121676704749309
"calm";0.228983699307414;0.584573891994677;-0.0458671417066978
"careful";0.417732001065832;0.223074077844498;0.540047578508902
"cheerful";0.21661585592504;0.535684350186481;0.559079960547536
"clean";0.319974625170882;0.354265157252912;0.529574928443733
"comfortable";0.212484648367397;0.369517430447035;0.369475761106118
"curious";0.415069373438124;0.406561642597942;0.306459289031641
"delicate";0.394972891899348;0.200268214649997;0.315223466100921
"delighted";0.456535450580716;0.411819786320672;0.360076764615208
"delightful";0.400880643631376;0.456196664055851;0.223808094735928
"different";0.421833842181409;0.524155454487732;0.0967012476632185
"enthusiastic";-0.0417499697877302;0.652325323827031;0.145218177551741
"extraordinary";0.577372912684329;0.128408477048418;0.228208243287633
"extreme";0.679370916436563;0.315327908085314;0.192645211999012
"fair";0.361802126252813;0.176207568497133;0.215494050121697
"faithful";0.181864753161514;0.57191157447627;-0.0850657686735781
"friendly";0.563694370432077;0.319647915812368;0.187189869337883
"gentle";0.233652738121646;0.550591240289281;0.377367071640656
"greatest";0.585417345269605;0.179289593397877;0.261879668440795
"happy";0.135583696931182;0.421713414405372;0.417495547757202
"honest";0.381709621274364;0.0891217476207766;0.371840630571727
"humble";0.335864115720375;0.277485134891292;0.243997235180199
"interesting";0.227339687181149;0.582582642589741;0.141350350310623
"legal";0.30729937716777;0.105466186681968;0.1123452118705
"married";0.528058990452124;-0.0217760801467129;0.465878442112014
"mighty";0.381374933585987;0.566324501413477;0.129576842340777
"moral";0.0991282766953497;-0.0216693945328606;0.78950263453855
"mysterious";0.516271743163851;0.18253092367623;0.14288200126644
"natural";0.416100107401634;0.111864204650071;0.519940253130312
"neat";0.181926187333269;0.26388105640161;0.6195922258128
"pleasant";0.228622283699735;0.399203099406942;0.38380827515999
"popular";0.216083437835716;0.156161734778993;0.131444343758717
"powerful";0.565220153239862;0.212455212153084;0.0899004704888558
"professional";0.645532583395275;0.106042026909118;0.213001556383219
"proud";0.469601652942622;0.430236564054965;0.278643609886199
"quiet";0.468907455916183;0.306106928281263;0.520169442243136
"reasonable";0.249915444055908;0.182166647613075;0.401697513878989
"rich";0.122804357607983;0.609840172692558;0.249934512475524
"safe";0.308563947441713;0.473389273294356;0.354175820115206
"smart";0.624933135819564;0.35635876516115;0.428903192842027
"special";0.463930565498054;0.159801709324469;0.478019819061094
"stable";0.52237531661977;-0.212261049482578;0.403970934084162
"strong";0.393440840135103;0.415136764219521;0.396735076463006
"thoughtful";0.305121436155484;0.287860783453048;0.391372418853947
"top";0.516486829299215;0.292578970684642;0.147287282546912
"uncertain";0.582869678929845;0.0508573436027793;-0.0137810573443785
"unpleasant";0.552357004860322;0.203488225826468;0.156650609967257
"wise";-0.0230914485250918;0.525134177793813;0.488227200615074
