"MR1";"MR6";"MR9";"MR2";"MR5";"MR3";"MR4";"MR7";"MR8"
"afraid";0.920072454347903;0.105725212238487;0.0112934460444018;0.1353393920503;0.0612732861119803;0.226180813833471;0.114456165574573;0.240252106531207;0.059234911408789
"beautiful";0.788247464805748;0.0106075991547811;0.311722851194053;0.364611321597131;0.119812000485004;0.100902231587343;0.289039423093904;-0.216689769630145;-0.00308768843514634
"best";-0.00297736899832391;0.0228077421569968;0.142276126102851;0.0634996958770062;0.971515636418614;-0.0757205721897049;-0.0306821756770044;0.139771486811457;-0.0334684525666151
"cruel";0.178869607715911;-0.144311238212639;0.192595690493738;0.932582991107353;0.0612391167018413;-0.0279698517912181;-0.00847767765688355;0.181396618898133;0.0163918066101127
"curious";0.859289737572755;0.102631383312535;0.044829680403162;-0.0623166582771019;0.174417415555265;0.0648699881161869;0.309087531502093;0.283346580588055;-0.175558118280899
"dangerous";0.260670515855272;0.0242585493552913;0.879239123101641;0.257869186671162;0.214531631349046;0.108165253310185;-0.187108365388241;0.0319944789655951;-0.0105809781455523
"fair";0.286870501408638;-0.159799781980957;0.0892842809112735;-0.0267173201275369;-0.082846756449555;0.928793682327135;0.0962335466052537;0.0111784095429386;0.0200579734951205
"free";0.694349989392092;0.177251608299687;0.238081268176443;0.122396505605073;-0.0515423563726094;0.0643796593370895;0.0181353852612836;0.176448634885717;0.158051270420025
"greatest";0.564212338867289;0.582270201067406;0.459588897247461;-0.0613825325632899;-0.0191191995069066;-0.00148752216678913;0.0630425812357236;0.0895097794966209;0.324455287654102
"happy";0.26817814932625;0.0894359292190643;0.0475119475574991;0.35140573594803;0.306767092198576;0.00930869836436352;0.287651721323075;0.730562125867876;0.00265018165977023
"natural";0.737447872531941;0.305023312507477;0.294611443637333;0.104633828546113;-0.0572720668274437;0.269365938385348;0.0601724110182322;-0.0867584166710651;-0.121477595431896
"quiet";0.766119437556156;0.189984004534951;-0.00714224344525262;0.0845014787347608;-0.188552763821075;0.0942148333164651;0.149753585235231;-0.0320969043904577;0.482459702736971
"safe";0.275043667589284;0.154148897801783;-0.145294942806719;0.0030468043160853;-0.0430633066926629;0.0986958678008207;0.834082792678234;0.16056070861679;0.034788317850381
"strong";-0.234184909436289;-0.933663706575943;0.0148647419790906;0.130810423473579;-0.0392084412227004;0.166249104689418;-0.148353549089035;-0.048691371268879;-0.0000378889442393666
