"MR1";"MR2";"MR3";"MR4";"MR5"
"afraid";0.431736208545019;0.426435824112449;0.269788896547681;0.292853665532841;0.688192419548929
"beautiful";0.37882800021419;0.559405752000441;0.257679330055402;0.0562154260112857;0.301295576771607
"best";0.215898504483976;0.449063522470204;-0.0374993406756672;0.453407797951799;-0.268141066279633
"cheerful";0.616304468403342;0.0648690747370781;0.169941611765342;0.691832248725714;0.0514562180362315
"comfortable";0.717408382175898;0.465326661592877;0.234497378578672;0.238695750852387;0.0834044757215965
"curious";0.523179899979804;0.753801077557702;0.075074714069538;0.166458616011736;0.10459957247843
"different";0.237378305419995;0.668950078857638;0.418950114069618;0.311965398028869;0.272652423895875
"fair";0.786386953818804;0.148116484018616;0.0356849459323844;0.160567218158317;0.0999386639731707
"familiar";0.567043438975003;0.0929094401189858;0.31733657359861;0.395084985626493;0.237848262377436
"free";0.604216262747249;0.411970865909358;0.465218045212188;0.256128234123042;0.179472821071052
"greatest";0.389200578011328;0.48723469518668;0.353779055061475;0.47540015561944;0.212928736541463
"happy";0.583344257471646;-0.0808827448766172;0.669598834230191;-0.110007182291228;0.207642369550614
"natural";0.573484568042345;0.313023193957344;0.440494690703925;0.302908656185899;-0.106929173303827
"pleasant";0.411119017419642;0.584105083324343;0.190693512209269;0.413176568944017;0.0626639969652421
"professional";-0.0225018245797861;0.842646661627685;0.0528213833985684;0.105571975003089;0.0417845810106885
"proud";0.478527603843127;0.397530841967382;0.13410694304748;0.537107211231081;0.0779582133103962
"quiet";0.0261600447618389;0.250157577922326;0.946720485987525;0.211358498976572;0.0113018089403294
"rich";0.0391363678902547;0.196286821922653;0.264021151786646;0.868685678254332;0.146907310116138
"strong";0.30071512616411;0.104096425044952;0.717419399758717;0.313003568676414;0.188197057732798
"weak";0.590030032416136;0.509008294822527;0.445478785524952;0.162909051241961;-0.208857211149556
"worth";0.559800493819386;0.33322660261682;0.295564006647055;0.121551538505509;0.271833369267643
