"MR1";"MR2";"MR6";"MR10";"MR3";"MR4";"MR5";"MR7";"MR8";"MR9"
"afraid";0.655685998139849;0.304361893092316;-0.0272878556512986;0.022456625406792;0.111383511366926;-0.389160984729674;0.0325977507067857;-0.037572104037348;0.226273819129381;0.335134527108772
"best";-0.0767454175043939;0.383539043197577;0.313935347779315;-0.402313236703264;0.478976159678043;-0.139140524544957;-0.0874965697242058;0.0672322400253369;0.41524649395805;0.16588499834663
"calm";0.347111704146173;0.906800425326923;0.053642577911188;0.105376070615327;0.0527475188170942;0.0737549262084817;-0.0385141960896392;-0.040935299019143;0.203484828080179;0.0763604916889665
"fair";-0.038897539575363;0.041078384704467;0.0625683051635989;0.15479613629431;0.945702210567518;0.0629097826092896;0.044615245876657;0.0423491675932567;0.116386135050382;0.00226514870650165
"faithful";0.364129576782259;-0.0905610310318094;0.208689721103921;0.723430499312108;0.34106440920553;0.10265772954632;0.138173036085327;0.169754137390748;0.184144986621922;0.0697680120464191
"greatest";-0.0909415391441725;0.0371369223518605;-0.00136876092586947;0.190783610372862;0.0425984026843946;-0.0362051301408779;0.922596863141114;0.0810532317089249;0.117835320006359;0.196486421970944
"happy";0.869679602107282;0.157149524703072;0.300701754845027;0.182823500034653;0.0690734720326977;0.037313935462173;-0.00000880223738516505;0.124500479984663;0.172193178659328;0.144980366481244
"honest";0.137124840631099;0.182538230099044;0.910302163240673;0.148096893172359;0.111534254206293;-0.158904618260053;0.0676611210819996;0.201951357341787;-0.128897240490109;0.0622571031152737
"pleasant";0.33060003083214;0.70426484627083;0.0774573992014767;-0.171396080130441;0.0957877670941366;0.352829830950553;0.291866250309288;0.341225434116563;-0.0846144475845169;0.0785259010214586
"quiet";0.128487662961702;0.0548968774572228;0.219445451111403;0.193610486843719;0.0421057928224278;0.0343850601504681;0.0811692765491256;0.904530948048351;0.107499862224199;0.0880630733839417
"religious";0.0966372888523487;-0.437441905564731;0.134395660314138;0.367744126105749;0.36525216654887;-0.202863023384168;0.016084428972355;-0.00694285008795149;-0.0352827279976894;-0.14068090915351
"rich";0.210825889132137;0.227859520054299;0.166771897399212;0.300609980214316;0.24338102428936;0.105272274474413;0.275589541240931;0.16938762102728;0.778717292672659;0.0857737433637224
"safe";0.00606980163354336;0.203271074314051;-0.157953791070742;0.00453879954501743;0.0257318831335789;0.964641141319837;-0.039428742848128;0.0271500285417212;0.0561465714766387;-0.0670692724285813
"sincere";0.0988109562832761;-0.128702369223933;0.653073602274853;0.146300831593341;0.0450192781187416;-0.0265083023356828;-0.0627072967506532;0.0565826117204104;0.306282999140842;-0.0431982632974753
"strong";0.351916203787418;0.128449516044431;0.0238773935504488;0.0339146792146691;-0.0132198083990703;-0.0843809508184339;0.254456076415917;0.113330646913213;0.0592255122157127;0.875813017536662
"surprising";0.703510539384724;0.227882467626894;0.0221131910974444;0.147243148963218;-0.377426661631545;0.161343112321355;-0.224307230862828;0.15683335956665;-0.175935751140163;0.145361738792761
"worth";0.0530938934075792;0.0839970598721668;0.444538488903357;0.716669348061528;-0.00587283500912637;-0.0980484198379694;0.286818193086174;0.281453360660197;0.187179249820706;0.0639978579167718
