"MR1";"MR5";"MR2";"MR4";"MR6";"MR3";"MR8";"MR7"
"afraid";0.33453926987927;0.157302443652968;0.201490151256627;-0.0288890085715081;0.344315510365051;0.431159531038806;0.252483672027196;0.143439696306591
"beautiful";0.301126612659467;0.367699937400503;-0.170177464753878;0.127359593134263;0.475945053738045;0.301599900628491;0.0637680923475858;-0.172540456141965
"best";-0.121453472497954;-0.0498684533457436;-0.013329994214246;0.650164546548307;0.0986117127468825;0.371909520508735;-0.105094865401789;0.24423959184479
"careful";0.193947684345048;0.225705841537054;0.369530586378407;0.262807754321454;0.248501026349825;-0.0394255984142367;0.374357175679955;0.514511121664622
"cheerful";0.222464784516316;0.622500427098447;0.269555463454117;0.36061218079206;0.351027373233405;0.0818921264021237;0.0373453406928822;0.0479961560525148
"clean";0.487507288258808;0.144779769980884;0.28972473056029;0.117047555877623;0.386849452771531;0.132353121340096;-0.113269867080033;0.271317921068191
"comfortable";0.407306007992452;0.263855325434424;0.170403099516924;0.499965488682602;0.120632484359591;-0.252825761445287;-0.0125004106838481;0.181474275466431
"curious";0.617671401033251;0.0151922809795519;0.117980159031797;0.0732241235764738;0.033808642250834;-0.107313117923334;0.209761609044473;0.179893590760141
"delighted";0.472099805059861;0.356246178115018;0.0842406735199793;0.0672911169138488;0.360168076205741;0.2366058405395;0.245127187550695;0.138698874618026
"delightful";0.132306335228652;0.00777460824273251;0.200662588478863;0.572340910183609;0.155473888237993;-0.107715767322431;0.512887971688312;-0.0831298697012447
"different";0.40996303955073;0.289830566557755;0.0212337779628279;0.444653872772565;-0.0421653559579051;0.335182243358019;0.248377710530525;0.210224001413477
"extraordinary";0.348435094719376;-0.0580160011234405;0.605189444889321;0.136074592823755;-0.0400117718480967;-0.0513675576146407;0.070124661264027;-0.198039879605298
"extreme";0.676497328270307;0.00177834976195258;0.385632125707909;0.0433234620696637;-0.0186650112299024;0.179537986374153;0.129401393979018;0.184084944252095
"fair";0.0624922742297107;-0.000706250999333924;0.129136127906197;0.065138680189771;0.0976180735420509;0.247347816241154;0.577756042408805;0.208042874691277
"friendly";0.290605271157854;0.188620297139721;0.145403680127545;0.261146226885117;0.0166875030256476;0.150935256705069;0.192615274551375;0.618944596181925
"gentle";0.448742650386128;0.277185841614244;0.098687184805886;0.178264931584456;0.424183137792206;0.0372278295056873;0.285430632674412;-0.216335983903691
"happy";0.0971526886401601;-0.155002186055327;-0.154080772305573;0.112173782177328;0.789152921263689;-0.110174049278694;0.259702227241989;0.168488731952597
"legal";0.0895039676550629;-0.123257998389894;-0.165762477872441;0.0323361601789306;0.114715345601009;0.232568398765098;0.0949817579579863;0.650818843403761
"mighty";0.57607659179386;-0.0414991393148897;-0.0166517346809223;0.360980709180951;0.258587714041012;0.342720274596777;-0.0182042422831493;-0.0426703353724441
"mysterious";0.032601917991557;0.0822030628312878;0.111763515348433;0.0580452734018424;0.0116362433871302;0.785345896527447;0.00780965038351351;0.233605205730088
"natural";0.372728701816778;0.396053646420185;0.222863383290268;-0.233074485496768;0.268036169215559;0.193702046819087;-0.0518047773175552;0.363456789173294
"pleasant";0.0246141813780812;0.788964038304402;0.0665014996410386;0.0846328694086215;0.0342411319193584;0.0792996138393751;0.0876978416113209;-0.0560043690819568
"professional";-0.0776017967570392;0.192310933324577;0.808657047149741;-0.117801752580963;0.0722055253842591;0.208993993365546;0.15006997331815;-0.025506294987415
"proud";0.286518040099683;0.652304954474638;0.284056604212803;0.236101649742398;-0.0901981573317077;0.0592005439049392;0.182146856432052;0.170654745252529
"quiet";0.385883275923412;0.419828993494709;0.0725459465098169;-0.0836722741711924;0.0835836149936792;-0.0720612764796854;0.71408675427498;0.134698180391901
"rich";0.0871749911619673;0.283839593706837;-0.00279579070152415;0.593602384600254;0.181050062192152;0.0190150471584336;0.0685148696743903;0.0201129518021682
"safe";0.00874494449737043;0.202592925002047;0.26763591667734;0.279439682312214;0.619626891993951;0.162255141851485;-0.0528849865414005;0.151004574745311
"smart";0.601392728918815;0.262521281277503;0.29150956849627;0.0516651123356216;0.132105986469559;0.227171990048458;0.50786309162668;0.0385379122955317
"strong";0.743422639530211;0.374524121870469;-0.095693426402774;-0.029701860277241;0.120792752842746;0.110313530954396;0.0895487440090492;0.0768975407998546
"top";0.341886151239703;0.157262439697973;0.275873697229093;0.0961077384151604;0.0774526746394405;0.55768994247286;0.229745750912836;0.0497184131718848
"unpleasant";0.198666644110102;0.20737013632349;0.598278605613281;0.145735753206623;0.0169251745654353;0.128373593875235;0.111665399030781;0.202135928429874
