"MR1";"MR5";"MR2";"MR4";"MR3";"MR6";"MR9";"MR7";"MR8"
"afraid";0.312460971524322;0.137769384223289;0.201096764611475;-0.0233256286214422;0.409775356837753;0.302553898453628;0.242169219587507;0.25020026957371;0.152160467867922
"beautiful";0.169408729329595;0.342532832298761;-0.131904739503327;0.0739798781546273;0.207855812449906;0.302852446624795;0.0718972441927064;0.575642493266332;-0.0399097134900625
"best";-0.209125905412994;-0.0295986438144952;-0.00392038213015029;0.587274409010214;0.334906730674594;0.0835297010594761;-0.106470743241464;0.125541564397086;0.321479251269723
"careful";0.332858078166393;0.214179615925113;0.310021945969573;0.338352992615673;0.0414235110943902;0.386210844426036;0.332183016812273;-0.202717229692451;0.354213555773738
"cheerful";0.210357168080205;0.600255312290058;0.247891747146288;0.365926962385241;0.0943035102002451;0.328734317112759;0.0112454295603326;0.213090232164561;0.0287108229260431
"clean";0.419793836778139;0.126710374802872;0.311754756297206;0.106584387791017;0.118900834199882;0.370983547284158;-0.130325429351444;0.238774950204293;0.275643972373378
"comfortable";0.358147248613283;0.245403507909184;0.205821617263409;0.50427038140511;-0.250404655644587;0.114648232864184;-0.0655264474597008;0.146403606529386;0.182529110561451
"curious";0.616668643872532;-0.0287543677353978;0.161741606805486;0.116300295246832;-0.0970202261167006;0.0272082210717549;0.14874525415371;0.11343720030259;0.153373355505974
"delighted";0.574784434487332;0.286111940563836;0.0278455083918085;0.138953092785488;0.315912393689329;0.394970890217284;0.183054197203466;0.113699424100886;0.0119494196828974
"delightful";0.157732402079373;-0.0318947631352933;0.177020139102919;0.648392415345267;-0.0556085261574116;0.16155749303422;0.46322763136679;0.0460044824612664;-0.14320692971006
"different";0.34966011407534;0.27106154627289;0.0704645315459064;0.439149312789243;0.288808126868028;-0.101186587186868;0.202183898620453;0.247971061815172;0.288763334767291
"extraordinary";0.278446299807444;-0.0679242720825231;0.626946989956722;0.152334219636084;-0.023231265314173;-0.0370831118968811;0.0366908526975261;0.0837915075862649;-0.1964008277621
"extreme";0.613479817575967;-0.0238872887823354;0.442853276190376;0.0603886606912293;0.169030415030479;-0.0306239823981216;0.0824594293881326;0.173227121415565;0.203382672130931
"fair";0.0206233518023841;0.024481732617645;0.158979701391824;0.042673610104572;0.177909154113598;0.0438137467149702;0.641465178379802;0.14890849220225;0.295686227372201
"friendly";0.319833302456039;0.196918982303284;0.163161931495387;0.271529369431527;0.140295484612626;0.0734834950090626;0.164700263229947;-0.0359433723482696;0.596132412492841
"gentle";0.247421180116352;0.279956849605298;0.197200083546913;0.105347535919983;-0.128097992781462;0.22824142488539;0.320334352026176;0.727608944429937;-0.0532574723043029
"happy";0.100792106702832;-0.167271022533886;-0.174515463901666;0.120995679791506;-0.120806018632424;0.721940093284438;0.251265987895953;0.237172978366067;0.141545187165524
"legal";0.075461452422013;-0.0938272512896042;-0.137797649880402;-0.0105123174236903;0.156779709197406;0.121511242090649;0.118150396376279;0.0301696128482006;0.731962511952749
"mighty";0.356606093768423;-0.0757834013310296;0.0879138685427236;0.299718908158682;0.234022317312506;0.0765588294515476;-0.0492507585864896;0.617342024594619;0.15148328491923
"mysterious";0.0495515595035509;0.0663248577494214;0.0722562875137683;0.0621648058533966;0.845299844469017;0.0376874267335139;0.00168832248903024;0.00648710891055887;0.213427205483221
"natural";0.393972361521319;0.384149083619958;0.219147581855219;-0.224150569181961;0.189090181474207;0.289161979554686;-0.045697432171391;0.0954906626764981;0.317133250263496
"pleasant";0.0366641976718424;0.810089712146254;0.0523266745742247;0.0793150069071435;0.05805906759239;-0.00460319430155118;0.0905357742078561;0.124681517149642;-0.0402640439695103
"professional";-0.0321359686922221;0.218051912367576;0.74086979510459;-0.0950635245150575;0.259788489196858;0.154503433668956;0.165958761635363;-0.128922630566765;-0.104882490740809
"proud";0.341606286130205;0.63313550698189;0.272717515212326;0.271629018373604;0.0898712394421305;-0.0494082289640255;0.141793130231087;-0.00488201798842378;0.117354742152405
"quiet";0.518422923173374;0.378698821345654;0.0573207715068188;0.00767223304345364;-0.0387092988921384;0.0978083451800378;0.657398958405313;0.00448411279672237;0.0420714990761575
"rich";0.094549201759803;0.254823631420629;-0.0325976905028645;0.62943542492967;0.0606223781545841;0.17857577369891;0.0139769038102232;0.0892741191172247;-0.0136386345526444
"safe";0.013137318206349;0.189126006886683;0.208205531061928;0.287590130408388;0.205749424633381;0.671005563199574;-0.0658535975250809;0.111819961095602;0.0723583205403415
"smart";0.61902092546067;0.212534739486225;0.305518806626054;0.110757672378571;0.241953786025472;0.101450823304208;0.447542092162247;0.204416208599097;0.0118994345045544
"strong";0.83069865335036;0.286146858765355;-0.106043049431596;0.037872097447649;0.160262407820798;0.0960728701586681;-0.00863017253224193;0.184875506188058;-0.00354053516994272
"top";0.321697977593819;0.126935011443991;0.276427043748472;0.112713214063324;0.564559121154113;0.0548294710037757;0.199403143950246;0.183893227908569;0.0536579428830427
"unpleasant";0.102333639390533;0.257459545837081;0.67605622268998;0.101952146855046;0.0679175445757669;0.00792072473498922;0.121955886253136;0.116989050493939;0.284959643460086
