"afraid" "beautiful" "best" "capable" "comfortable" "delighted" "delightful" "different" "extraordinary" "fair" "greatest" "happy" "interesting" "married" "natural" "pleasant" "pleasing" "proud" "reasonable" "rich" "strong" "superior" "worth"
"afraid" 0 3 8 4 3 3 5 4 5 4 3 13 2 7 5 6 4 4 4 1 3 4 3
"beautiful" 3 0 1 0 0 3 3 3 1 1 1 4 1 2 4 3 4 4 2 1 0 2 0
"best" 8 1 0 3 2 1 1 3 4 2 4 10 5 4 6 1 4 3 1 2 2 3 2
"capable" 4 0 3 0 2 2 2 3 0 3 0 5 3 2 1 2 1 4 0 2 2 4 1
"comfortable" 3 0 2 2 0 0 1 1 0 1 2 7 3 1 1 3 1 1 0 1 4 1 0
"delighted" 3 3 1 2 0 0 2 5 2 2 1 5 1 1 1 1 1 2 1 2 0 4 0
"delightful" 5 3 1 2 1 2 0 1 1 4 2 5 0 4 2 4 1 3 2 1 3 1 0
"different" 4 3 3 3 1 5 1 0 2 3 5 5 3 2 2 4 9 6 2 2 2 7 7
"extraordinary" 5 1 4 0 0 2 1 2 0 2 1 4 2 1 2 1 0 2 4 2 1 2 2
"fair" 4 1 2 3 1 2 4 3 2 0 2 9 2 2 2 0 1 1 1 0 3 3 0
"greatest" 3 1 4 0 2 1 2 5 1 2 0 6 1 1 1 4 5 2 1 3 2 2 1
"happy" 13 4 10 5 7 5 5 5 4 9 6 0 4 7 7 4 6 4 6 7 7 7 1
"interesting" 2 1 5 3 3 1 0 3 2 2 1 4 0 0 3 1 2 5 0 1 0 3 0
"married" 7 2 4 2 1 1 4 2 1 2 1 7 0 0 3 4 3 2 2 2 0 0 2
"natural" 5 4 6 1 1 1 2 2 2 2 1 7 3 3 0 4 3 3 2 1 4 1 0
"pleasant" 6 3 1 2 3 1 4 4 1 0 4 4 1 4 4 0 3 2 0 3 4 3 1
"pleasing" 4 4 4 1 1 1 1 9 0 1 5 6 2 3 3 3 0 4 2 2 0 5 3
"proud" 4 4 3 4 1 2 3 6 2 1 2 4 5 2 3 2 4 0 3 3 0 4 3
"reasonable" 4 2 1 0 0 1 2 2 4 1 1 6 0 2 2 0 2 3 0 2 1 0 3
"rich" 1 1 2 2 1 2 1 2 2 0 3 7 1 2 1 3 2 3 2 0 0 1 2
"strong" 3 0 2 2 4 0 3 2 1 3 2 7 0 0 4 4 0 0 1 0 0 1 1
"superior" 4 2 3 4 1 4 1 7 2 3 2 7 3 0 1 3 5 4 0 1 1 0 1
"worth" 3 0 2 1 0 0 0 7 2 0 1 1 0 2 0 1 3 3 3 2 1 1 0
