"MR1";"MR2";"MR4";"MR6";"MR3";"MR7";"MR5";"MR11";"MR8";"MR9";"MR10"
"#-accustomed";0.51583991555496;-0.0563048545621963;0.0307627001343903;-0.177349722309957;0.0343994549410559;-0.203530980568263;0.0416631149898995;-0.186225571980583;-0.236461154881697;-0.0121658102923651;-0.419152884652424
"#-afraid";0.36092830910979;-0.0964124966393668;0.249408776328098;0.189106073839109;0.0837346647839547;0.47738424895057;-0.0905357586334044;0.00263564748566265;0.000132638544950641;0.296860963080305;0.0464805781886823
"#-comfortable";0.247616266161375;-0.120102797817808;0.334567796700638;-0.215934012077842;-0.0766704852241228;0.412165374008312;-0.126133057803094;0.0532381517000172;0.118914544589868;-0.0438511303953336;0.149289208597537
"#-curious";0.247616266161374;-0.120102797817807;0.334567796700639;-0.215934012077839;-0.076670485224123;0.412165374008316;-0.126133057803093;0.0532381517000182;0.11891454458987;-0.0438511303953337;0.149289208597541
"#-free";0.23509068231967;0.648242617890734;0.0417325571188046;-0.0158700362426641;-0.0120554561683246;0.177469740077279;-0.0993557168522629;0.178035983999619;0.191117161633237;-0.00119498358924098;-0.0263103474225051
"#-honest";-0.0435505637965089;-0.0506053141749292;0.0573326149920905;-0.00561970927047838;-0.0112652684403522;0.0196680990542202;0.00247233244636607;0.0301114822989822;0.208140255988359;-0.0652778838352263;-0.0621105127098175
"#-married";0.246439887044255;0.0756809121488856;-0.114582158581287;-0.0168054255194471;-0.0156010053001188;0.379328470975459;-0.0326819649356378;-0.124952790679034;0.0711099196574648;0.40884046014816;0.152921545237107
"#-minded";0.0404148864116858;-0.040332368890138;0.0204284417924779;0.139053891884499;-0.0167064436442002;-0.0287679304050793;-0.0742102300665456;-0.0460386632596531;0.00766158893005184;0.858423306250533;-0.0828127781554569
"#-neat";0.0370766473323066;0.0439227458929692;0.115994084484697;-0.02758171448612;0.0691356768919161;0.00653447007057519;0.218105774829652;0.578875727257774;-0.139770211139967;-0.052537919343719;-0.134535413243696
"#-profitable";0.182406240772937;-0.000551815510816944;-0.0124373691322429;0.327952448884364;0.160058901368266;0.0564422030555139;0.150830621390345;0.098320150154084;-0.148140848678874;-0.0158936643991421;0.014439667861914
"accomplished";0.530049420556013;-0.0510384105819561;0.236659464535593;0.378257264781519;0.0710545627595246;0.229775100602703;0.0801891501225956;0.104282584329656;0.14412414046743;0.0430511820602256;0.0311907472219891
"accustomed";0.761820041628037;0.107097532412251;0.0615938964137715;0.121761592003974;0.0180750169989837;-0.125145821900887;0.00227101966464395;0.0848386438711675;0.0143143252022616;-0.0808154402597868;0.247730288225501
"afraid";0.816597969120639;0.220973862578982;0.11939916585473;0.095951367307012;0.0617850152578356;0.146304687420183;-0.0319725064437359;0.0707770416856579;0.230530095587663;0.0586660237652803;0.177695159883789
"amusing";0.157039248427353;0.341382511500891;0.469168073811137;-0.00760560236131774;0.0579235429613398;0.0628302250171433;0.0124141442174858;0.0560047598822721;-0.167046371429453;-0.0569123124177054;-0.178063311326769
"appropriate";-0.0054567603423437;0.00242185638857389;-0.00110071772160507;0.161150407213202;0.285208847412161;0.0237672893158696;-0.114777615588215;0.333888593842859;0.124065704677095;-0.0278552400485552;-0.133313553268224
"artistic";0.0275584950439754;0.0475223853882183;-0.0826104966388907;0.0660853944109708;0.121400911118149;0.0509558190020883;0.0638356598135308;0.0243544279938458;0.0917658657264846;0.014948723339728;0.00219754098322835
"beautiful";0.823801662396977;0.214653501314226;0.163373423444721;0.0614818382697565;0.0934496776998465;0.037136981440292;0.0794248231586066;0.00618127015923479;0.111689586635938;0.0389402185551434;0.159263497250957
"best";0.766579827700758;0.255669187927291;0.181258527851228;0.248369601892883;0.169694972071685;-0.194669498854909;0.149213225353273;-0.108409567234897;-0.0703582894636956;0.0750667427125653;-0.0309025352795213
"blessed";0.483756874451202;0.520183448501053;0.0377682543128823;0.0697704184506256;-0.0458759896515699;0.170223106666965;-0.010495975721835;0.10339477725582;-0.0223564682015323;0.00851413816423652;-0.0153109851045703
"bored";0.133865547217801;0.291727191452284;-0.00228226670172697;0.243340648739427;-0.0433233626105687;0.0157134083724754;0.198076109550511;-0.0779557168299009;0.200528433569613;-0.123788305110477;0.0513820768793162
"brave";0.567574741233429;0.206958216431532;0.110618457219545;0.129524585006134;0.0631857047083493;-0.259352672829559;0.0748224714297238;-0.186823359082594;-0.0907554119469737;0.19609051903053;-0.204150090656863
"calm";0.730634238822291;0.00341172891213303;0.165113295860824;-0.184203262186201;0.0780226428170491;-0.0458568280031291;0.033723880602379;-0.11981743758084;0.0295937395985591;0.181012633759274;-0.28081756117922
"capable";0.579588368260945;0.134201833812786;0.0212947002696788;0.00295970348999428;0.0600074978517606;0.326295198871525;0.165400969573051;-0.0547216937072434;0.375932335844911;-0.0512095228698797;-0.0753779342975497
"careful";0.685594065979772;0.268762400011162;0.240655012967219;-0.0933945302309615;0.00491006559479671;-0.0698528268849214;0.0956421756206641;0.229427145622948;-0.118522557217305;0.0229319794910973;0.0526326559312526
"charitable";0.633741456484842;0.108825756724696;0.0239547030885523;-0.163209642467601;-0.142056074482617;0.110817254728851;-0.0985746409664432;0.276688193304883;0.124651449189515;-0.0682781045524188;0.0117716414819348
"cheerful";0.758886613876079;0.30095011077582;0.0632637242344302;0.148446991105087;-0.0748549049664705;0.163381465974415;0.113974052625166;-0.0268369833565497;0.0308362517783803;0.0274669305016207;0.0946315206684079
"clean";0.582521199557058;0.250025872712897;0.0740813849458637;0.258199732023496;0.00983856445575159;-0.125246986541461;-0.13986195570981;0.217036003210633;0.18851809788544;0.290680029515076;-0.0120308595965276
"clever";0.696784104191096;0.203486918137112;0.0451198143795853;-0.0159857478649776;0.0181687602490214;0.0759384134275515;0.243944117497676;0.0838416632421239;0.258025863488174;-0.0173242193635904;0.00410200225021894
"comfortable";0.707351041352584;0.37989737259188;0.223339727744833;0.132844083167797;0.0191048858215618;0.0950748912760117;0.123797140576639;-0.0207711129898318;0.166775066906756;0.0990024377632298;-0.0332816648198343
"compassionate";0.277361828444522;0.641123111519475;-0.00184664051767668;0.108074936375265;0.157898025733816;-0.0840835069351382;0.035467686774719;-0.108785544318781;0.0937667911041544;-0.081831910739106;0.126068604779046
"competent";0.0706070636420966;0.0209042229023303;-0.0945560353835796;0.0351226770899314;-0.10028209339396;-0.0421097551613467;0.380263751643667;0.134341266933063;-0.0229086701866672;0.0321314837321425;0.0477602029107876
"complex";0.230166359078223;0.414955361592759;-0.0242229446369266;0.197162147187302;0.140500628391384;0.239088953157266;0.050894094590154;-0.288621003140623;-0.217131516378701;-0.0448048175912126;-0.1637703593914
"confident";0.540205143649516;0.242775878262266;0.121582313666834;-0.0532535569578465;-0.118426119705843;0.193176089870057;-0.125499978428116;0.145229594937618;0.0794010711833218;0.00871255529595661;0.00915058869987306
"corrupted";0.197157199449345;0.417751007291095;-0.0135651640889639;0.0323057683001903;-0.0281802936584308;-0.0278219297973683;0.104212976181705;-0.153884473088881;-0.0642657276088006;-0.0527808956569597;0.0500063614580671
"cruel";0.696612488171505;-0.0667970617490344;0.254960260866848;-0.086592079611745;-0.0187374604867348;-0.114163429869914;0.0403589690042892;0.0800827329238077;-0.149181275240705;0.122406447277532;-0.0255005212680415
"curious";0.842704867153656;0.24828034694242;0.210656446591338;0.144802547292026;0.0710116083360862;0.00538018539510742;0.0660088215557368;-0.00954154125132784;0.100363949491633;0.0882839066404847;0.00148926467987136
"damned";0.439796625955282;-0.023003054183656;-0.00856896902849095;-0.0763129068166002;0.286186543965798;0.300514575310337;0.120404485608807;-0.0965655051639631;-0.0670642257535717;0.0949332020122407;0.0263434290332744
"dangerous";0.6218864294631;0.208655134712096;0.222609228590727;0.220597178443022;0.262343355161604;0.189372358635273;0.0326045151626932;-0.112313437513099;0.115169327774529;0.0479045231583876;0.226008893538804
"delicate";0.735074647825537;0.098931197468542;0.160316521992788;0.287491858330416;-0.0459860996013135;0.182244936246466;0.229275661777463;0.0234131388944002;-0.0046900400127314;0.0151662795347543;0.0599509643736053
"delicious";0.494325664400248;-0.0538109396369729;0.187675091115847;-0.0295763887293745;0.111748558929016;0.171904019958617;0.0972857302134147;0.241271592625181;-0.122730267287331;0.223007213647778;0.0119932812213405
"delighted";0.783934393982669;0.198868050158528;0.228044318061318;-0.0426316718848424;0.0564762995002913;-0.0130062789234408;0.106550108263558;-0.0159084792196327;-0.145088732109762;-0.01308181484392;0.139325506988972
"delightful";0.689166348632255;0.00159112370919487;0.227041635799776;0.202920130596325;0.07188551331627;0.134941889463607;0.2778889302157;0.0579873157603931;0.0209282657864026;0.0157366642420335;0.0706308421225871
