"MR1";"MR2";"MR6";"MR5";"MR4";"MR3";"MR7";"MR8"
"#-accustomed";0.514339376489855;0.00546528434339111;-0.215728223381893;-0.209072949453555;-0.0249863960191395;0.00523408632988826;0.136205864354115;-0.0261960772692568
"#-afraid";0.334305127777716;-0.0511067094563339;0.486799526369887;0.187811843042673;0.134964484161803;0.0920496399503483;-0.126948097888204;0.11436436505245
"#-comfortable";0.262322543640611;-0.0354962820037084;0.251483747390752;0.31860563967153;-0.266473160565527;-0.0283547285963431;-0.221221385827501;0.200443315496524
"#-curious";0.262322543640609;-0.0354962820037068;0.251483747390755;0.318605639671533;-0.266473160565526;-0.0283547285963435;-0.221221385827499;0.200443315496526
"#-free";0.20278483250497;0.650096634751074;0.177888472675119;0.0787350314370668;-0.0690085558044454;-0.0420223143691833;-0.0918813255112486;0.108594234973897
"#-honest";-0.0361152184598486;-0.0378830522380032;0.0125291822794063;0.0274801838852596;-0.0363304012244254;-0.0232074251081153;-0.0165961778860383;0.215538921109098
"#-married";0.280331182110725;0.0246460057032692;0.311025824116784;-0.0898902341963059;0.00878307593723708;-0.0239715702898435;-0.103912390150066;-0.0036089217080067
"#-minded";0.10254910896542;-0.0906133713254682;-0.0196263735758253;-0.0581660754940409;0.426594538685052;-0.0953144066386692;-0.0708409384154301;0.0723724846665679
"#-neat";0.00175864919629625;0.0766978838911768;-0.0200365245427192;0.458413042087355;-0.0849927019107971;0.00139131799067167;0.276299115431044;-0.059528459809979
"#-profitable";0.107722443937521;0.000916788710001918;0.232175898411073;0.0778078595299316;0.211531735473477;0.176727076586039;0.207535329611381;-0.141955205556702
"accomplished";0.455339152415486;0.0120558943354389;0.426391244957158;0.233877492084056;0.280462691151372;0.114528929105531;0.0883835023991581;0.183727928338169
"accustomed";0.71190556280654;0.168226514614376;0.0473904393819517;0.178728520197258;0.187616155688867;0.120543918401712;0.0285035045365731;-0.116992276548634
"afraid";0.781301102405261;0.275536526612499;0.258212690678421;0.165259545013761;0.121403517173054;0.124155319552679;-0.0517267341988093;0.122813516474563
"amusing";0.0986048880988028;0.436896714880224;0.0431858731557807;0.222595695841916;0.0142761264623874;0.0642599857660811;0.0541612052400146;0.0991077313430275
"appropriate";-0.0393670246047977;0.00822125592544928;0.0860723783239646;0.175879446015115;0.0753014743131634;0.209292968173491;-0.0605492149931336;0.102266573487757
"artistic";0.0182535259126154;0.0243098281796977;0.08483012329052;-0.0391228574090221;0.0128454978168861;0.106190676642865;0.0621338609701722;0.042266774594432
"beautiful";0.78438134844504;0.280902333300434;0.147858093182014;0.141760358641856;0.131602860302636;0.171636693659777;0.0736631469331203;0.0658317067620112
