"MR1";"MR2";"MR3";"MR6";"MR7";"MR4";"MR8";"MR9";"MR5";"MR10"
"#-afraid";-0.0321620700006204;-0.00712268048840259;-0.00480460501241304;-0.0772694793495463;0.146501226621047;0.619149203385977;-0.0258550326977222;0.205304937783323;0.080041318325806;-0.076343501804225
"#-beautiful";0.122442858319128;-0.0930874545990451;0.718985878346661;0.021215760111135;-0.0102246779355733;-0.0677657653837557;0.0728884961293506;0.038701938753192;0.307338344240633;-0.0290338741598445
"#-capable";0.132578462599249;-0.00698573615817255;-0.0566178792503282;0.000141008976089929;0.539582760710249;-0.0502123593330892;-0.0627601286848238;-0.0520621106338706;-0.0461559169672385;-0.00836322757778785
"#-cheerful";0.668562901755031;-0.223243594863567;-0.156527272879226;-0.413177359393975;-0.242653426868597;0.0349910593840853;-0.168785400469985;-0.116447711144691;0.00474999154971338;0.0129187244652496
"#-happy";0.363205030756276;-0.0223360771609349;0.214455955877114;0.519797170251523;-0.0507268954345289;0.245472825228513;-0.0617967904579712;-0.0190297220220807;-0.181729233460807;0.0538042178676993
"#-proud";0.421967740989832;-0.17669004145187;-0.16314975934442;0.166993966968848;-0.174518143801214;0.494964545819694;-0.0321916717362968;-0.159490334494775;0.0486471834176332;-0.0194536006706827
"#-suited";0.651794463369783;0.319272367755357;-0.125811758248563;-0.247743845070488;-0.112281647925103;0.12067726008645;0.098393644792935;-0.256928423967967;0.0133150491781671;-0.0292022759951919
"#-worth";0.391341604176374;0.575278961700009;-0.154449421916924;0.482459720621283;-0.0164280505324828;-0.00671949679562191;0.00275824335993065;-0.0264591400609746;0.155414767296897;-0.281174251168368
"accomplished";0.122442858319129;-0.0930874545990444;0.718985878346661;0.0212157601111345;-0.0102246779355728;-0.067765765383754;0.072888496129351;0.0387019387531933;0.307338344240633;-0.0290338741598444
"accustomed";0.474295761503488;0.568268172403115;0.0623954499592768;0.135517543299048;0.223087683468367;0.0115447076148512;0.0958408766274505;-0.0532746733803877;-0.0491508563607058;-0.226260507130393
"afraid";0.826561796060875;0.248041057122375;0.195574341029537;-0.112332397178559;0.126840452799563;0.0514200221143394;0.146234539166245;0.110953296943386;-0.0537415851638498;0.118684482884944
"amusing";0.0328604018247113;-0.00182685869096586;-0.0284120281581148;-0.00120556197836136;-0.0181234552386622;-0.0551737603568334;0.441281428112535;0.0212225112273557;0.0238176218283011;0.0206104320963602
"appropriate";0.495102966858372;0.00722167744249023;0.05015666501214;0.097016271533412;0.0838071190910444;0.375755133150422;0.262124742793486;0.216086717567984;-0.129164081125012;-0.236267894809761
"artistic";0.155107463480095;-0.0271419319882409;-0.135148402620464;0.484064468017082;-0.0209183311289364;-0.0063915582809578;-0.0217371613662404;0.00713880715754811;0.0510568564303774;-0.241178086924532
"beautiful";0.813633687804589;0.307943035702057;0.137901145701829;0.144158207148345;0.0713769356065244;0.102249085499211;0.115426136129838;0.0895026628409114;0.102362382431078;-0.0467837918458293
"best";0.674184270904978;0.394054031189057;0.161487157557037;0.378751024706763;0.195626794675177;0.00492202803325742;0.153108228318624;0.139504114257437;0.0289673507597154;0.0295034271962724
