"MR1";"MR2"
"#-afraid";0.0210100740269983;0.044271196220013
"#-beautiful";0.0632643556952324;0.24189581825179
"#-capable";0.167774658716206;0.0540477143973972
"#-cheerful";0.0694910722834131;0.473982602558499
"#-happy";0.0871220832623846;0.51269562296723
"#-proud";0.0532543226178969;0.406817941570592
"#-suited";0.569036153325382;0.292074095159962
"#-worth";0.651662202430933;0.142466013834711
"accomplished";0.0632643556952335;0.241895818251791
"accustomed";0.723049762710743;0.202434840754699
"afraid";0.608631482865307;0.642100719585544
"amusing";0.096764135355941;0.0193722006721737
"appropriate";0.252635693658867;0.532298774428458
"artistic";0.0504596111657737;0.189712347108928
"beautiful";0.670858367811864;0.621191817169905
"best";0.685994052502669;0.539014902196665
"bible";0.50761481398654;-0.00587831213629682
"blessed";0.439695854546609;0.453681875706961
"bored";0.522836972464907;0.0918294202571005
"brave";0.520812109661928;0.351644790256567
"calm";0.556321762647165;0.705076783825306
"capable";0.629333634907947;0.418558333510567
"capital";0.630447576134301;-0.0604701920036891
"careful";0.614011341812802;0.428993205688997
"charitable";-0.0571183485165422;0.111613008608587
"cheerful";0.623733300382088;0.658769783160819
"clean";0.316712029867004;0.537385303955173
"clever";0.548584525516094;0.587581014574302
"comfortable";0.63956304174848;0.478403847137531
"compassionate";0.457941094814133;0.519748436787267
"competent";0.0985777563690853;0.0285345645812671
"confident";0.325357904896822;0.702803542547207
"conventional";0.530069308337053;0.236271418783211
"cruel";0.544138867528908;0.65460895124719
"curious";0.524838979398736;0.533321685221804
"damned";-0.00102113446797601;0.0854376447711685
"dangerous";0.202982085054033;0.621553218488546
"daring";-0.0149974054144805;0.278862023146335
"defensive";0.626853918929021;0.0940389278279571
"delicate";0.670865095391981;0.540503833244198
"delicious";0.585273979546366;0.254479406300973
"delight";0.51318967014245;0.274918043725017
"delighted";0.724383711695653;0.515753791612539
"delightful";0.747176300196607;0.423368877299784
"determined";0.303966489504989;0.383539510303358
"different";0.614069734213688;0.674438270824006
"direct";0.309951750977203;0.196293374165014
"dominant";0.0210100740269984;0.0442711962200131
"encouraged";0.387313340119609;-0.0915140084776637
"encouraging";0.464122145435995;-0.156097308846436
"enthusiastic";-0.00348409244376289;0.0300265463259813
"exciting";-0.0187614821808663;-0.0103471114778801
"expensive";0.199332037304941;0.386514639405614
"extraordinary";0.600669575303865;0.649497051970894
"extreme";0.537740873085241;0.195450442391604
"fair";0.382727001718888;0.756549097734019
"faithful";0.343156745160074;0.739206482806467
"familiar";0.586958547288594;0.668505523605651
"famous";0.481943754974987;0.584653517430163
"fancy";0.107939628212366;0.602266429831038
"fascinating";0.407100701321959;0.295214636805396
"forbidden";0.00452335820949994;0.0613958434362439
"forgiving";0.333147623316067;-0.0195645072843252
"free";0.67160726804027;0.505718137435248
"friendly";0.694428197408555;0.571210620152476
"generous";0.552881081815737;0.505773664937848
"gentle";0.547511890186644;0.718702074737979
"genuine";0.58567032906175;0.230240075586633
"graceful";0.297725658758493;0.298577955013084
"greatest";0.506618771105999;0.466871095601059
"greed";0.0430972787616343;-0.0279787328188536
"greedy";0.111521954754645;0.167025657683517
"happier";0.638013946766589;0.533596527967687
"happy";0.354248509629927;0.833971595109746
"harmless";0.0255203930949188;0.35384068097902
"heavenly";0.516756926594998;0.191308603326145
"helpful";-0.00199703123685232;-0.0113763215710779
"honest";0.697693503075976;0.486827689618907
"humble";0.389673671133423;0.501832141458461
"improper";0.377831938345042;0.216843417573554
"independent";0.385349889316693;0.122967474369278
"individual";0.67706557252719;0.209678683439372
"influential";0.579301109925706;-0.0338199532057383
"intellectual";-0.0273245939054757;0.353847048038973
"interesting";0.641317216642441;0.0642038862631551
"jest";0.500619591873497;0.158577845122524
"learned";0.155523364233129;0.370795551378879
"legal";0.655763544450924;0.233657047706639
"legitimate";0.349791059251917;-0.0127588426640045
"liberal";0.430653478713414;0.290996219563373
"loose";0.71170524120527;0.0962162552329497
"loyal";-0.043277887828274;0.0809084544982313
"married";0.688990959190868;0.479199960979712
"mature";0.00753943358114936;-0.0377169452731888
"mighty";0.308012110045173;0.473967795667946
"minded";0.142828957450619;0.416587596727815
"modest";0.471245909301071;0.607231626181168
"moral";0.463380014714927;0.0744299867373252
"mysterious";0.599691155286938;0.421934116502021
"natural";0.659020516929286;0.637475361817131
"neat";0.404982714125769;0.567964157029982
"novel";0.35864807387921;0.396741097977793
"obliged";0.335604631003792;0.642643025000307
"official";0.77344656146834;0.10323739396589
"original";0.53508546977294;0.56894172825463
"outrageous";0.422891454496743;-0.0453110902989618
"passionate";0.354852123767058;0.4240977488789
"peaceful";0.261042843526326;0.456830423257843
"playful";0.0142903082650203;0.218468225100738
"pleasant";0.699344874107399;0.561890870981524
"pleasing";0.460160276602951;0.0255474689842587
"polite";0.677862001266796;0.296076747049173
"popular";0.161173860984049;0.224673535511883
"potential";-0.0149974054144806;0.278862023146335
"powerful";0.514276378214975;0.329941407652881
"professional";0.652421342712424;0.453546434802857
"profitable";0.3284030104127;0.321584928166536
"proud";0.679114821700954;0.569639560683537
"prudent";0.575709674797032;0.326447537937749
"qualified";0.548035083363319;0.209709207202245
"quiet";0.689018647544729;0.601345559214354
"reasonable";0.192230264574512;0.687470484651013
"religious";0.681668308668919;0.230888228436766
"responsible";0.0847020099300504;0.510132875522269
"rich";0.474103819994697;0.593542072425048
"sacred";0.506609020594896;0.596867203019829
"safe";0.585261487394755;0.567028658442279
"scared";0.145991412415136;0.432400855700424
"selfish";0.375407590596627;0.555455427400383
"shocked";0.227626083373199;0.205750937270053
"sincere";0.435664869993308;0.294472313231039
"smart";0.0192257446619352;0.25758710231048
"social";0.476797384830869;0.24352401907015
"special";0.071245782584653;0.441859113577606
"stable";0.708798304649363;0.371457014588039
"strong";0.666382206638223;0.596273853991626
