"MR1";"MR2";"MR5";"MR3";"MR6";"MR7";"MR8";"MR4";"MR10";"MR9";"MR11"
"#-comfortable";0.0422932927442462;-0.0745533890611218;0.558063409011703;-0.0392518161406631;0.0965279809043706;0.123595935864825;0.277900663529871;0.0852506077201113;0.00287816608251107;0.0833845574919663;0.17448540000095
"#-dangerous";0.0012779756789896;-0.0265523296380768;-0.0080045503520442;0.0173854138131482;0.504492548477214;-0.00282246779028888;-0.0449804801673887;0.00280464195517992;0.00674033461210645;-0.0446338657507333;-0.0175471976086931
"#-direct";0.00127797567898759;-0.0265523296380765;-0.00800455035205117;0.0173854138131472;0.504492548477212;-0.00282246779029105;-0.0449804801673921;0.00280464195517761;0.00674033461210565;-0.0446338657507345;-0.0175471976086954
"#-free";0.0847151356563311;0.507359269990981;0.0470110300413383;0.0737236284271264;-0.0587144895638621;0.0137242917695096;-0.0716273801931728;0.0983533036686423;-0.0758797320688161;0.0350873791215222;0.0301795542547119
"#-married";0.321987541316138;0.33957467407443;0.0675752830746003;-0.238533829940741;-0.0970775203306044;-0.157786554512812;0.141837249289818;0.0875051867307915;0.196473413108638;-0.0676166901713076;0.224123438623137
"#-polite";0.111519008875764;0.0215237975851046;0.124904462874787;-0.0269596829871903;0.00529877782583747;0.163870068609923;0.680467051296305;0.0452648638359179;-0.0134764974040826;0.0925883635491912;-0.00581897658371776
"#-worth";0.579468785696057;0.340977871032681;-0.189718399605897;-0.0659457902912548;-0.0286725055354907;-0.134822392680805;0.167246440246571;-0.114395829046497;-0.156365457876706;-0.0412068146491339;-0.0484056995454614
"accomplished";0.70454395374693;0.179104231620067;0.0295943022146467;0.283846555785832;-0.179916062086441;0.180326219538859;0.0657848334321044;0.0897039216925403;-0.0670608232027224;0.0742573951313365;0.100638438299596
"accustomed";0.65670584285559;0.32517658022802;0.262185301548967;-0.0438086580271339;0.153166732334488;0.0746465247345779;0.0760335560891264;0.26268787002517;0.113979682901214;0.160300911246181;-0.0362957837776568
"afraid";0.78630011457949;0.192350879117167;0.199854893883779;0.131791477464917;0.140147326610623;0.149557844047191;0.0664103546340655;0.173875567585539;0.21976374249154;-0.019855358719144;0.0329494875595882
"aggressive";0.251847308447479;0.0719296695431992;0.2865682921778;0.452660661822593;-0.0309957461422154;-0.150231781781249;-0.0998369279488647;0.136944942353828;-0.0796566332832695;-0.0356360178125227;-0.0777404210581982
"alert";0.241505583420866;-0.027032137720828;-0.0559779261919594;0.0638913725085162;-0.105075798953969;0.24073637017448;-0.104699179560131;-0.235333659114884;0.240825164830347;-0.0920369937268131;0.305845892952657
"almighty";0.108539702642151;-0.0348805531163838;0.0915254015006946;0.0927660088350347;-0.0372692275297879;-0.046304361323677;0.193022387138134;0.118355283744742;0.0656858100416979;-0.00596289211498518;0.440039604044936
"appropriate";0.311749382234994;0.198287194224822;0.113087099630772;-0.000793803703654035;0.457722232791404;-0.00915273486264408;0.265695196767057;-0.0435608392416446;0.108230089019697;0.0734851195132812;-0.0527661220056307
"beautiful";0.775304911292671;0.291737460424624;0.160941088020491;0.0287385707566503;0.175336038785565;0.0470393764247777;0.174231381814095;0.107461437990493;-0.0571743279061313;0.133083712661304;-0.0656217376426332
"best";0.734022820213355;0.315968355836823;0.212044077341326;0.211309084401222;0.226224612400648;0.160112340268467;0.149820231003973;-0.0621702270444641;0.0768787732992176;0.0289339894577418;0.0795287500851232
"blessed";0.649307510314815;-0.179841882401602;-0.0389292509992095;0.0282754579690743;-0.0150200701894348;-0.00166546733662214;-0.0663820769687732;-0.0763394676299491;-0.0170454659559235;0.0833154037198691;0.047351267413936
"bored";0.0803485076757097;0.0175365260581781;-0.0763206115326131;0.0203329494950459;-0.0500167056384754;-0.00565733923973476;-0.0701709871974411;0.00836756351249926;0.0886822860230431;0.467568780527037;0.00364649762384473
"brave";0.671665687367811;0.069431375047908;-0.00705127444278783;0.0569195774418067;0.160646863634592;0.326415703740938;0.0926959473882304;0.137642243064415;0.186569341900255;-0.165571921094456;0.0511886753737862
"bustle";0.404280203698127;-0.126434037809612;0.174074294951164;0.0792800826526595;-0.08835809284141;-0.167042741389309;0.235406773691981;0.414042731549732;0.0680540298436578;-0.224398662393861;0.0220862836499124
"calm";0.823730177714854;0.0879772662077346;0.0375051003251229;0.0778784583520757;-0.00289764462165043;0.0575993421722137;-0.00692888436989894;0.0650905886750922;-0.0247344965434254;0.0689298661912399;0.0633590861218815
"capable";0.468981822912283;0.344693233823046;0.378512445025137;0.01735996221847;0.128078803244694;0.338837651115522;-0.00424654214762774;0.0848459365474747;0.0841775480506332;-0.0664376033572845;0.275265456440457
"careful";0.55571088138959;0.320668301436261;0.391380187551496;0.185484170531722;0.145580351364115;0.00120158364771002;0.0377231067487225;-0.0297471451499374;-0.20864282153595;0.141870428741448;0.0917427540376251
