"MR1";"MR7";"MR3";"MR2";"MR4";"MR8";"MR6";"MR5";"MR9"
"#-beautiful";0.147722099828514;0.121880912405864;-0.0486766960806662;0.80198909356588;-0.00115862246923768;0.19198628440825;-0.0729774392833967;0.148280063570909;-0.0258346050811346
"#-fancy";0.0280739506032989;-0.00643646844780732;0.0176973414631597;0.0618890389483872;-0.10022444143466;0.177148823143966;-0.0437535611254061;0.440167490977089;-0.0580810357214534
"#-humble";0.0902226504343937;-0.0326368261087605;0.11829067587239;0.154000735787399;-0.0352741325471036;0.616172344242533;0.0889078752188551;0.121415452418361;-0.00147515057061844
"#-worth";0.202676872963189;0.443205864374284;0.476456848700228;0.00585530893885649;0.0307743680043905;0.281096682380547;-0.0570215070526974;0.00454869254941134;0.269132123089444
"accomplished";0.335196688604802;0.209294243890395;0.0479102945905541;-0.117810851008838;-0.0423200455441221;-0.103157358435022;-0.0115277783462425;-0.0260827852344528;0.52402822983669
"accustomed";0.322411861612084;0.369890881489248;0.178051237444215;0.36094177003978;0.436418433578241;0.201092993687521;-0.0436800488925142;-0.122867714034949;-0.10902806715504
"afraid";0.512451081407154;0.209093994647652;0.287423629539263;0.197162936712059;0.397614501090433;0.205354065539459;0.234822546141954;0.22165173875553;0.0177862115632647
"amusing";0.631191387836944;-0.0893656471963077;-0.0406303117075683;0.268769579450972;0.188233037468854;-0.103291847722004;0.174557942053995;-0.0121958406451759;0.0803947111023264
"beautiful";0.360108669254695;0.143643061277747;0.0338963779942863;0.327353413669839;0.37161921042038;0.545489403110069;-0.146580203047065;0.0852090453849621;-0.0138486495329906
"best";0.366819453368036;0.209421896874207;0.357493458989705;0.35901936964218;0.278246960384385;0.186094920559577;0.246377580671963;0.205176007071536;-0.0289965503982527
"calm";0.473760075644224;0.164645916632937;0.0184840193033123;-0.0868692686339622;0.65660465076471;-0.0243188197103622;0.0446593027501399;0.0226306985570567;0.00000127109862499805
"capable";0.525638558842729;0.353359668628934;0.318467195499417;0.103452741594316;-0.0465972031442383;0.26711326792161;-0.00667085855082439;0.168566857994514;0.0291745346441434
"capital";0.658944008505227;0.123097600064533;0.238442350190305;0.00907265593123218;0.170182299658638;0.00810680823062631;-0.100907792103336;-0.0480061077664056;-0.039518943879538
"careful";0.330531754288724;0.274499765407196;0.403522591685686;0.00219865642485099;-0.137475271209817;0.0409880870734879;0.156639282298832;0.226382174391219;-0.0491599925749995
"cheerful";0.440557583993199;0.559347489308812;-0.0125287843960096;0.17946742707557;0.292026765568149;0.0331599260071806;0.0911453806960032;0.135284219250507;0.100002546345056
"clever";-0.0889005416579318;0.33831220468927;-0.12602473487274;0.155478257035903;0.185511295137639;0.295351641114402;-0.201640249338105;-0.0784636779590738;-0.0434857035541772
"comfortable";0.00590556159422256;0.159446180642091;0.675454675671056;0.0408283187771972;-0.0221183813386145;0.270187857882717;-0.0242054455574878;0.0172452095020715;0.0939828024471834
"compassionate";-0.0434030485926765;-0.0382927914919132;0.188657109881627;0.0726895457058086;-0.0211080633364347;0.00201096382933527;-0.140108336735283;0.280739958563587;-0.0215369896681116
