"MR6";"MR7";"MR4";"MR5";"MR1";"MR9";"MR2";"MR3";"MR8"
"#-free";0.0503116688266446;-0.102083729920651;0.499728507095322;0.45143253686088;0.00788411323278046;0.061584816900262;-0.0398430204968469;0.482273183079987;-0.0177795023474068
"#-profitable";0.417242160204584;-0.0675610553147406;-0.0914218664489645;0.0489329049360932;-0.207392976803406;0.120043410626526;-0.120658132839896;-0.0467171592923817;-0.0269699796910088
"#-strong";0.0560794658262546;-0.101477797827333;-0.0145897457753191;-0.11875788349007;0.0416704045053433;0.0134629145096075;0.118707897461644;0.511421348100361;0.0621112299721498
"#-worth";0.159635178716685;0.601176865459555;0.0615882965412228;-0.102257978826977;0.210086115856041;0.0440641422356823;0.191680992386419;-0.00356460090044709;-0.132775469415733
"accustomed";0.208425582609082;0.0695177164647821;0.364422195591726;0.0730540148983291;0.13166423706312;0.471467536739495;-0.111286571973977;0.202252369466808;-0.0977778877773428
"afraid";0.471447413125198;0.434988275479726;0.331321067940737;0.267790212256094;0.243883595956177;0.215356159277694;0.11741707318662;0.0260779942781482;0.0596195171768466
"appropriate";0.198223474154268;0.154171122081618;0.0919208086094707;0.341651067084338;0.521544032507828;-0.0750606539936279;0.107525440410053;-0.0197405058842643;0.0964610208515929
"beautiful";0.314467725059722;0.377769623969291;0.398555965266551;0.305282543076554;0.132319148005895;0.216217892857774;0.106232179635802;0.343748898214561;0.0829134843659943
"best";0.363547504613828;0.302608770720953;0.261286378886626;0.427105065650844;-0.0460734153993317;0.312639883433966;0.0267164068754534;0.263702293317387;0.110466773159845
"blessed";0.0694046368451812;0.555874040864622;-0.0751413234436066;-0.00769441820192966;0.103406131095646;0.0916499034387224;-0.0692626352682359;-0.0409579185491789;0.27005359944931
"brave";0.039597254355797;0.0448743962070524;0.151436990163955;-0.0317113991459018;0.0415004205759153;-0.127291863226404;0.812267922172731;-0.0333763522997666;-0.0693232394916913
"calm";0.109327616332079;0.546910876276576;0.0880440464864593;-0.0477472321811812;0.132331975553606;-0.0291108904618875;0.199308460566336;-0.0502495463043499;0.0511084585529231
"capable";0.578531626628862;0.133691105671303;0.0906180815024912;-0.0716943838064559;0.268125920409478;0.169765205931381;0.325469878018524;0.0273542094520666;0.131695840110582
"careful";0.678980958234796;0.026985455014819;0.0582358554115538;0.154549819543144;-0.0240684640258036;-0.0893626112905294;0.0650059544777923;0.281139480320485;0.160419522185656
"cautious";0.222070750096856;0.162910373250543;0.0283048605865682;-0.0484755142602528;0.600666042872226;-0.142575739648169;0.0867653093617858;-0.0201006229281986;0.150520402899662
"cheerful";0.686921107377744;0.128740923766809;0.139696848097608;0.333239177102242;0.0806109845032702;0.0655562883989628;0.0944060213606232;0.0658424528942503;0.0395971138501776
"clean";0.774622253372539;0.0802595956143807;0.154774267622519;0.0119143439650808;0.0689621214352848;0.104707730185392;0.0894642656335267;0.041830220073091;-0.0541320083872234
"clever";0.470159055757547;-0.0488813387978158;0.00597574947937372;0.0119343611678063;0.165418395824037;0.27251939281742;0.0783977465470129;0.224893814456969;-0.0204036700697176
"comfortable";0.527374298398164;0.0789914328292676;0.199593921937261;0.23659385488583;0.224563668294527;0.325351478620361;0.142511988423583;-0.102388912646103;-0.105712572936727
"compassionate";0.509836919274705;0.0640176813300033;0.318466174213403;-0.0906744014971406;0.356785216873527;0.0869176327437815;0.111285722433643;0.183608963588261;-0.06286883022256
"competent";0.168218045591201;0.0291462727430008;0.554444912311915;-0.0742262490201181;0.184489980910077;-0.000354890374901379;0.148930926073094;-0.0135532935064062;0.380148862684926
"competitive";0.0486023589940138;0.0241890535843105;0.0191300218015579;0.124052523009499;0.568396472180282;-0.0689979220586562;0.0500868273549605;-0.0225943852010656;-0.104826498031585
"confident";-0.0683087563423718;0.00167067982094776;-0.0481396092703569;0.0394837153661263;0.19429851876309;0.100736736818033;-0.0815629172771438;0.418865791358026;-0.0429266381015055
"conventional";0.149580472381438;0.284829558997183;-0.0917047335881994;0.479843168141935;-0.0878277767215343;0.074702712467328;0.259493298174;-0.0618560761456109;0.158210007966613
"cruel";0.20988364781791;0.175755962530413;0.338716025291144;-0.0289778692883178;-0.173774552302575;-0.0146430016970648;0.175239144782368;0.250524578497568;0.0602398578278909
"curious";0.462636585522959;0.330919351062369;0.133041031886745;0.296895714233239;0.21599906204356;0.183148872808321;0.212765371008313;0.149722826635767;0.141294787152645
"dangerous";0.345920678525224;0.447976054786543;0.209968181624854;0.144715734997876;-0.018569752131353;-0.00908259471856568;0.165880531923523;-0.0626631354986128;-0.12277015613354
"delicate";0.244076208414689;0.477948610502874;0.184540177728822;0.178857213717378;0.421414625811181;-0.03758251423439;0.0633244153186536;-0.0458381983985444;-0.00492386941549621
"delicious";0.342183212614147;0.152655227810388;0.00340743250595126;0.232444762126348;0.288735377491594;0.287289678321872;0.1026306285242;-0.0587646181114151;-0.130073009168134
"delighted";0.402872639394415;0.244682477286008;0.499461929896372;0.298655575299952;0.318859295091126;0.118431248228503;0.108939480037337;0.0185307256071979;0.197749865927131
