"MR1";"MR2";"MR3";"MR5";"MR8";"MR4";"MR6";"MR9";"MR7"
"#-fancy";0.364262837636778;0.479687646851683;0.186953047203165;-0.0628431403420231;0.175074849250606;-0.0197785413659965;-0.307929718744582;0.0542472632413166;-0.115820397631003
"#-free";-0.00804968743632758;-0.0347683101125745;-0.0599706584922554;-0.0657446997372374;-0.0719340616150965;-0.0411745224041281;-0.0278631720544347;-0.0632001892824088;-0.0198693370898218
"#-safe";0.111752123375686;0.0620930019063575;0.174135091947855;-0.235720778866568;0.467156123996477;0.200811815031291;-0.00689975144899207;-0.0787703081969728;-0.0305463949246264
"#-weak";-0.0227155941343874;0.0744342013712758;0.0911362929177971;0.157160603393401;-0.0729119564857262;-0.139623472994654;0.159182452996463;-0.0530678410445193;0.04010846175607
"#-wise";0.0704742397159318;0.302252456586921;-0.0490989676025009;0.469439604550699;-0.199573196601419;0.273982945736445;-0.0621853075968249;0.18973757875738;-0.0181977959630858
"accomplished";0.174072269491105;0.0497670664763777;0.390784067555988;-0.0705842558316337;0.165916189899215;-0.0306012985158633;-0.149861108646196;-0.0846963948628879;0.107877146036054
"accustomed";0.0750064219083051;0.83885978529842;0.0945312827558006;-0.0688320298592263;0.084687186477946;-0.0730940469986514;-0.0710327386510351;0.0644177982563654;-0.00315529363248673
"afraid";0.601041580980063;-0.030361311296064;0.134453553987233;0.0273808007620035;0.432143323792117;-0.013636044363448;-0.017789278440332;0.0426928373550785;0.302938816640047
"amusing";0.13446504761252;0.209889539398072;0.330692050519195;-0.24026382259053;0.229666853937783;-0.046849203191558;-0.117788791912471;0.143185405984095;0.0754557753323282
"appropriate";-0.0515543194094378;0.73832157299523;0.064058135196346;0.251282594413611;0.0967691538273494;0.121126207056195;0.0968046674107726;0.0411439296756699;-0.0212606417209328
"beautiful";0.246105419186717;0.289402546852468;0.041812298056015;0.532970381399006;-0.0490135603831301;0.131594805697708;0.0157845318701643;0.250963192370789;0.0573341753875077
"best";0.476898877030201;0.246406055339045;0.215393066037212;0.0829565337223193;0.0899356888290298;0.155086926902734;0.278924963581403;0.235045398282861;0.134147061285956
"blessed";0.639298346568201;0.0239750412777225;-0.0626107959850027;0.266236727371174;-0.0871778923794668;-0.0172629580446465;0.219610704616172;0.238090275746281;0.038206766118737
