"MR5";"MR4";"MR2";"MR1";"MR8";"MR3";"MR9";"MR7";"MR6"
"#-fair";-0.0282934872508288;0.0247209192529172;-0.000473034607781051;-0.127594093675013;0.361107783303792;-0.0650830050546583;-0.144597645214448;0.126821953772867;0.313447350057606
"#-reasonable";0.0522727818110186;0.623790752753119;0.0436799877190913;-0.0642317198986736;-0.0407840722006392;0.12514767249002;-0.0386259663283623;-0.0131988815982169;-0.174239824891917
"#-unpleasant";-0.117142752571471;0.19117481491746;0.284646277798684;-0.146275571736451;0.0283313228075433;0.00183758082052621;-0.0663134816916931;0.0998822508997096;-0.0570605360683447
"accustomed";-0.0788431580663257;0.00323322449484462;-0.0891027802112384;-0.0806440229874992;-0.0486511906759926;-0.0773552053179904;-0.00977455096869071;-0.0991871509834642;0.637916824569344
"afraid";0.140571411218567;0.572086654231349;0.0259770478721469;0.475014546341735;0.102221718610987;0.0423995901928525;-0.00713941829497635;0.110284687150257;0.0366233678770589
"amusing";0.0528680104568318;0.647818937308627;0.0522988722083021;0.169638352929689;0.0976441507707579;-0.0626166861942946;-0.083338652359494;-0.00346606385616746;0.1922538961824
"appropriate";0.00397215273506876;0.00143589679148899;0.0541290755881521;0.185182640214689;0.0297953756183531;0.278223615214353;-0.164940523775133;0.528205185338996;0.0563295257685488
"beautiful";0.326770596053269;0.372027442962368;0.211633811532942;0.537461969358518;0.133933476145652;0.156068688985486;-0.000764701629956387;0.189564832811451;0.142059044329475
"best";0.429087671662545;0.210602241910055;0.383431794243621;0.338582601680085;0.293987757624569;0.0326045985677511;0.106219825102213;0.0147493506481743;0.0577004866848337
"calm";0.473512327793295;0.00914963701311364;0.0238238628021219;-0.0538462682997721;0.238117596299027;0.0790358334248391;0.303792936973283;0.0822127140433524;0.101051825793776
"capable";0.0770456255077652;0.153798069230977;0.5447378739362;0.277305983027687;0.238558824338514;0.0717089293240823;0.166416984694689;0.184784321929022;0.037544586078338
"cheerful";0.293973780676785;0.109196099089699;0.678233652445817;0.253492953962368;0.0929048939670776;-0.101862901741527;0.223846845407932;0.0325190208873053;0.0893253948465984
"clean";-0.131005144142631;0.571906070845731;0.00126480498309751;-0.0590756717586292;-0.040187255027643;-0.152421601556643;0.263793192324589;0.0225281741190291;-0.167746628709858
"clever";0.535315458786719;0.144143605354782;0.303517447602674;0.268253352465601;0.107954715279246;0.0465540224697259;0.00863292001544108;0.154800071588827;0.101454601157914
"comfortable";0.367380345929154;0.0884276158814304;0.623517410580422;0.20216449973734;0.0260841011451099;-0.0105768798225252;0.254597128778431;0.0490081439650746;-0.000757375997559371
"confident";-0.130628809125855;0.210584193628144;-0.103281939420468;0.0564884851708846;0.521105151784746;0.0209458279044266;0.0551441615648541;0.337067455969973;0.00529651929483296
"cruel";0.297276849295225;0.608741703467767;0.0841914952038334;-0.00743696264675396;0.00882986984050054;-0.113513531656331;-0.0439377293779654;0.100180260983141;0.29847708257128
"curious";-0.0848849182629327;-0.0566153027800133;0.29670880972984;0.0377633041536333;-0.0612196821151677;0.580520645546323;-0.116766679239038;0.131970844729517;-0.0394350080607032
"dangerous";0.382644813513163;0.107121703716668;0.144471443871676;0.0862135237462731;0.39466779315426;-0.0800694686971973;-0.0764190709563987;0.199301363610937;0.170072058406756
"delicate";0.317784945350242;0.357453409814267;0.0464274217206668;0.36751454134184;0.213420319681209;0.127241130236536;0.147175928003474;0.353574563237674;0.141508375067407
"delighted";0.236411005506557;0.584815502715886;0.00687448020966843;0.420014228429244;0.404451344979136;-0.061135020725678;0.0613883266077935;-0.039956870961559;0.0508445397540717
"delightful";0.41173051382168;0.529276177319933;0.137742841367356;0.315634194174618;0.238535436133331;-0.01386439166792;0.089605135100131;0.127395705713472;0.167332454143026
"determined";0.108114585031144;0.576120133122659;0.00168522542837974;0.306802896176083;-0.0164849137995669;0.0899718277982424;0.0508238332604676;0.0998355574813272;0.324496866614077
"different";0.391622028585845;0.24515474256567;0.123656353709682;0.419188239435738;0.308730655479617;-0.0278450825104136;0.153076292663898;0.160101574124388;-0.0202415281696025
"direct";-0.0419969516191061;0.255801091245999;-0.128296507824044;0.0926858492899558;0.0465918793425756;0.119850856633201;0.167456637087945;0.37834254594675;0.0887598986223451
"entitled";0.621774633486934;0.188895167176383;0.150349276011588;-0.205709945336823;-0.0418339816324488;0.000210413449453306;-0.0349624555975946;-0.0444901706903885;-0.134599754704638
"extraordinary";0.0203869168318531;0.725484365066252;0.00328590554285254;0.116138983437268;0.0341927024171955;-0.0284921613101526;0.103394173293997;0.103861882298969;-0.0200413579379886
"extreme";0.0591232669646899;0.400140403620805;-0.091263219307753;0.1734908270181;0.563760967388904;0.0639627043040208;-0.00161539436815391;-0.0166733622463253;0.0107093546849567
"fair";0.388025047010383;0.185595100625947;0.172915680648676;0.314948580668413;-0.0324249137516518;0.349485439502554;0.109219176069649;0.281948875165366;0.211958467267156
"faithful";0.140675464140585;-0.0418455319648814;0.642858110218995;0.272486655670368;0.140094498151013;-0.127175389500718;0.28419493316878;0.0967481111807667;0.00233563612820345
"familiar";0.248269291435933;0.224924373929643;0.0317847971893595;0.49532128060026;0.250886411037226;-0.14773795675336;0.0763018374397843;-0.256756520522774;0.01082437661303
"famous";0.284974202859532;0.345619568121562;0.141013936326913;0.253717863011094;0.484058219054117;0.0515293169646038;0.353081377314633;0.0727490587458331;0.0162054105157653
"fancy";0.314466830340403;-0.0470632753730937;0.176767903710559;0.0849174809968434;0.616474464099486;0.0704199443609318;0.236523374495856;-0.15973534904184;-0.00256858661256736
"forbidden";0.140099706186004;0.042787997028541;0.00573771443541668;-0.0932388347885687;-0.069974975109729;0.0734420731841061;0.0646555794861476;0.297280930472401;-0.242470782699941
"free";0.442776194965485;0.249278823870563;0.211084935873114;0.172908907168671;0.469977792635706;-0.0985165899327465;0.11031016252214;-0.0540931666490076;-0.0264111360317376
"friendly";0.729812423815059;0.0947106651194923;-0.0373920780296473;0.346840521561177;-0.0223957946386881;0.00608278409653478;-0.0418212927432103;0.0114530156261245;-0.0634619903300035
"generous";0.4231893967541;0.339463008283575;0.0850134068761306;0.330412531830308;0.363025394598544;0.276876993185354;0.12497333959477;0.0897768269230751;-0.0360719483191281
"gentle";0.451223879698919;0.111004418946887;0.313601285167656;0.308340576534666;0.0554510672076304;0.103937023214699;-0.0474757556074574;0.260130009477449;0.303315896688449
"genuine";0.5734016863065;-0.0861647740669354;-0.0837130339163767;0.0768083346719113;0.0623720245637609;0.0168241961177806;-0.0575591881603399;0.328573548804037;-0.139871145135119
"graceful";-0.0224469691178296;0.266418628820035;-0.00145488258026115;-0.196358152541881;0.00342978046849887;-0.0802120169672664;0.39627169828473;0.184061123685765;-0.101273407667921
"greatest";0.137082027294078;0.16606342673771;0.24866513762295;0.0675771464130842;0.239890427728538;0.148656501866642;0.0750169892045471;0.504687680497584;0.0827100326759147
