"MR1";"MR4";"MR2";"MR3"
"#-comfortable";0.0535973188908721;0.406608364538675;-0.144396413201042;0.372948769834962
"#-fair";0.229683630808954;0.26513612008884;0.279702895081436;0.207424583083904
"#-married";0.408970109968098;0.245399363989534;0.186517486074576;-0.146375716070983
"#-worth";0.179413012886632;0.624815610083482;0.0162056098599863;-0.0347857075266257
"accomplished";0.402702442797995;0.269038783542676;0.066329724459709;0.364585599073093
"afraid";0.211408135566176;0.437654719301159;0.33337520339401;0.316756236341087
"amusing";0.102479018745899;0.176416359432149;0.189902936495477;0.439067601424919
"beautiful";0.30067353115298;0.651902364721465;0.00820317572813143;0.0878109811601653
"best";0.398349552557643;0.627956416059233;0.304641345068078;0.165665238329565
"brave";0.061810899150511;0.393653705500602;0.496043909824737;0.0401328499440496
"calm";0.342246023763635;0.150881153626422;-0.0813500357612474;0.0286159033650073
"capable";0.651684255009681;0.407674002340499;-0.0966623696463553;0.149821088853286
"careful";0.0598652184665394;0.366628641015422;0.495208616587381;0.422923909777059
"cautious";0.360567061045531;0.217656268864896;-0.37920159239743;0.220161255474194
"charitable";0.336891713598553;0.264466218106769;-0.476765225696923;0.269731614327996
"cheerful";0.485055980228197;0.472272470652659;0.291392507853505;0.311230956753391
"clever";0.339353004125688;0.244559720355878;0.246252972663118;0.248498409038722
"comfortable";0.305407411864466;0.565533207818046;0.391708345258616;0.243071937543477
"compassionate";-0.104097488730358;0.43823850460612;0.160140221057986;0.159776515225882
"confident";0.694525445992182;0.0721146552167127;-0.224959391298556;0.0353533296894516
"cruel";0.451144920348256;0.0976109281590247;-0.0367266086696632;0.276593637211117
"curious";0.346374399326367;0.209974520849147;0.387645998377752;0.278933190184187
"dangerous";0.689640679391489;0.389441924983118;0.20002910901665;0.0623104583233556
"delicate";0.396028579532983;-0.0484554264833977;-0.218942359650195;0.391473101229244
"delicious";0.240751704748455;0.466173704328402;-0.17204486794381;0.20130522224865
"delight";-0.104097488730358;0.43823850460612;0.160140221057986;0.159776515225882
"delighted";0.41654367642754;0.545000363762831;0.368522336247273;0.277254459601314
"delightful";0.179060718716629;0.410247399406666;0.28123808576461;0.0821859252486545
"determined";0.569969834708227;0.552220800627631;0.257553524662253;0.201558428857709
"different";0.476363392821842;0.348745738565789;0.469644056285945;0.197242612573522
"direct";-0.0824671483511428;-0.0393845018537327;0.140947110868348;0.42214394234792
"encouraging";0.393682028572656;0.246050449370974;0.0239781746567831;0.105846525368259
"entertaining";0.21726758113418;0.128456429262524;0.603016572935999;0.264480115437747
"expensive";0.0851351230753693;-0.0791522485060593;0.605324727591607;0.181078187809411
"extraordinary";0.273919489018546;0.488159432461746;0.342190486488124;0.475634613341888
"extreme";0.265485816577144;0.587338792642176;-0.0354754394305068;0.127184078716
"fair";0.521596786807528;0.347591610299375;0.517033779259788;0.140490608959627
"faithful";0.180141388594757;0.132689359410516;-0.297562091305965;0.222911929668993
"familiar";0.118025478754622;-0.0343733185196306;0.0729434817318692;-0.0201152891230278
"famous";0.0618108991505111;0.393653705500602;0.496043909824737;0.0401328499440496
"fancy";-0.00684021356032199;0.0717399037071013;0.344769432897556;0.0323511243980009
"free";0.0689106213789482;0.500044403679338;0.438966115188589;0.29492485093851
"friendly";0.178719300625941;0.569046070760127;0.112043705055844;0.351489496230409
"generous";0.457809561448657;0.416063051379348;0.104192087439617;-0.00873285485847492
