"MR1";"MR3";"MR2";"MR5";"MR11";"MR6";"MR7";"MR10";"MR9";"MR8";"MR4";"MR12"
"#-married";0.217771806170144;-0.0292751976508609;0.296586590523488;0.16408637637675;0.198619040128281;0.504343622104246;-0.053613835433294;-0.138596651021947;0.0196779172807669;-0.108062561037841;0.0613289817188183;0.275313100906728
"#-quiet";0.0983284777987605;-0.140942033476343;0.0335443693713214;0.218728701073644;0.100930893457607;-0.037148915436309;-0.0632272227676136;-0.0198546662830363;-0.0874969949221786;-0.049388332007194;-0.0788328561279349;0.056057973992063
"accomplished";0.159028232938066;-0.00084104490746427;0.0717493819889632;0.116572515582116;0.792472315410241;0.0949828812183996;0.0513144514303494;0.0593196299642404;0.19661547523989;0.0953130879223628;0.0374697287673865;-0.0785873180662989
"afraid";0.720897031731863;0.242833139176105;-0.114434267072436;0.290300024014462;0.00916029850074955;0.158473589382825;0.0461893701188828;0.152607783413233;0.0712742826631711;0.0368533307240585;0.183965668244369;-0.0562136820150516
"amusing";-0.067821947468243;0.655544449325337;0.300153475103109;-0.0910345985053108;0.055719600887516;0.0875274142979027;0.0819390312138053;-0.0634129731229308;0.0654048132969471;0.221711247764852;0.04873833188881;0.0753819133845585
"appropriate";0.597072892917686;-0.0421119787749055;0.00811883770994731;-0.071438094886215;-0.0239948332406446;-0.135941255022752;-0.0301095385101947;-0.132736468410853;0.0977198145073549;0.0819753421003819;-0.0318596789541006;-0.19616491073816
"beautiful";0.58340481071706;0.0439987180215103;-0.113765454618559;0.280350600859856;0.299062801793856;0.226826139678723;-0.119438899794091;0.0571196724544983;0.332941271300212;-0.0797888521363179;0.0861083096891501;-0.137572539316099
"best";0.618646420597666;0.113784274057746;0.107452122883889;0.27654202772033;0.285269060177042;0.101323326171491;0.00800076329465014;0.144259103359368;0.140374059019977;0.0436485708158449;0.0929141386234265;-0.212059295490905
"blessed";0.470624329381196;-0.154650820833521;-0.0826057493238703;-0.247839985769224;0.228671383109545;-0.0332663112676394;0.0160933955603431;-0.000429559599242033;-0.0651452586017516;0.14198379729969;-0.0997939854676141;0.0340848866370328
"calm";0.582663958978017;0.0659810440710731;0.473651028060445;0.0918010248994002;0.115973577885121;0.113174039235936;0.189001170680475;-0.0338360850238402;0.0668987027242274;0.020596340672273;0.0993852133489064;0.0346675897083094
"capable";0.540876783648653;0.157007399415561;0.133207688423203;0.270343309510936;-0.025091818754265;0.305945123323854;0.291921513636712;0.211824710140861;0.103754081355168;0.167295874849174;-0.0332036479447367;-0.0226567498601018
"careful";0.371071634041809;0.572579729320112;0.0957923353115579;-0.00000913848311960366;-0.0420534640974355;0.208673742043897;0.0395577556513776;0.0597548766259245;0.0229769633193494;-0.0431562431919548;0.188827989184591;-0.114568548717602
"cautious";0.250341530077447;0.618194259343002;0.160558044117996;-0.115076033752544;0.0141120967821698;0.218185288141713;0.00738035592057406;0.04803438151301;0.0369119065142257;0.0509666566419976;0.217722096507053;-0.127370334930782
"cheerful";0.71787344806086;0.1263817412791;0.0814275379328913;-0.072992995405488;0.190500949329102;0.0310027268963427;0.247657532531777;-0.0616759367832801;-0.0533996637953049;-0.0740416707607761;0.0140499825536349;0.00192949656560531
"clever";0.03796422887272;0.444098404175106;0.607344921431642;-0.0364581391098191;0.114429031568848;-0.0241524625844322;0.106025823961883;0.086614993239055;0.229391441698199;0.158896358004884;-0.0771398762522082;0.0768668661155297
"comfortable";0.708713766465371;0.286121214995956;0.0580523646734822;0.168924831484561;0.0128424054563105;0.139339946984411;0.10959125171613;0.086146221574067;-0.00651566648587152;0.0776381744226934;0.151628016024375;-0.125654714330266
"compassionate";0.369369356446321;0.281420458855585;-0.113132164072727;0.110241449566787;-0.0685246117861952;0.536861317169963;-0.0280077131700833;0.208104544776751;-0.0175216284867912;0.0832569091226739;-0.046450197065622;-0.00712443756698733
"confident";0.309491887300726;-0.0650381636359022;0.639431597458314;0.0468433350692282;0.08957744520573;-0.142849370230731;0.190293145854041;-0.186438865977403;-0.191028431648832;0.02758438788349;-0.0203899272259643;-0.176537775719627
"cruel";0.572240039875027;0.0428541278092288;0.00408212929065172;0.214919140278816;-0.0277202207320563;0.205986303893713;0.17280348013401;0.241000006380651;-0.0214638121199756;-0.0654236015000005;-0.158883556504812;0.0346768446853376
"curious";-0.0678219474682438;0.655544449325339;0.30015347510311;-0.0910345985053106;0.0557196008875157;0.0875274142979032;0.0819390312138059;-0.0634129731229308;0.0654048132969466;0.221711247764853;0.0487383318888106;0.0753819133845585
"dangerous";0.335656985042888;0.480804492478161;-0.113250064882897;0.00680544321633246;-0.148267472104623;0.0691073000013803;0.111686901406219;0.0436074037935519;-0.0841092031266391;0.130510208059254;-0.0718253907245697;0.337969534314235
"delicate";0.589740458170905;0.138677224348819;0.130455214755344;0.194886170561569;0.248026658285128;0.371480399157332;0.225569516419611;0.131990258593396;0.162895203148397;-0.0748661926181261;0.0732162077229191;0.000860377877508186
"delighted";0.546695394159945;0.439437787055941;0.052145698255706;0.163585654378098;0.121917736569894;0.306057328142122;0.267612829264854;0.00179347572291016;0.132139495881368;0.243463749031829;0.173466169906344;0.11524321452917
"delightful";0.755296322490696;0.0866179746819701;-0.0925211765654484;0.222400896296478;0.00669450795034887;0.0752549057583796;-0.0410312088914003;0.0921683048509422;0.238132704223613;0.105375396849203;0.0770781515031464;0.00483616350924844
"determined";0.73129659914964;0.172898552069562;0.21130935635318;-0.0953994400135493;0.208632231107384;0.377334672692433;0.0116334529583351;0.0880826177302954;0.104943319500088;-0.00455481195918186;0.13433860635454;0.122312826968177
"different";0.732308638499392;0.09493940336088;0.0387967373133323;0.172547785761262;0.171402071695475;0.191355645590837;0.186968399261506;0.067898871213511;0.167271442876178;0.104167020611299;0.180480773077199;0.131440000133528
"direct";0.256604795770664;0.232311614230787;0.111552059263551;0.0954636282766656;0.149693605783799;0.134945546433488;0.284934555572715;0.0868383932833058;0.0080208426339361;0.720932943999636;0.107580932086616;0.0752417098095196
"encouraged";0.564389769979238;0.297331811993838;0.144920907798989;0.0804303578267236;0.107587157977284;0.139789590595823;-0.0371392159375304;0.164515014820654;0.0117253779044249;0.422063855318194;-0.0473608164073559;-0.263779686607974
"encouraging";0.331457403739421;-0.0915611527707873;0.498707984634338;0.113049156237683;0.0308561406620875;0.00515691182800604;0.21295199818677;-0.242846805630712;-0.116565172568913;-0.075362783253363;-0.0075634052652395;-0.207617240278517
"enthusiastic";0.151633780241733;0.227970260489453;-0.166766320613045;0.217363824001402;0.299611493069683;0.04692065856162;0.36190291629527;-0.0068454063531943;0.0960567235748757;-0.130067391334252;0.213071574386066;0.146279529964689
"exciting";0.389826457564066;0.186128526615177;0.246246932608813;0.112437899940939;0.175451389212297;0.494247803414561;-0.0713363585790702;-0.0537651038438825;-0.00646378881536891;-0.0573436124663501;-0.00840237257553518;0.367711192820528
"expensive";0.634588774073061;0.0991374771877724;-0.0773968088888083;-0.132329182714056;0.391068699079968;0.050043678063442;-0.0626806577030572;0.161315787904468;-0.052957708550946;0.0331740460839316;-0.0174767563799822;0.194476457614119
"extraordinary";0.75801310016564;-0.026875249304304;0.209323311078042;0.0526737976243774;0.160257719675199;0.083216851661968;0.00931248198075114;0.23184316263326;0.192759105197085;0.0876035942567346;-0.0111998696090078;-0.0487888967300145
"extreme";0.386286887518356;0.580771079469018;-0.0516918404293411;0.127139199129593;0.0511896741309786;-0.0127818674053252;0.125307545850059;-0.044860942435946;-0.142221700546378;-0.0688229179301661;-0.119403877453701;-0.216410619601608
"fair";0.470784070874623;0.105765618870449;0.108020667134417;0.0246124877168605;0.38956109621797;0.0507894331305256;0.135068185828981;0.125164871766264;0.461499957053071;-0.0736097998744541;0.00914485294626997;0.0126719422741043
"faithful";0.0822387901704884;0.100407601449322;-0.0790466329359379;-0.0567532444070304;0.0790738940134531;-0.00369892643669038;-0.104198245986559;-0.0647314236526445;-0.101824282761207;0.706448441410817;-0.0741625081857053;0.0366376863653404
"familiar";0.260364644638252;-0.0602226224488766;-0.110919223946731;-0.0485058571463311;0.124480263128;-0.0100837800393285;-0.0867369020866516;-0.0352228868345199;0.819266622414132;-0.0873649897326572;-0.0414297760079226;0.00147918543575576
"famous";0.24872422648559;0.0186789665726196;-0.0728579177923807;-0.0221624362802327;0.132172300961911;0.108940811610731;0.0601906423772648;0.750400338212789;0.0331781053508078;-0.0558717557159605;0.151996634194632;0.0233600407656774
"fancy";0.605249723464003;0.138186908515552;-0.166899087988063;0.0294509612667901;0.268488706373414;-0.0178718304978067;-0.249512250330967;-0.0384015350357124;-0.0125072681748309;0.0549489426938104;0.0224739674187382;-0.188257390403088
"fascinating";0.364965389918815;0.228750671839603;-0.210055385106376;-0.0828203013122158;0.220122378370272;-0.0236878396555383;-0.148663909817318;-0.0089992941594392;-0.0961082579298088;0.118778109675213;-0.019381823041082;0.113401670634641
"free";0.835864468651892;0.0606585786164218;0.06734057003645;0.0720997916046539;0.112678486060045;-0.0150166438023577;0.00224883152754205;0.144247564177072;0.00888838141270744;0.133184492718498;0.162795433158915;0.0833927764298325
"friendly";0.511153060469898;-0.0732802889292883;0.0923554509750307;0.542188009944099;0.00373468262119275;0.114583791197278;0.114305428644786;0.0535978816688133;0.124743570407542;-0.039088802636668;0.17987580077171;0.0733479983242199
"generous";0.634592055663476;0.180250699097393;0.00934048795171233;0.0112534225459193;0.0743741021442647;-0.17730968209006;0.129995877800311;-0.211721159255436;0.171968717933898;0.061082083450327;-0.00764678802717682;-0.113328332775718
"gentle";0.354388281076691;0.0940051610370381;-0.00127137597196255;0.400508287473618;0.161654177488512;0.518599907158301;0.0701115194639259;0.159837496699936;0.171514894816222;-0.0115632137160011;-0.0869982039460477;-0.0665762774848919
"genuine";0.693608127727981;0.0707144839762622;-0.0465635560393616;0.266458817956358;-0.112757922089654;0.0377151316324689;-0.111634944999454;0.138857037193462;0.183856734968269;0.0758156072861203;0.119678716283671;-0.0835631069069196
"graceful";0.178737402489403;0.036076105103345;0.0627669047100126;0.13486363937788;0.0828181726516217;0.126019209596718;-0.0190522180628171;0.116134415376974;0.681230081120754;0.00534634294496977;0.0168400504751098;-0.0595198814646112
"greatest";0.696882237432287;0.223513381274441;0.0496088738930538;0.127871040986223;0.126851849959843;0.155449919305367;0.145060166102097;0.25032203645571;0.0890248529012243;0.151423368840606;0.0970610715181087;0.0342704113653688
