"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"#-comfortable";8;8;0;0;1;"#-comfortable";4,4174284813658;"#-comfortable";0,867225189147703;"#-comfortable";163;"#-comfortable";0,0114940646745804;"#-comfortable";0,5704425573349
"#-dangerous";5;5;0;0;1;"#-dangerous";4,25619405035069;"#-dangerous";0,914531652640022;"#-dangerous";105;"#-dangerous";0,0393028024606972;"#-dangerous";0,306455582380295
"#-direct";5;5;0;0;1;"#-direct";4,25619405035069;"#-direct";0,914531652640022;"#-direct";105;"#-direct";0,0393028024606972;"#-direct";0,306455582380295
"#-free";4;4;0;0;1;"#-free";4,37939603102811;"#-free";0,870579480248489;"#-free";153;"#-free";0,0152299391429826;"#-free";0,528425276279449
"#-married";6;6;0;0;1;"#-married";4,33057455098787;"#-married";0,877616258525926;"#-married";139;"#-married";0,0189319382575365;"#-married";0,479378163814545
"#-polite";6;6;0;0;1;"#-polite";4,15167553393023;"#-polite";0,922633586327999;"#-polite";90;"#-polite";0,0647548566142461;"#-polite";0,268290817737579
"#-worth";8;8;0;0;1;"#-worth";4,3452716860647;"#-worth";0,874332982777325;"#-worth";144;"#-worth";0,0169448952778422;"#-worth";0,518995523452759
"accomplished";61;39;9;37,2222222222222;0,639344262295082;"accomplished";4,35821429831307;"accomplished";0,877160041662725;"accomplished";146,4;"accomplished";0,019848268454183;"accomplished";0,498118576407433
"accustomed";121;65;21;13,7142857142857;0,537190082644628;"accustomed";4,17697425747958;"accustomed";0,899128583285634;"accustomed";120,227272727273;"accustomed";0,0395805913080684;"accustomed";0,422884559089487
"afraid";334;108;68;5,39705882352941;0,323353293413174;"afraid";4,26638918620458;"afraid";0,896823438620474;"afraid";123,289855072464;"afraid";0,0339596083197545;"afraid";0,415667000024215
"aggressive";9;9;0;0;1;"aggressive";4,42063284693428;"aggressive";0,866813456685039;"aggressive";164;"aggressive";0,0113958279680659;"aggressive";0,565910637378693
"alert";3;3;0;0;1;"alert";4,32118553426813;"alert";0,894967843718143;"alert";125;"alert";0,0302007615091727;"alert";0,399734020233154
"almighty";5;5;0;0;1;"almighty";4,40654990341391;"almighty";0,868255958088973;"almighty";160;"almighty";0,0131253256904638;"almighty";0,54957103729248
"appropriate";22;19;5;43,8;0,863636363636364;"appropriate";4,20461798334503;"appropriate";0,907429093454035;"appropriate";110;"appropriate";0,0474968937978784;"appropriate";0,376371453205744
"beautiful";363;97;66;5,68181818181818;0,267217630853994;"beautiful";4,32624613579886;"beautiful";0,885101488455897;"beautiful";136,597014925373;"beautiful";0,023746586150143;"beautiful";0,463436447417558
"best";354;99;65;5,89230769230769;0,279661016949153;"best";4,2713336532075;"best";0,891371481597795;"best";129,818181818182;"best";0,0316004165083939;"best";0,447862749749964
"blessed";27;22;5;44,2;0,814814814814815;"blessed";4,36973175875134;"blessed";0,876223352360356;"blessed";147,5;"blessed";0,0178762824001204;"blessed";0,502889509002368
"bored";3;3;0;0;1;"bored";4,3495369766754;"bored";0,873974217186045;"bored";145;"bored";0,01685436298169;"bored";0,509440898895264
"brave";47;31;8;28,25;0,659574468085106;"brave";4,35541024990318;"brave";0,881954868752369;"brave";141,333333333333;"brave";0,0209761860729355;"brave";0,477802991867065
"bustle";4;4;0;0;1;"bustle";4,32982435989048;"bustle";0,878750037355208;"bustle";138;"bustle";0,0190962021259548;"bustle";0,483634382486343
"calm";107;58;18;20,6666666666667;0,542056074766355;"calm";4,28248005502583;"calm";0,887114546575193;"calm";134,421052631579;"calm";0,0246761721118761;"calm";0,453595649254949
"capable";61;40;10;26,9;0,655737704918033;"capable";4,35441824806022;"capable";0,880993908170387;"capable";141,363636363636;"capable";0,0195133617300486;"capable";0,477865370837125
"careful";70;48;9;39;0,685714285714286;"careful";4,33068095699021;"careful";0,882253984076283;"careful";140,1;"careful";0,0243011237029709;"careful";0,478671020269394
"cautious";29;25;5;28,8;0,862068965517241;"cautious";4,36966975412119;"cautious";0,874312396820997;"cautious";148,5;"cautious";0,0164177389810678;"cautious";0,503551870584488
"cheerful";130;62;22;15,8636363636364;0,476923076923077;"cheerful";4,25718477531936;"cheerful";0,89959843327947;"cheerful";121,130434782609;"cheerful";0,0360309335972056;"cheerful";0,415612413831379
"choice";2;2;0;0;1;"choice";4,40921273976749;"choice";0,866659312027768;"choice";162;"choice";0,0124320349838432;"choice";0,557215392589569
"clean";74;46;12;28,75;0,621621621621622;"clean";4,2701701977354;"clean";0,896082878704989;"clean";125,846153846154;"clean";0,0327545517969298;"clean";0,444146587298467
"clever";30;23;4;23;0,766666666666667;"clever";4,16621811913154;"clever";0,921487676437917;"clever";95,2;"clever";0,0539722825191934;"clever";0,312909114360809
"comfortable";81;47;15;24,6666666666667;0,580246913580247;"comfortable";4,13059647774889;"comfortable";0,912099688901104;"comfortable";107,5625;"comfortable";0,0468576455441092;"comfortable";0,372003870084882
"compassionate";13;13;1;83;1;"compassionate";4,37780402647527;"compassionate";0,873377640758755;"compassionate";150,5;"compassionate";0,0156340475023279;"compassionate";0,520667284727097
"competent";5;5;0;0;1;"competent";4,37591918109789;"competent";0,871023736121965;"competent";152;"competent";0,0154056224899598;"competent";0,513647139072418
"confident";24;21;4;62,25;0,875;"confident";4,30335645974038;"confident";0,891960976668489;"confident";130,6;"confident";0,0320078216180144;"confident";0,422446623444557
"cruel";106;53;19;16,6842105263158;0,5;"cruel";4,33172326259071;"cruel";0,8845195701754;"cruel";137,2;"cruel";0,0241795801728984;"cruel";0,463373290002346
