"source" "target" "tag"
2 3 "worth"
3 4 "weak"
3 6 "professional"
4 8 "natural"
8 9 "natural"
8 9 "strong"
3 10 "accustomed"
4 10 "best"
7 10 "comfortable"
1 10 "happy"
10 12 "happy"
3 13 "gentle"
12 13 "happy"
12 14 "afraid"
3 14 "extraordinary"
13 14 "free"
3 14 "worth"
14 15 "afraid"
14 15 "free"
9 15 "natural"
14 15 "uncertain"
14 16 "extraordinary"
5 16 "familiar"
13 16 "quiet"
14 17 "cheerful"
10 18 "accustomed"
13 18 "happy"
1 18 "wealthy"
10 19 "best"
18 19 "clean"
16 19 "extraordinary"
1 19 "fair"
16 19 "familiar"
8 19 "loose"
15 19 "natural"
15 20 "afraid"
19 20 "best"
10 20 "comfortable"
12 21 "beautiful"
20 21 "best"
19 21 "extraordinary"
19 21 "natural"
9 21 "strong"
18 22 "accustomed"
21 22 "best"
15 22 "free"
17 22 "safe"
1 22 "social"
10 22 "superior"
20 23 "comfortable"
3 23 "curious"
21 23 "extraordinary"
19 23 "loose"
21 23 "mighty"
16 23 "modest"
21 23 "natural"
4 23 "pleasant"
22 24 "free"
13 24 "friendly"
23 25 "comfortable"
19 25 "fair"
19 25 "familiar"
10 25 "honest"
22 25 "superior"
20 26 "afraid"
25 26 "appropriate"
17 26 "cheerful"
24 26 "free"
7 26 "original"
22 26 "social"
24 27 "friendly"
16 27 "proud"
21 27 "strong"
25 29 "familiar"
23 29 "mighty"
23 29 "natural"
26 29 "original"
26 30 "afraid"
21 30 "beautiful"
24 30 "extreme"
26 30 "free"
18 30 "happy"
25 30 "honest"
16 30 "quiet"
6 31 "moral"
29 31 "original"
26 31 "social"
30 32 "afraid"
24 32 "different"
29 32 "natural"
14 32 "passionate"
27 32 "proud"
30 32 "quiet"
32 33 "afraid"
22 33 "powerful"
22 34 "best"
30 34 "happy"
22 34 "safe"
22 35 "accustomed"
33 35 "afraid"
34 35 "best"
23 35 "extraordinary"
13 35 "gentle"
34 35 "happy"
32 35 "quiet"
35 36 "happy"
32 36 "natural"
28 36 "welcome"
36 37 "happy"
36 37 "natural"
35 38 "best"
29 38 "familiar"
29 38 "mighty"
32 38 "proud"
14 38 "worth"
35 39 "afraid"
35 39 "extraordinary"
8 39 "liberal"
38 39 "proud"
2 40 "interesting"
38 41 "best"
27 41 "delicate"
32 41 "different"
25 41 "fair"
39 41 "liberal"
31 41 "moral"
37 41 "natural"
31 41 "social"
9 41 "surprising"
22 41 "united"
31 42 "cruel"
30 42 "free"
33 42 "powerful"
35 42 "quiet"
16 42 "rich"
16 42 "thoughtful"
39 43 "afraid"
37 43 "happy"
27 43 "strong"
4 43 "weak"
43 44 "afraid"
41 44 "best"
26 44 "cheerful"
21 44 "clever"
38 44 "familiar"
41 44 "greatest"
41 44 "natural"
44 45 "best"
15 45 "humble"
40 45 "interesting"
42 45 "rich"
44 46 "afraid"
45 46 "best"
44 46 "cheerful"
19 46 "clean"
41 46 "moral"
11 46 "mysterious"
35 47 "accustomed"
46 47 "afraid"
42 47 "free"
31 47 "original"
43 47 "strong"
47 48 "free"
1 48 "married"
19 48 "minded"
47 48 "strong"
30 50 "beautiful"
46 50 "cheerful"
1 50 "fancy"
48 50 "free"
46 50 "mysterious"
23 50 "pleasant"
39 50 "proud"
48 50 "strong"
43 50 "weak"
25 51 "comfortable"
51 52 "comfortable"
23 52 "curious"
41 52 "different"
44 52 "natural"
42 52 "quiet"
47 54 "afraid"
46 54 "moral"
47 54 "original"
38 54 "worth"
54 56 "afraid"
50 56 "proud"
41 57 "delicate"
18 57 "wealthy"
56 58 "afraid"
45 58 "interesting"
58 59 "afraid"
43 59 "happy"
50 60 "mysterious"
42 60 "powerful"
57 60 "wealthy"
52 61 "different"
13 61 "encouraging"
59 61 "happy"
57 62 "delicate"
30 62 "honest"
52 62 "quiet"
50 62 "strong"
54 62 "worth"
26 63 "appropriate"
61 63 "different"
12 63 "expensive"
44 63 "greatest"
4 64 "graceful"
38 64 "mighty"
50 64 "pleasant"
52 65 "curious"
23 65 "loose"
50 65 "weak"
41 66 "fair"
35 66 "gentle"
64 66 "intellectual"
41 66 "surprising"
44 67 "clever"
66 67 "fair"
50 67 "free"
61 67 "happy"
38 67 "polite"
56 67 "proud"
60 68 "mysterious"
65 68 "weak"
67 69 "polite"
45 69 "rich"
62 69 "strong"
68 69 "weak"
50 71 "beautiful"
64 71 "pleasant"
69 71 "polite"
69 71 "weak"
63 72 "different"
69 72 "strong"
53 72 "top"
71 72 "weak"
59 73 "afraid"
66 73 "gentle"
67 73 "happy"
64 73 "mighty"
54 73 "original"
10 73 "smart"
72 73 "strong"
67 74 "clever"
67 74 "fair"
67 74 "free"
62 74 "quiet"
69 74 "rich"
42 74 "thoughtful"
71 75 "beautiful"
66 75 "surprising"
72 75 "weak"
50 76 "cheerful"
73 76 "mighty"
73 76 "strong"
44 77 "familiar"
52 77 "natural"
13 77 "official"
25 77 "superior"
46 79 "best"
35 79 "generous"
76 79 "strong"
15 79 "uncertain"
73 80 "afraid"
42 80 "cruel"
17 80 "direct"
74 80 "free"
80 82 "afraid"
74 82 "fair"
73 82 "happy"
71 82 "pleasant"
40 82 "pleasing"
71 82 "polite"
77 83 "natural"
77 83 "official"
41 83 "social"
82 84 "afraid"
75 84 "beautiful"
80 84 "free"
73 84 "gentle"
74 84 "quiet"
79 84 "strong"
75 84 "surprising"
75 84 "weak"
84 85 "beautiful"
79 85 "best"
65 85 "curious"
72 85 "different"
82 85 "happy"
83 85 "natural"
