"node_id" "tags" "dpub"
"1" "clean, delightful, extraordinary, smart, strong, superior, welcome" "1"
"2" "greatest" "2"
"3" "best, capable, cheerful, comfortable, happy, harmless, intelligent, interesting, newest, pleasing, quiet, welcome, wise" "3"
"4" "afraid, delicate" "4"
"5" "humble, obliged" "5"
"6" "#-reasonable, afraid, delightful, extraordinary, intelligent, natural, pleasing" "6"
"7" "afraid, improper, polite, strong" "7"
"8" "delighted, delightful, different, free, pleasant, secure, smart" "8"
"9" "graceful, rich" "9"
"10" "beautiful, delicate, fair, gentle, greatest, happy, novel" "10"
"11" "" "11"
"12" "greatest, novel" "12"
"13" "afraid, beautiful, delighted, delightful, determined, mysterious, strong" "13"
"14" "#-fair, determined, different, entertaining" "14"
"15" "determined, interesting, neat" "15"
"16" "afraid, amusing, delightful, interesting, pleasant, worth" "16"
"17" "delighted, delightful, happy, proud, superior" "17"
"18" "afraid, fair, happy, married, pleasing" "18"
"19" "beautiful, capable, delightful, different, faithful, generous, happy, original" "19"
"20" "fair, greatest, improper" "20"
"21" "afraid, delighted, delightful, extraordinary, extreme, famous, happy, playful" "21"
"22" "best, famous, happy, quiet, rich, safe, unpleasant" "22"
"23" "different, extreme, famous, fancy, pleasant, safe, universal" "23"
"24" "beautiful, pleasant, rich" "24"
"25" "delightful, heavenly" "25"
"26" "different, happy, quiet, reasonable" "26"
"27" "best, clever, different, famous, worth" "27"
"28" "delightful, familiar, happy, honest, intellectual, pleasant, strong, worth" "28"
"29" "beautiful, comfortable, delightful, happy, heavenly, quiet" "29"
"30" "worth" "30"
"31" "delightful, happy, quiet, strong" "31"
"32" "" "32"
"33" "calm, genuine, natural" "33"
"34" "afraid, best, delicate, delightful, famous, generous, natural, pleasant, rich" "34"
"35" "" "35"
"36" "best, determined, fair, selfish, strong" "36"
"37" "delightful, friendly, happy, safe, selfish" "37"
"38" "best, clean, extraordinary, graceful, improper, secure" "38"
"39" "" "39"
"40" "afraid, appropriate, beautiful, clever, fair, interesting, proud, wise" "40"
"41" "beautiful, clever, friendly, genuine, happy, mature, natural, qualified, reasonable, worth" "41"
"42" "delightful, happy, natural" "42"
"43" "pleasant" "43"
"44" "delightful, determined, fair, happy, natural" "44"
"45" "fair, generous, humble, mysterious, pleasing, reasonable, safe, safer, united" "45"
"46" "cheerful, clever, comfortable, famous, happy, honest, secure" "46"
"47" "best, surprising" "47"
"48" "dangerous, delicate, different, happy" "48"
"49" "afraid, amusing, cruel, determined, extraordinary, happy, smart, superior" "49"
"50" "cheerful, gentle, honest, interesting, liberal, minded" "50"
"51" "fair, gentle, happy, quiet, selfish, sincere" "51"
"52" "traditional" "52"
"53" "best, jest, worth" "53"
"54" "happy, harmless, independent, sincere, worth" "54"
"55" "" "55"
"56" "comfortable, gentle, sincere, uncertain" "56"
"57" "best, fair, pleasant, safe" "57"
"58" "happy, improper, pleasant, unpleasant" "58"
"59" "different, greatest" "59"
"60" "afraid, beautiful, capable, delightful, different" "60"
"61" "comfortable" "61"
"62" "comfortable, curious, fair, humble, mysterious, wise" "62"
"63" "best, cheerful, faithful, happier, happy, honest, jest" "63"
"64" "mysterious, quiet" "64"
"65" "beautiful, greedy, interesting, mysterious, pleasant, unpleasant" "65"
"66" "beautiful, fair, gentle, happy, neat, rich, safe, sympathetic" "66"
"67" "beautiful, best, cheerful, delightful, happy, hobby, polite, strong, unpleasant" "67"
"68" "cruel, happy" "68"
"69" "appropriate, different, genuine, greatest, humble, rich, stable" "69"
"70" "different, pleasing, rich, secure, superior, worth" "70"
"71" "forbidden, natural, quiet" "71"
"72" "forbidden, greatest, mysterious, religious, secure" "72"
"73" "afraid, confident, extraordinary, greatest, safe, stable, unpleasant" "73"
"74" "cheerful, comfortable, faithful, interesting, sincere, social, worth" "74"
"75" "best, capable, comfortable, faithful, greatest, happier, modest" "75"
"76" "different, free, gentle, happy, honest, secure, unpleasant" "76"
"77" "afraid, liberal, strong, wealthy" "77"
"78" "delighted, free, generous, happy, independent, natural, strong, welcome" "78"
"79" "#-unpleasant, comfortable, extraordinary, neat" "79"
"80" "confident, delighted, different, honest, pleasant, tidy" "80"
"81" "afraid, direct, greatest, strong" "81"
"82" "different" "82"
"83" "different, generous, happy, unpleasant" "83"
"84" "happy, interesting" "84"
"85" "cheerful, comfortable, different, greatest, happy, natural, polite, superior" "85"
"86" "direct, safe" "86"
"87" "calm, capable, different, liberal, safe" "87"
"88" "best, calm, happy, natural, productive, safe, worth" "88"
"89" "best, comfortable, fancy, free, happy, honest, independent, reasonable, worth" "89"
"90" "" "90"
"91" "afraid, clever, gentle, happy, welcome" "91"
"92" "best, delighted, happy, pleasant, rich, wealthy" "92"
"93" "accustomed, determined, liberal, minded, wealthy" "93"
"94" "entitled, happy, independent, natural, pleasing, qualified, secure, sincere" "94"
"95" "greedy" "95"
