"source" "tag"
"1" 1 "close"
"2" 1 "cut"
"3" 1 "evil"
"4" 1 "fair"
"5" 1 "good"
"6" 1 "heavy"
"7" 1 "highwayman"
"8" 1 "hill"
"9" 1 "it"
"10" 1 "last"
"11" 2 "lay"
"12" 1 "light"
"13" 1 "loaded"
"14" 1 "make"
"15" 1 "out"
"16" 1 "put"
"17" 1 "short"
"18" 1 "shot"
"19" 1 "taking"
"20" 3 "behind"
"21" 1 "best"
"22" 3 "blunderbuss"
"23" 3 "booked"
"24" 3 "close"
"25" 1 "face"
"26" 3 "floundering"
"27" 1 "general"
"28" 3 "hill"
"29" 3 "horse"
"30" 3 "it"
"31" 3 "light"
"32" 3 "make"
"33" 1 "making"
"34" 1 "off"
"35" 1 "old"
"36" 3 "out"
"37" 3 "read"
"38" 1 "round"
"39" 1 "set"
"40" 1 "small"
"41" 1 "strange"
"42" 3 "sure"
"43" 3 "tremulous"
"44" 3 "beating"
"45" 4 "best"
"46" 1 "busy"
"47" 1 "dead"
"48" 1 "dear"
"49" 3 "even"
"50" 3 "first"
"51" 1 "growing"
"52" 4 "hill"
"53" 1 "human"
"54" 4 "it"
"55" 3 "last"
"56" 3 "lay"
"57" 4 "light"
"58" 3 "little"
"59" 3 "lumbering"
"60" 4 "mare"
"61" 3 "near"
"62" 4 "off"
"63" 4 "old"
"64" 4 "out"
"65" 1 "private"
"66" 4 "read"
"67" 4 "right"
"68" 4 "sound"
"69" 4 "still"
"70" 4 "well"
"71" 1 "alive"
"72" 1 "burning"
"73" 3 "clear"
"74" 3 "cold"
"75" 6 "dozing"
"76" 6 "even"
"77" 4 "face"
"78" 6 "great"
"79" 1 "hanging"
"80" 6 "it"
"81" 6 "last"
"82" 6 "light"
"83" 6 "out"
"84" 4 "quiet"
"85" 6 "still"
"86" 6 "strong"
"87" 4 "wet"
"88" 1 "wretched"
"89" 7 "bright"
"90" 4 "close"
"91" 3 "confidential"
"92" 1 "dirty"
"93" 6 "drawn"
"94" 7 "face"
"95" 3 "fair"
"96" 7 "gone"
"97" 3 "good"
"98" 7 "it"
"99" 4 "kind"
"100" 4 "lady"
"101" 1 "large"
"102" 7 "last"
"103" 3 "late"
"104" 7 "light"
"105" 6 "little"
"106" 4 "loud"
"107" 6 "moved"
"108" 4 "must"
"109" 6 "narrow"
"110" 6 "off"
"111" 7 "out"
"112" 1 "plain"
"113" 6 "pretty"
"114" 6 "right"
"115" 6 "seen"
"116" 4 "set"
"117" 7 "still"
"118" 6 "well"
"119" 7 "white"
"120" 4 "will"
"121" 4 "behind"
"122" 6 "black"
"123" 8 "bright"
"124" 7 "clear"
"125" 7 "cold"
"126" 6 "complete"
"127" 1 "dark"
"128" 6 "done"
"129" 6 "foreign"
"130" 7 "golden"
"131" 8 "good"
"132" 4 "having"
"133" 3 "heavy"
"134" 1 "high"
"135" 4 "holding"
"136" 8 "it"
"137" 8 "kind"
"138" 8 "lady"
"139" 8 "large"
"140" 8 "last"
"141" 8 "light"
"142" 8 "little"
"143" 3 "loaded"
"144" 8 "moved"
"145" 8 "narrow"
"146" 6 "near"
"147" 1 "nobody"
"148" 8 "odd"
"149" 8 "out"
"150" 8 "pretty"
"151" 7 "red"
"152" 8 "seen"
"153" 8 "set"
"154" 3 "short"
"155" 4 "small"
"156" 8 "still"
"157" 7 "strong"
"158" 8 "will"
"159" 8 "young"
"160" 6 "afraid"
"161" 6 "best"
"162" 6 "busy"
"163" 8 "confidential"
"164" 8 "crisp"
"165" 9 "difficult"
"166" 9 "done"
"167" 8 "face"
"168" 9 "feminine"
"169" 8 "fine"
"170" 7 "great"
"171" 9 "happy"
"172" 9 "holding"
"173" 3 "intent"
"174" 9 "it"
"175" 9 "kind"
"176" 9 "lady"
"177" 6 "lay"
"178" 9 "little"
"179" 9 "miss"
"180" 4 "mused"
"181" 8 "must"
"182" 9 "odd"
"183" 3 "particular"
"184" 9 "pretty"
"185" 3 "put"
"186" 8 "right"
"187" 9 "seen"
"188" 8 "shining"
"189" 9 "short"
"190" 9 "singular"
"191" 9 "strong"
"192" 4 "sure"
"193" 1 "whole"
"194" 9 "will"
"195" 9 "young"
"196" 7 "alive"
"197" 7 "beautiful"
"198" 10 "best"
"199" 4 "called"
"200" 9 "child"
"201" 8 "close"
"202" 6 "dangerous"
"203" 9 "dark"
"204" 6 "dear"
"205" 10 "done"
"206" 7 "even"
"207" 8 "fair"
"208" 9 "fixed"
"209" 9 "golden"
"210" 9 "good"
"211" 10 "great"
"212" 10 "happy"
"213" 1 "important"
"214" 10 "it"
"215" 10 "lady"
"216" 9 "last"
"217" 10 "little"
"218" 4 "make"
"219" 7 "moving"
"220" 10 "must"
"221" 6 "old"
"222" 3 "open"
"223" 9 "out"
"224" 9 "poor"
"225" 10 "possible"
"226" 9 "red"
"227" 10 "right"
"228" 6 "safe"
"229" 3 "spirit"
"230" 9 "still"
"231" 1 "useless"
"232" 8 "vain"
