"target" "tag"
"1" 2 "bright"
"2" 2 "child"
"3" 2 "childish"
"4" 2 "dear"
"5" 2 "even"
"6" 2 "having"
"7" 2 "it"
"8" 2 "lady"
"9" 2 "little"
"10" 2 "low"
"11" 2 "nobody"
"12" 2 "off"
"13" 2 "old"
"14" 2 "out"
"15" 2 "poor"
"16" 2 "second"
"17" 2 "seen"
"18" 2 "short"
"19" 2 "strange"
"20" 2 "white"
"21" 2 "wild"
"22" 3 "alone"
"23" 3 "bent"
"24" 3 "better"
"25" 3 "called"
"26" 3 "candle"
"27" 3 "child"
"28" 3 "coming"
"29" 3 "dead"
"30" 3 "dear"
"31" 3 "even"
"32" 3 "fancy"
"33" 3 "gone"
"34" 3 "great"
"35" 3 "having"
"36" 3 "it"
"37" 3 "last"
"38" 3 "little"
"39" 3 "low"
"40" 3 "make"
"41" 3 "mean"
"42" 3 "must"
"43" 3 "old"
"44" 3 "out"
"45" 3 "poor"
"46" 3 "second"
"47" 3 "skirt"
"48" 3 "still"
"49" 3 "strange"
"50" 3 "sure"
"51" 3 "will"
"52" 4 "alone"
"53" 4 "breaking"
"54" 4 "called"
"55" 4 "coming"
"56" 4 "dark"
"57" 4 "done"
"58" 4 "face"
"59" 4 "good"
"60" 4 "having"
"61" 4 "it"
"62" 4 "lady"
"63" 4 "light"
"64" 4 "little"
"65" 4 "make"
"66" 4 "out"
"67" 4 "strong"
"68" 4 "taking"
"69" 4 "will"
"70" 5 "bear"
"71" 5 "bent"
"72" 5 "comfortable"
"73" 5 "dear"
"74" 5 "good"
"75" 5 "happy"
"76" 5 "it"
"77" 5 "light"
"78" 5 "little"
"79" 5 "out"
"80" 5 "put"
"81" 5 "still"
"82" 5 "well"
"83" 5 "will"
"84" 6 "afraid"
"85" 6 "best"
"86" 6 "child"
"87" 6 "dark"
"88" 6 "dead"
"89" 6 "dog"
"90" 6 "done"
"91" 6 "face"
"92" 6 "fancy"
"93" 6 "first"
"94" 6 "great"
"95" 6 "having"
"96" 6 "it"
"97" 6 "lay"
"98" 6 "light"
"99" 6 "little"
"100" 6 "lying"
"101" 6 "make"
"102" 6 "must"
"103" 6 "near"
"104" 6 "nobody"
"105" 6 "old"
