"node_id" "tags" "dpub"
"1" "busy, certain, close, constant, curious, even, face, feel, free, girl, heavy, keen, noisy, quick, restless, rough, slipshod, slow, sluggish, smooth, sober, soft, sure, sweet, vague" "1"
"2" "cunning, curious, delicate, determined, even, face, familiar, fresh, grateful, having, kind, monkish, quick, rusty, silent, unsuspicious" "2"
"3" "awkward, careful, childlike, coming, conversation, face, forward, grateful, hearty, loud, mouth, open, sudden" "3"
"4" "called, careless, certain, coming, conversation, delicate, face, feel, free, girl, mouth, quick, slow, still, sure, true, unmindful" "4"
"5" "called, cold, even, face, feel, gentle, gloomy, grave, hurried, kind, noisy, restless, sad, silent, slow, still, strong, tender" "5"
"6" "cheerful, familiar, gentle, quiet, silent, sunny, ugly" "6"
"7" "acceptable, critical, delicate, even, face, generous, handsome, having, insolent, kind, liar, mouth, natural, sly, spirit, strong, tremulous, whilst" "7"
"8" "cold, communicative, conversation, face, general, having, jolly, limp, serene, spirit, still, strong, sufficient, untoward, venturous, wise" "8"
"9" "cheerful, gay, jolly, kind, mouth, pleasant, stealthy" "9"
"10" "bitter, bristly, clean, close, coming, complacent, cunning, face, festive, gay, having, humble, kind, limp, mirthful, mouth, natural, restless, rough, silent, sly, social, straight, sudden, toward, unhappy" "10"
"11" "close, curious, easy, even, face, fresh, girl, heavy, helpless, inviolable, keen, kind, knowing, lonely, loving, obedient, pleasant, serious, slow, sour, stealthy, timid, uncertain, violent, weak" "11"
"12" "close, face, forward, fresh, gentle, gloomy, grave, hasty, having, hearty, hurried, kind, narrative, restless, still, sufficient, unhappy" "12"
"13" "called, close, conversation, cunning, finish, fresh, having, hill, kind, lazy, martyr, natural, open, particular, practical, rusty, shrewish, sure, true, ugly" "13"
"14" "active, certain, delicate, downright, easy, even, face, free, fresh, general, handsome, sensible, spirit, still, true, ungrateful" "14"
"15" "direct, dishonest, earnest, even, face, general, impish, laconic, rebellious, sarcastic, spirit, still, strong, sure, unequivocal, verbal" "15"
"16" "face, feel, fiery, still" "16"
"17" "bland, called, careful, certain, cold, conversation, cunning, even, face, fresh, general, impatient, kind, malicious, matronly, mute, natural, obedient, open, placid, resolute, still, strong, sullen, sweet, timid, ugly, vehement" "17"
