"source" "target" "tag"
10 11 "giving"
14 16 "concerned"
26 30 "young"
30 32 "young"
26 38 "proper"
32 40 "excellent"
32 40 "young"
40 47 "young"
16 58 "helpless"
47 77 "young"
4 78 "good"
77 80 "young"
78 82 "good"
11 83 "faithful"
80 87 "young"
9 92 "worthy"
21 94 "well"
41 99 "little"
87 99 "young"
47 105 "private"
92 108 "worthy"
99 110 "little"
25 110 "surprised"
83 112 "faithful"
18 112 "great"
98 116 "natural"
53 117 "innocent"
7 118 "alone"
82 124 "good"
110 126 "little"
116 130 "natural"
40 131 "excellent"
112 131 "great"
129 131 "understanding"
130 132 "natural"
94 132 "well"
131 133 "great"
99 133 "young"
105 135 "happy"
132 135 "natural"
124 136 "good"
92 136 "satisfied"
112 138 "faithful"
108 142 "worthy"
136 146 "good"
132 148 "well"
131 149 "certain"
91 149 "eager"
146 150 "good"
24 152 "short"
152 172 "short"
135 174 "happy"
149 175 "eager"
149 178 "certain"
133 183 "great"
135 183 "natural"
118 198 "alone"
174 198 "happy"
105 213 "private"
183 220 "great"
180 234 "open"
110 235 "surprised"
213 242 "private"
229 245 "afraid"
170 247 "ashamed"
220 252 "great"
252 254 "great"
5 256 "difficult"
245 257 "afraid"
242 266 "private"
178 270 "determined"
231 271 "kind"
133 271 "young"
172 272 "short"
31 274 "unhappy"
210 275 "fortunate"
126 278 "little"
148 279 "old"
236 280 "pleased"
235 285 "surprised"
109 286 "gentle"
234 286 "open"
60 286 "sensible"
272 287 "short"
256 291 "difficult"
254 297 "great"
95 304 "serious"
274 304 "unhappy"
271 304 "young"
247 311 "ashamed"
136 317 "satisfied"
297 319 "great"
131 322 "understanding"
80 323 "lively"
277 323 "ridiculous"
285 323 "surprised"
148 323 "well"
90 327 "capable"
319 328 "great"
236 329 "agreeable"
273 329 "laughing"
323 329 "ridiculous"
128 331 "important"
304 333 "young"
311 334 "confused"
328 343 "great"
317 345 "satisfied"
287 346 "short"
278 348 "little"
346 348 "short"
345 349 "satisfied"
270 350 "determined"
311 351 "ashamed"
285 354 "strange"
345 365 "pretty"
323 365 "well"
32 369 "weak"
342 370 "glad"
343 372 "great"
150 374 "good"
325 375 "ignorant"
323 375 "surprised"
374 378 "good"
365 378 "well"
198 383 "happy"
375 385 "ignorant"
286 385 "sensible"
178 386 "certain"
385 386 "ignorant"
329 386 "laughing"
369 386 "poor"
386 390 "ignorant"
386 390 "poor"
369 390 "weak"
375 394 "surprised"
231 401 "charming"
71 401 "grateful"
280 401 "pleased"
304 406 "serious"
401 411 "charming"
198 414 "alone"
329 421 "agreeable"
359 424 "curious"
348 428 "short"
372 433 "great"
74 444 "bad"
271 445 "kind"
22 449 "thankful"
401 453 "pleased"
379 455 "delighted"
370 456 "glad"
378 457 "well"
266 458 "private"
414 472 "alone"
329 474 "ridiculous"
333 476 "young"
279 478 "old"
349 478 "satisfied"
381 481 "foolish"
433 482 "great"
38 482 "proper"
404 483 "delightful"
394 494 "surprised"
319 499 "encouraged"
386 499 "laughing"
482 503 "great"
478 512 "old"
512 513 "old"
336 517 "angry"
8 517 "violent"
16 519 "generous"
363 520 "lovely"
476 528 "young"
455 532 "delighted"
519 533 "generous"
302 534 "embarrassed"
378 534 "good"
354 535 "strange"
528 540 "young"
350 545 "determined"
453 548 "pleased"
11 550 "giving"
520 551 "lovely"
499 557 "laughing"
365 558 "beautiful"
411 558 "charming"
383 558 "happy"
428 565 "short"
414 565 "tired"
390 571 "ignorant"
331 577 "important"
557 579 "laughing"
291 581 "difficult"
535 581 "strange"
348 589 "little"
460 590 "fair"
558 592 "happy"
592 597 "happy"
472 599 "alone"
5 605 "evil"
445 611 "kind"
351 616 "ashamed"
474 622 "ridiculous"
581 622 "strange"
