"source" "target" "tag"
2 12 "strong"
12 20 "strong"
21 33 "certain"
5 45 "stern"
91 99 "easy"
110 114 "intimate"
139 140 "sure"
33 162 "certain"
162 183 "certain"
151 196 "gloomy"
108 206 "cold"
20 208 "strong"
209 210 "humble"
196 214 "gloomy"
140 226 "sure"
141 231 "melancholy"
183 237 "certain"
214 281 "gloomy"
226 282 "sure"
281 289 "gloomy"
4 312 "rusty"
3 359 "eager"
247 364 "general"
237 381 "certain"
282 390 "sure"
321 411 "close"
287 424 "particular"
390 427 "sure"
206 462 "cold"
450 487 "Jolly"
418 494 "suspicious"
137 495 "sensible"
296 506 "conventional"
506 510 "conventional"
158 523 "majestic"
427 553 "sure"
172 608 "expressive"
99 624 "easy"
378 626 "silent"
626 627 "silent"
610 641 "diffident"
203 645 "natural"
504 647 "modest"
424 663 "particular"
536 672 "severe"
494 680 "suspicious"
645 694 "natural"
381 704 "certain"
359 714 "eager"
313 727 "clumsy"
669 731 "exact"
731 732 "exact"
553 757 "sure"
757 758 "sure"
758 760 "sure"
459 769 "pleasant"
388 779 "open"
624 795 "easy"
496 826 "free"
837 846 "friendly"
775 854 "literary"
856 857 "thoughtful"
608 860 "handsome"
56 868 "quick"
704 890 "certain"
760 896 "sure"
890 899 "certain"
462 904 "cold"
461 905 "heavy"
364 907 "general"
231 915 "melancholy"
732 931 "exact"
694 932 "natural"
854 933 "literary"
933 934 "literary"
650 962 "fresh"
934 962 "literary"
795 967 "easy"
487 970 "Jolly"
970 973 "Jolly"
973 977 "Jolly"
977 981 "Jolly"
200 983 "rough"
981 984 "Jolly"
634 993 "Original"
997 1005 "cruel"
208 1039 "strong"
899 1040 "certain"
375 1044 "deferential"
450 1051 "jolly"
984 1051 "Jolly"
967 1082 "easy"
896 1084 "sure"
557 1084 "true"
1039 1092 "strong"
1005 1098 "cruel"
840 1106 "familiar"
621 1133 "stately"
1092 1135 "strong"
915 1138 "melancholy"
1084 1140 "sure"
1141 1142 "Sure"
1140 1143 "sure"
1040 1148 "certain"
904 1152 "cold"
417 1153 "quiet"
850 1169 "nigh"
1153 1195 "quiet"
1135 1195 "strong"
1143 1205 "sure"
1205 1206 "sure"
1206 1207 "sure"
1208 1210 "#-true"
1210 1213 "#-true"
1148 1229 "certain"
1169 1246 "nigh"
932 1252 "natural"
983 1252 "rough"
1195 1252 "strong"
779 1267 "open"
1229 1269 "certain"
962 1293 "fresh"
1252 1302 "natural"
1207 1303 "sure"
1252 1311 "strong"
1098 1315 "cruel"
1138 1325 "melancholy"
1296 1325 "weak"
1082 1344 "easy"
1267 1357 "open"
1325 1371 "weak"
907 1396 "general"
1371 1401 "weak"
720 1403 "independent"
1224 1417 "fast"
868 1447 "quick"
979 1469 "second"
212 1507 "indolent"
1303 1509 "sure"
1357 1512 "open"
1396 1527 "general"
1512 1540 "open"
1315 1560 "cruel"
312 1567 "rusty"
1048 1570 "tight"
1570 1571 "tight"
931 1572 "exact"
1571 1573 "tight"
860 1584 "handsome"
377 1585 "cool"
1585 1596 "cool"
1403 1612 "genteel"
567 1613 "abrupt"
284 1618 "romantic"
1084 1635 "true"
1540 1643 "open"
663 1650 "particular"
1231 1656 "suggestive"
1509 1669 "sure"
1669 1670 "sure"
947 1689 "cheerful"
969 1702 "pensive"
1269 1737 "certain"
1737 1739 "certain"
646 1744 "neat"
658 1745 "honest"
698 1749 "lively"
647 1751 "modest"
1310 1752 "accessible"
510 1755 "conventional"
166 1755 "daring"
1447 1756 "quick"
1527 1759 "general"
1643 1769 "open"
991 1773 "emphatic"
690 1774 "clean"
1133 1780 "grateful"
1635 1782 "true"
1773 1784 "emphatic"
1782 1785 "true"
1785 1786 "true"
1786 1789 "true"
960 1793 "responsible"
826 1798 "free"
1221 1803 "contemplative"
1739 1815 "certain"
523 1826 "majestic"
1752 1830 "accessible"
210 1832 "humble"
769 1832 "pleasant"
1403 1833 "independent"
1832 1835 "pleasant"
1302 1838 "natural"
1670 1860 "sure"
1792 1865 "conscientious"
1344 1866 "easy"
1133 1867 "stately"
1041 1870 "punctual"
1195 1870 "quiet"
934 1882 "gracious"
1213 1892 "#-true"
1863 1896 "irrepressible"
1401 1943 "weak"
114 1946 "intimate"
1769 1965 "open"
1803 1974 "contemplative"
1469 1975 "second"
1325 1983 "melancholy"
1893 2008 "nervous"
1573 2012 "tight"
1656 2016 "suggestive"
1816 2019 "dignified"
1044 2024 "deferential"
1749 2026 "lively"
1784 2027 "emphatic"
1974 2035 "contemplative"
905 2039 "heavy"
971 2044 "straight"
627 2048 "silent"
1152 2059 "cold"
993 2069 "Original"
1216 2080 "passionate"
2048 2080 "silent"
658 2086 "reasonable"
1596 2123 "cool"
302 2157 "hopeful"
2069 2160 "Original"
608 2174 "expressive"
495 2177 "sensible"
411 2182 "close"
1867 2184 "stately"
1815 2186 "certain"
2186 2193 "certain"
1759 2195 "general"
1399 2200 "original"
2039 2206 "heavy"
2206 2210 "heavy"
1915 2219 "condescending"
1882 2236 "gracious"
1650 2247 "particular"
269 2256 "curious"
2162 2257 "social"
2026 2262 "lively"
2195 2263 "general"
1629 2265 "discreet"
2236 2266 "gracious"
1835 2266 "pleasant"
1965 2272 "open"
1870 2274 "quiet"
2274 2275 "quiet"
2193 2286 "certain"
1860 2291 "sure"
2266 2292 "gracious"
1882 2292 "Gracious"
2291 2300 "sure"
1311 2305 "strong"
2265 2325 "discreet"
2286 2327 "certain"
2325 2329 "discreet"
2272 2331 "open"
511 2335 "shy"
2335 2345 "shy"
1826 2359 "majestic"
2366 2370 "meek"
1943 2370 "weak"
2370 2374 "meek"
1866 2375 "easy"
2374 2388 "meek"
2388 2389 "meek"
1727 2395 "#-pleasant"
2305 2400 "strong"
2389 2403 "meek"
1522 2411 "sudden"
2300 2413 "sure"
2263 2417 "general"
2413 2423 "sure"
2327 2428 "certain"
1417 2435 "fast"
2251 2446 "vain"
1186 2461 "selfish"
2350 2480 "affectionate"
1975 2482 "second"
2331 2503 "open"
1507 2513 "indolent"
1313 2528 "stiff"
2435 2536 "fast"
1745 2540 "honest"
2123 2545 "cool"
1178 2561 "serious"
2540 2591 "honest"
2503 2595 "open"
1051 2598 "jolly"
1051 2598 "Jolly"
2598 2599 "Jolly"
2599 2600 "Jolly"
680 2609 "suspicious"
2598 2642 "jolly"
1246 2642 "nigh"
2400 2657 "strong"
2591 2677 "honest"
2677 2683 "honest"
1067 2692 "ugly"
1252 2694 "rough"
2210 2695 "heavy"
1613 2703 "abrupt"
2642 2704 "jolly"
2600 2704 "Jolly"
2375 2717 "easy"
2683 2724 "honest"
1789 2749 "true"
2345 2750 "shy"
214 2754 "confidential"
2428 2760 "certain"
2760 2761 "certain"
2482 2771 "second"
2704 2783 "jolly"
2704 2783 "Jolly"
2182 2788 "close"
2417 2792 "general"
1549 2797 "lonely"
2783 2806 "jolly"
2783 2806 "Jolly"
2797 2808 "lonely"
2423 2808 "sure"
2160 2809 "Original"
2771 2817 "second"
1727 2818 "sad"
2818 2822 "sad"
2808 2824 "sure"
1106 2835 "familiar"
2806 2839 "jolly"
2806 2839 "Jolly"
2609 2840 "suspicious"
2724 2872 "honest"
2080 2881 "silent"
2881 2882 "silent"
2331 2884 "violent"
2275 2887 "quiet"
2872 2893 "honest"
2338 2914 "gallant"
2914 2915 "gallant"
1833 2915 "independent"
2915 2926 "gallant"
2635 2931 "alert"
2839 2934 "jolly"
2839 2934 "Jolly"
2012 2943 "tight"
2882 2952 "silent"
45 2959 "stern"
1567 2979 "rusty"
2692 2983 "ugly"
2893 2986 "honest"
2426 2987 "morbid"
2986 2992 "honest"
2717 2998 "easy"
2959 3014 "stern"
1750 3015 "peaceful"
2761 3016 "certain"
1798 3016 "free"
2595 3018 "open"
3014 3022 "stern"
2809 3025 "Original"
2059 3057 "cold"
2657 3071 "strong"
2992 3093 "honest"
1838 3095 "natural"
